indicators_harmonized,km_gbf,sdg,cites,cms,iccwc,ramsar,unccd,policy,ipbes,Categories,Categories_2,Subcategories,Subcategories_2,usage,assess
above-ground biomass,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems,NA,1,ga
abundance of alternative hosts species,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
abundance of competent hosts of vector-born and zoonotic diseases,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
abundance of managed and wild pollinators,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
abundance of slowly changing ecosystems (time past last land use change),NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Change in ecosystems,NA,1,ga
abundance of sulfate reducing microorganisms,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
abundance of wild and managed biological controllers of pests,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
air quality index,1,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA,1,geo
air temperature low-cost thermal imagery,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Abiotic conditions,NA,1,ga
arable land remaining,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems,NA,1,ga
area of natural and traditional landscapes and seascapes,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems,NA,1,ga
atmospheric sounding,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Abiotic conditions,NA,1,ga
average marine acidity (ph) measured at agreed suite of representative sampling stations,NA,1,NA,NA,NA,NA,NA,1,1,ecosystems,NA,Abiotic conditions,NA,1,sua
below- and above-ground biomass stocks,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
betadiversity (species turnover),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Change in biodiversity,NA,1,ga
biodiversity habitat index,1,NA,NA,NA,NA,NA,NA,1,1,biodiversity,NA,State of biodiversity,NA,1,ga
biodiversity habitat index (hotspots),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
biodiversity intactness index,1,NA,NA,NA,NA,NA,NA,1,1,biodiversity,NA,State of biodiversity,NA,3,ga
biodiversity intactness index,1,NA,NA,NA,NA,NA,NA,1,1,biodiversity,NA,State of biodiversity,NA,3,va
biodiversity intactness index,1,NA,NA,NA,NA,NA,NA,1,1,biodiversity,NA,State of biodiversity,NA,3,geo
biodiversity intactness index (for plants and vertebrates),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
