indicators_harmonized,policy,assessment,sources,ipbes,usage,usage_policy,usage_assess,indic,indic_ext,var_ext,Categories,Categories_2,Subcategories,Subcategories_2,source
red list of ecosystems,1,1,"GEO,GBF",NA,2,1,1,1,1,NA,ecosystems,NA,State of ecosystems,NA,GBF
extent of natural ecosystems,1,0,GBF,NA,1,1,0,1,NA,NA,ecosystems,NA,State of ecosystems,NA,GBF
red list index,1,1,"GA,SUA,IAS,GEO,GBF,SDG",1,6,2,4,1,1,NA,biodiversity,NA,State of biodiversity,NA,GBF
proportion of populations within species with a genetically effective population size > 500,1,0,GBF,NA,1,1,0,1,NA,NA,biodiversity,NA,State of biodiversity,NA,GBF
services provided by ecosystems,1,0,GBF,NA,1,1,0,1,NA,NA,Ecosystem services,NA,Nature contribution,NA,GBF
percent of land and seas covered by biodiversity-inclusive spatial plans,1,0,GBF,NA,1,1,0,1,NA,NA,ecosystems,NA,Area conservation,NA,GBF
area under restoration,1,0,GBF,NA,1,1,0,1,NA,NA,ecosystems,NA,Restoration efforts,NA,GBF
coverage of protected areas and oecms,1,0,GBF,NA,1,1,0,1,NA,NA,ecosystems,NA,Area conservation,NA,GBF
proportion of fish stocks within biologically sustainable levels,1,1,"GA,SUA,GEO,GBF,SDG",1,5,2,3,1,1,NA,biodiversity,NA,State of biodiversity,NA,GBF
rate of invasive alien species establishment,1,1,"IAS,GBF",1,2,1,1,1,1,NA,Invasive alien species,NA,Invasive alien species,NA,GBF
index of coastal eutrophication potential (icep),1,1,"SUA,GEO,GBF,SDG",1,4,2,2,1,1,NA,ecosystems,Direct drivers,State of ecosystems (integrity),Pollution,GBF
benefits from the sustainable use of wild species,1,0,GBF,NA,1,1,0,1,NA,NA,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA,GBF
percentage of the population in traditional employment,1,0,GBF,NA,1,1,0,1,NA,NA,biodiversity,NA,Species conservation,Change in biodiversity,GBF
proportion of agricultural area under productive and sustainable agriculture,1,1,"GA,SUA,GEO,GBF,SDG",1,5,2,3,1,1,NA,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA,GBF
