indicators_harmonized,ga,sua,va,geo,ipcc,km_gbf,sdg,ipbes,var,indic,ILK_indicators
gross domestic product,1,1,1,NA,NA,NA,NA,1,NA,1,NA
globalization index,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
poverty gap,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
food security index,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
depth of the food deficit (kcal/capit a/day) (3- year average),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
access to improved sanitation facilities,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
domestic material consumption,1,NA,NA,1,NA,NA,NA,1,NA,1,NA
per capita calorie intake,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
prevalence of obesity in the adult population (18 years and older),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
energy use (kg of oil equivalent per capita),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
mobile cellular subscriptions,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
fossil-fuel energy consumption (% of total),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
renewable electricity consumption (% of total electricity output),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
electric power consumption (kwh per capita),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
access to electricity,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
alternative and nuclear energy (% of total energy use),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
protein intake per country per person,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"energy supply derived from cereals, roots and tubers",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
people per ouletlet mcdonals,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
population growth (annual %),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
population density,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
child mortality rate,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
urban population,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
total international migrant stock,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
refugee population,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
migration net,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
population in the largest city,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
population in megacities,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
gross domestic product per capita,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
agricultural land,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
livestock indigenous animals,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
livestock density of cattle,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
livestock density of animals (chickens),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
area of agricultural land under organic production,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
"international tourism, number of departures",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"international tourism, number of arrivals",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
container port traffic (teu: 20 foot equivalent units),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
air passengers,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
air departures,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
deaths from air pollution,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
ghg emissions,1,NA,NA,1,NA,NA,NA,1,1,NA,NA
pesticide use,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
fertilizers used,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
air pollution,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
nitrogenen deposition trends,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
ghg emissions change,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
extraction ores,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
extraction all of biomass,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
extraction of ind. and const. minerals,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
extraction biomass food,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
extraction biomass forestry,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
extraction biomass feed,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
extraction biomass animals,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
extraction other biomass,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
extraction fossil-fuel,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
water withdrawal,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
renewable internal freshwater resource,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
agricultural water withdrawal,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
ramsar sites,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
certified forest area,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
united nations framework convention on climate change,1,NA,NA,1,NA,NA,NA,1,NA,1,NA
convention of fishing and conservation of the living resources of the high seas,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
montreal protocol,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
convention on biological diversity,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
convention on the conservation of antarctic marine living resources,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"credit to agriculture, forestry and fishing",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
political stability and absence of violence/terrorism,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
above-ground biomass,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
biodiversity habitat index,1,NA,NA,NA,NA,1,NA,1,NA,1,NA
biodiversity habitat index (hotspots),1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
coastal carbon-rich habitat,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
coastal protection habitats,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
forest area,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
extent of intact forest landscapes,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
extent of marine wilderness,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
extent of terrestrial wilderness,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
fraction of ocean not fished per year,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
land not cultivated or urban,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
land not cultivated or urban (hotspots),1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
land not cultivated or urban (indigenous lands),1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
leaf area index (lai),1,NA,NA,NA,1,NA,NA,1,NA,1,NA
mangrove forest area,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
extent of suitable habitat,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
live coral cover,1,NA,NA,NA,NA,1,NA,1,NA,1,NA
permanent surface water extent,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
remaining primary vegetation,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
remaining primary vegetation (hotspots),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
remaining primary vegetation (indigenous lands),1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
seagrass meadow area,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
soil organic carbon (correlative model),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
soil organic carbon (mechanistic models),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
tree cover,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA
vegetation biomass (mechanistic models),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
wetland extent trends index,1,NA,NA,NA,NA,1,NA,1,NA,1,NA
biological pump efficiency,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
biomass turnover rate,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
evapotranspiration (model ensemble),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
marine net primary production,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
net primary production remaining in ecosystems,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
oceanic carbon sequestration,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
terrestrial c sequestration (model ensemble),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
terrestrial net primary production (model ensemble),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
terrestrial net primary production (remote-sensing),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
biodiversity intactness index (hotspots),1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
biodiversity intactness index (indigenous lands),1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
biodiversity intactness index,1,NA,1,1,NA,1,NA,1,NA,1,NA
local species richness (biotime),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
local species richness (predicts),1,NA,NA,NA,NA,1,NA,1,NA,NA,NA
mean species abundance (msa),1,NA,NA,NA,NA,1,NA,1,NA,1,NA
