indicator_harmonized,indic_id,var_indic,ILK
gross domestic product,GA_1_19_6,2,NA
human development index (hdi),GA_1_19_6,2,NA
inclusive wealth,GA_1_19_6,2,NA
gross national happiness index,GA_1_19_6,2,NA
human development index (hdi),GA_1_31_9,2,NA
ecological footprint,GA_1_52_19,2,NA
water footprint,GA_1_52_19,2,NA
percentage of countries that are category 1 cites parties,GA_1_52_19,2,NA
trends in forest extent,GA_1_52_19,2,NA
protected area coverage of key biodiversity areas,GA_1_52_19,2,NA
total wood removals,GA_1_52_19,2,NA
biodiversity habitat index,GA_1_52_19,2,NA
species habitat index,GA_1_52_19,2,NA
forest area as a percentage of total land area,GA_1_52_19,2,NA
trends in fisheries certified by the msc,GA_1_52_19,2,NA
estimated fisheries catch and fishing effort,GA_1_52_19,2,NA
proportion of fish stocks within biologically sustainable levels,GA_1_52_19,2,NA
inland fishery production,GA_1_52_19,2,NA
marine trophic index (mti),GA_1_52_19,2,NA
proportion of area of forest production under fsc and pefc certification,GA_1_52_19,2,NA
nitrogen use efficiency,GA_1_52_19,2,NA
nitrogen + phosphate fertilizers (n+p205 total nutrients),GA_1_52_19,2,NA
trends in pesticide use,GA_1_52_19,2,NA
trends in nitrogen deposition,GA_1_52_19,2,NA
species protection index,GA_1_52_19,2,NA
protected area management effectiveness (pame),GA_1_52_19,2,NA
protected area connectedness (parc-connectedness) index,GA_1_52_19,2,NA
protected area coverage,GA_1_52_19,2,NA
biodiversity intactness index,GA_1_52_19,2,NA
red list index,GA_1_52_19,2,NA
species habitat index,GA_1_52_19,2,NA
proportion of local breeds classified as being at risk of extinction,GA_1_52_19,2,NA
inland fishery production,GA_1_52_19,2,NA
percentage of undernourished people,GA_1_52_19,2,NA
number of countries with developed or revised nbsaps,GA_1_52_19,2,NA
proportion of known species assessed through the red list index,GA_1_52_19,2,NA
species status index,GA_1_52_19,2,NA
living planet index,GA_1_52_19,2,NA
"number of countries with national instruments on biodiversity relevant taxes, charges and fees",GA_1_52_19,2,NA
number of countries with national instruments on redd plus schemes,GA_1_52_19,2,NA
trends in potentially harmful elements of government support to agriculture (produced support estimates),GA_1_52_19,2,NA
trends in potentially harmful elements of government support to fisheries,GA_1_52_19,2,NA
number of countries with national instruments on biodiversity relevant tradable permit schemes,GA_1_52_19,2,NA
human appropriation of net primary productivity,GA_1_52_19,2,NA
trend in carbon intensity,GA_1_52_19,2,NA
global climate risk index,GA_1_52_19,2,NA
wetland extent trends index,GA_1_52_19,2,NA
global effort in bottom-trawling,GA_1_52_19,2,NA
number and coverage of stocks with adaptive management systems/plans,GA_1_52_19,2,NA
presence of regulations requiring recovery of depleted species,GA_1_52_19,2,NA
policies to secure that mortalities and significant indirect adverse impacts on non-target species are accounted for are in place,GA_1_52_19,2,NA
policies make adequate provisions to minimize impacts of fisheries on threatened species,GA_1_52_19,2,NA
coverage of fisheries with management measures to reduce bycatch and discards,GA_1_52_19,2,NA
proportion of predatory fish,GA_1_52_19,2,NA
mean length of fish,GA_1_52_19,2,NA
biotime-local species richness,GA_1_52_19,2,NA
temporal species turnover,GA_1_52_19,2,NA
overall species abundance,GA_1_52_19,2,NA
non declining exploited species,GA_1_52_19,2,NA
number of world natural heritage sites per country per year,GA_1_52_19,2,NA
nitrogen use balance,GA_1_52_19,2,NA
area of agricultural land under conservation,GA_1_52_19,2,NA
proportion of agricultural area under productive and sustainable agriculture,GA_1_52_19,2,NA
trends in the numbers of invasive alien species introduction events,GA_1_52_19,2,NA
trends in invasive alien species vertebrate eradications,GA_1_52_19,2,NA
"protected area coverage of terrestrial, marine and freshwater ecoregions",GA_1_52_19,2,NA
protected area representativeness index,GA_1_52_19,2,NA
wildlife picture index,GA_1_52_19,2,NA
mean species abundance (msa),GA_1_52_19,2,NA
number of species extinctions,GA_1_52_19,2,NA
ramsar sites,GA_1_52_19,2,NA
better life index,GA_1_52_19,2,NA
percentage of population using safely managed drinking water services,GA_1_52_19,2,NA
wetland extent trends index,GA_1_52_19,2,NA
land under cereal production (ha),GA_1_52_19,2,NA
global ecosystem restoration index,GA_1_52_19,2,NA
"number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits",GA_1_52_19,2,NA
global linguistic diversity index and language threat level,GA_1_52_19,2,NA
species occurrence records accessible through the global biodiversity information facility,GA_1_52_19,2,NA
species represented in the barcode of life data system,GA_1_52_19,2,NA
"information provided through the financial reporting framework, adopted by decision xii/3",GA_1_52_19,2,NA
gross domestic product,GA_2_20_26,2,NA
child mortality,GA_2_22_28,1,NA
caloric intake,GA_2_22_28,1,NA
per capita consumption,GA_2_22_28,1,NA
value of merchandise being exported,GA_2_22_28,1,NA
mortality rate under 5,GA_2_24_29,2,NA
human development index (hdi),GA_2_24_29,2,NA
caloric intake,GA_2_24_29,2,NA
gross domestic product,GA_2_24_29,2,NA
globalization index,GA_2_24_29,2,NA
domestic material consumption,GA_2_24_29,2,NA
merchandise exports,GA_2_24_29,2,NA
total population,GA_2_24_29,2,NA
proportion of urban population,GA_2_24_29,2,NA
international migrant stock,GA_2_24_29,2,NA
absence of conflict as indicator of political stability,GA_2_24_29,2,NA
protection of key biodiversity areas,GA_2_24_29,2,NA
human development index (hdi),GA_2_22_30,2,NA
income,GA_2_25_31,1,NA
life expectancy,GA_2_25_31,1,NA
average number of years of schooling,GA_2_25_31,1,NA
world happiness index,GA_2_25_34,2,NA
social progress index,GA_2_25_34,2,NA
environmental performance index,GA_2_25_34,2,NA
environmental component of the social sustainability index,GA_2_25_34,2,NA
linguistic diversity index,GA_2_41_36,1,NA
fertilizer use,GA_2_83_42,2,NA
land use change,GA_2_83_42,2,NA
extraction of living biomass,GA_2_83_42,2,NA
extraction of non-living materials,GA_2_83_42,2,NA
greenhouse gas emissions,GA_2_83_42,2,NA
air pollution,GA_2_83_42,2,NA
alien species richness,GA_2_83_42,2,NA
access to improved sanitation facilities,GA_2_109_44,2,NA
water quality index (watqi),GA_2_110_45,2,NA
biodiversity intactness index,GA_2_117_46,2,NA
