indicator_harmonized,indic_id,var_indic,ILK
antarctic ice cores,IPCC_1_13_4,2,NA
direct co2 air measurements,IPCC_1_13_4,2,NA
global precipitation climatology centre (gpcc) v8,IPCC_1_13_4,2,NA
glacier mass loss,IPCC_1_13_4,2,NA
global mean surface temperature (gmst),IPCC_1_13_4,2,NA
sea level change,IPCC_1_13_4,2,NA
ocean heat content,IPCC_1_13_4,2,NA
atmospheric co2 concentrations,IPCC_1_16_6,2,NA
global mean surface temperature (gmst),IPCC_1_16_6,2,NA
global mean sea level (gmsl),IPCC_1_16_6,2,NA
ph of ocean surface water,IPCC_1_32_16,1,NA
global energy budget,IPCC_1_38_17,2,NA
simulated global mean surface air temperature (gsat),IPCC_1_45_19,1,NA
simulated global mean surface air temperature (gsat) anomalies,IPCC_1_45_19,1,NA
estimate of gsat (era-5),IPCC_1_45_19,1,NA
global mean surface temperature (gmst),IPCC_1_45_19,1,NA
mean gsat,IPCC_1_45_19,1,NA
global mean surface temperature (gmst),IPCC_1_47_20,1,NA
annual gsat change,IPCC_1_50_21,1,NA
annual ice volume,IPCC_1_50_21,1,NA
september sea ice extent,IPCC_1_50_21,1,NA
global temperature,IPCC_1_58_23,2,NA
cumulative ghg emissions,IPCC_1_58_23,2,NA
economic damages due to river floods,IPCC_1_62_25,1,NA
occurrence of heat-related human mortality,IPCC_1_62_25,1,NA
economic inequality,IPCC_1_62_25,1,NA
essential climate variables (ecvs),IPCC_1_64_26,1,NA
essential ocean variables (eovs),IPCC_1_64_26,1,NA
leaf area index (lai),IPCC_1_66_27,2,NA
fraction of absorbed photosynthetically active radiation (fapar),IPCC_1_66_27,2,NA
fire disturbances/burned areas,IPCC_1_66_27,2,NA
time series of normalized difference vegetation index (ndvi),IPCC_1_67_28,2,NA
northern hemisphere temperature over the last millennium,IPCC_1_67_29,1,NA
ocean heat content,IPCC_1_70_30,2,NA
thermosteric sea level,IPCC_1_70_30,2,NA
salinity,IPCC_1_70_30,2,NA
sea ice extent,IPCC_1_70_30,2,NA
amoc,IPCC_1_70_30,2,NA
atmospheric co2 concentrations,IPCC_1_92_33,1,NA
global temperatures,IPCC_1_92_33,1,NA
global mean surface temperature (gmst),IPCC_2_8_35,2,NA
boron-isotope,IPCC_2_14_37,1,NA
isotope-composition of molecular oxygen trapped in polar firn and ice,IPCC_2_21_41,1,NA
free tropospheric ozone,IPCC_2_21_42,1,NA
aerosol abundance,IPCC_2_24_45,1,NA
pollen presence,IPCC_2_24_46,1,NA
surface and upper air temperatures,IPCC_2_26_47,2,NA
surface humidity,IPCC_2_26_47,2,NA
precipitable water vapour,IPCC_2_26_47,2,NA
precipitation,IPCC_2_26_47,2,NA
precipitation-evaporation,IPCC_2_26_47,2,NA
runoff,IPCC_2_26_47,2,NA
sea level pressure and winds,IPCC_2_26_47,2,NA
hadley/walker circulation,IPCC_2_26_47,2,NA
global monsoons,IPCC_2_26_47,2,NA
strom tracks and jets,IPCC_2_26_47,2,NA
sudden stratospheric warmings,IPCC_2_26_47,2,NA
sea ice extent,IPCC_2_26_47,2,NA
seasonality and thickness,IPCC_2_26_47,2,NA
terrestrial snow cover,IPCC_2_26_47,2,NA
glacier mass and extent,IPCC_2_26_47,2,NA
terrestrial permafrost temperature and active layer thickness,IPCC_2_26_47,2,NA
ocean heat content,IPCC_2_26_47,2,NA
salinity,IPCC_2_26_47,2,NA
sea level,IPCC_2_26_47,2,NA
circulation,IPCC_2_26_47,2,NA
ph and desoxygenation,IPCC_2_26_47,2,NA
seasonal cycle of co2,IPCC_2_26_47,2,NA
distribution of marine biota,IPCC_2_26_47,2,NA
primary production of marine biota,IPCC_2_26_47,2,NA
phenology of marine biota,IPCC_2_26_47,2,NA
distribution of terrestrial biota,IPCC_2_26_47,2,NA
global greening/browning,IPCC_2_26_47,2,NA
growing season of terrestrial biota,IPCC_2_26_47,2,NA
temperature,IPCC_2_28_57,2,NA
benthich isotopes,IPCC_2_28_57,2,NA
marine sediment cores,IPCC_2_29_60,1,NA
paleo-temperature records,IPCC_2_29_62,1,NA
zonally averaged mean annual temperature reconstructions,IPCC_2_31_64,1,NA
subsurface borehole temperature profiles,IPCC_2_31_65,1,NA
changes in land versus sea surface temperature,IPCC_2_31_65,1,NA
radio occultation,IPCC_2_42_69,1,NA
global vegetation cover,IPCC_2_43_71,1,NA
atmospheric dust deposition,IPCC_2_43_71,1,NA
changes in observed cloud cover,IPCC_2_51_79,1,NA
satellite observations of precipitation,IPCC_2_51_79,1,NA
upper tropospheric humidity,IPCC_2_51_79,1,NA
sh monsoons,IPCC_2_51_80,1,NA
air moisture,IPCC_2_52_82,1,NA
loss of older ice,IPCC_2_56_85,1,NA
mean arctic sea ice area,IPCC_2_57_88,1,NA
marine sediments,IPCC_2_57_89,1,NA
whaling records,IPCC_2_58_90,1,NA
old ship logbooks,IPCC_2_58_90,1,NA
ice core records,IPCC_2_58_90,1,NA
early nimbus satellite visible and infrared imagery,IPCC_2_58_91,1,NA
glacier areal and mass changes/loss rate,IPCC_2_60_95,1,NA
greenland ice sheet fluctuations,IPCC_2_60_96,1,NA
marine sediments,IPCC_2_61_98,1,NA
marine sediments below the ice sheet,IPCC_2_61_99,1,NA
pollen presence,IPCC_2_62_100,1,NA
speleothem records,IPCC_2_62_100,1,NA
permafrost-vegetation relationships,IPCC_2_62_100,1,NA
permafrost temperature,IPCC_2_62_101,1,NA
ground subsidence,IPCC_2_63_102,1,NA
thermokarst,IPCC_2_63_102,1,NA
slope instability,IPCC_2_63_102,1,NA
ocean heat content,IPCC_2_63_104,1,NA
ice cores,IPCC_2_63_105,1,NA
sediment cores,IPCC_2_63_105,1,NA
reef growth,IPCC_2_67_109,1,NA
atlantic meridional overturning circulation (amoc),IPCC_2_69_110,1,NA
sediment cores,IPCC_2_70_112,1,NA
seasonal variations in atmospheric co2 concentrations,IPCC_2_74_116,2,NA
expansion of oligotrophic subtropical gyres of the atlantic and pacific oceans,IPCC_2_74_117,1,NA
phytoplankton abundance,IPCC_2_74_118,2,NA
clorophyll concentration,IPCC_2_75_119,1,NA
phytoplankton community structure,IPCC_2_75_119,1,NA
distribution of species,IPCC_2_75_120,1,NA
el niño-southern oscillation (enso) index,IPCC_2_76_122,2,NA
changes in phytoplankton phenology,IPCC_2_76_122,2,NA
ocean-colour,IPCC_2_76_123,1,NA
normalized difference vegetation index (ndvi),IPCC_2_78_126,2,NA
northernmost location of the treeline,IPCC_2_78_127,2,NA
