indicator_harmonized,indic_id,var_indic,ILK
inclusive wealth,VA_2_7_9,2,NA
undp human development dashboard,VA_2_8_10,2,NA
genuine progress indicator,VA_2_8_10,2,NA
sustainability dashboard,VA_2_8_10,2,NA
genetic diversity,VA_2_10_12,2,NA
endemic species richness,VA_2_10_12,2,NA
gross domestic product,VA_2_10_12,2,NA
environmental awareness,VA_2_10_12,2,NA
inclusion of historically disadvantaged stakeholders,VA_2_10_12,2,NA
willingness to pay to protect nature or improve ecosystem services,VA_2_18_19,2,NA
gross national happiness index,VA_2_29_20,2,NA
willingness to allocate time for nature´s contributions to people conservation,VA_2_37_25,2,NA
genetic diversity,VA_2_38_28,2,NA
number of rare or threatened species,VA_2_38_28,2,NA
structural and functional connectivity of habitat,VA_2_38_28,2,NA
proportion of population exposed to air pollution,VA_2_38_28,2,NA
photo-rankings,VA_2_38_28,2,NA
spatial densities of relational values in an area,VA_2_38_28,2,NA
ethnographic accounts,VA_2_38_28,2,NA
themes in a text representing nature´s values,VA_2_38_28,2,NA
benefits derived from healthy ecosystems and costs caused by its depletion,VA_2_38_28,2,NA
stock values of natural capital,VA_2_38_28,2,NA
gross domestic product,VA_2_38_29,2,NA
index of sustainable economic welfare (isew),VA_2_38_29,2,NA
genuine progress indicator,VA_2_38_29,2,NA
sustainable development goals index,VA_2_38_29,2,NA
planetary pressures adjusted human development index (hdi),VA_2_38_29,2,NA
sustainable well-being index (swi),VA_2_38_29,2,NA
ecological footprint,VA_2_38_29,2,NA
human appropriation of net primary productivity,VA_2_38_29,2,NA
index of sustainable economic welfare (isew),VA_2_39_33,2,NA
united nations system of environmental economic accounting,VA_2_39_33,2,NA
inclusive wealth,VA_2_39_33,2,NA
willingness to allocate time for nature´s contributions to people conservation,VA_2_63_45,2,NA
willingness to pay to protect nature or improve ecosystem services,VA_2_63_45,2,NA
mangrove forest area,VA_2_76_48,1,NA
reduced cost of road construction,VA_2_76_48,1,NA
reduced cost of road maintenance,VA_2_76_48,1,NA
fewer lives lost,VA_2_76_48,1,NA
livelihood dependence,VA_3_2_52,1,NA
use of natural resource,VA_3_2_52,1,NA
peoples’ preferences or spending on safeguarding biodiversity and ecosystem services,VA_3_2_52,1,NA
appearance of new grass in grazing areas,VA_3_6_54,2,1
biodiversity intactness index,VA_3_26_59,2,NA
rate of use of pesticides,VA_3_26_59,2,NA
rate of wood removal,VA_3_26_59,2,NA
number of protected area management effectiveness (pame) assessments,VA_3_27_60,2,NA
corruption perception index,VA_3_27_60,2,NA
life satisfaction,VA_3_41_70,2,NA
happiness,VA_3_41_70,2,NA
number of photos taken by the public in an advert to indicate aesthetic values,VA_3_48_73,2,NA
photo series analysis using social media,VA_3_48_73,2,NA
number of wildlife pictures posted on a photo-sharing website,VA_3_48_73,2,NA
global index on indigenous peoples' well-being,VA_3_63_79,2,NA
holistic health model,VA_3_63_79,2,NA
living conditions in the arctic,VA_3_63_79,2,NA
willingness to give up access to land or other resources to protect nature,VA_3_76_86,2,NA
willingness to pay to protect nature or improve ecosystem services,VA_3_76_86,2,NA
costs associated with protecting nature and biodiversity,VA_3_76_86,2,NA
costs associated with maintaining ncps of past or future projects,VA_3_76_86,2,NA
social welfare function (swf),VA_3_96_97,2,NA
inclusive wealth,VA_3_114_99,2,NA
"number of countries implementing natural resource accounts, excluding energy, within the system of environmental economic accounting",VA_4_28_108,2,NA
biodiversity in poverty reduction strategies,VA_4_28_109,1,NA
biophysical inventories of biodiversity and ecosystem services,VA_4_28_109,1,NA
companies with policies for biodiversity-friendly practices,VA_4_28_109,1,NA
national accounts reflecting state of biodiversity and ecosystem services,VA_4_28_109,1,NA
number of countries implementing the system of environmental economic accounting,VA_4_73_122,2,NA
"number of countries that have integrated biodiversity values into national accounting and reporting systems, defined as implementation of the system of environmental-economic accounting (seea)",VA_4_73_122,2,NA
gross ecosystem product,VA_4_89_124,2,NA
gross domestic product,VA_5_78_136,2,NA
human development index (hdi),VA_5_78_136,2,NA
genuine progress indicator,VA_5_78_136,2,NA
sustainable economic welfare (isew),VA_5_78_136,2,NA
sustainable development index (sdi),VA_5_78_136,2,NA
inclusive wealth,VA_5_78_136,2,NA
gross national happiness index of bhutan,VA_6_21_143,2,NA
genuine progress indicator,VA_6_21_143,2,NA
green gross domestic product,VA_6_22_145,2,NA
"extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments",VA_6_52_152,2,NA
gross domestic product,VA_6_61_155,2,NA
nature risk index,VA_6_64_156,2,NA
climate risk index,VA_6_64_156,2,NA
