indicators_harmonized,var_indic,geo_extracted,ILK
greenhouse gas index (national oceanic and atmospheric administration),2,1,NA
glacier mass balance,2,1,NA
northern hemisphere (mar-apr) snow cover,2,1,NA
specific humidity,2,1,NA
ocean acidification,2,1,NA
annual global mean surface temperature,2,1,NA
world trade organisation greenbox agricultural subsidies,2,1,NA
marine air temperature,2,1,NA
sea level,2,1,NA
tropospheric temperature,2,1,NA
ocean heat content and specific humidity,2,1,NA
shrinking of the arctic ice cover,2,1,NA
increase in the global mean sea level,2,1,NA
altering of the carbon and biogeochemical cycles,2,1,NA
extent of ice cover,2,1,NA
summer arctic sea ice extent,2,1,NA
climate related loss events,1,1,NA
poverty,1,1,NA
zoonotic disease,1,1,NA
nutrition,1,1,NA
life expectancy,1,1,NA
economic growth,1,1,NA
inclusive societies,1,1,NA
environmentally friendly policy processes,1,1,NA
normalized difference vegetation index (ndvi),1,1,NA
gender-disaggregated agricultural indices,2,1,NA
agricultural employment and landholders,2,1,NA
cross-natrional comparative information on access to and ownership of land,2,1,NA
sex-disaggregated burden-of-disease data,2,1,NA
underweight children,1,1,NA
malnutrition,1,1,NA
food security,1,1,NA
global human settlement layer (ghsl),2,1,NA
sustainability and/or environmental themes as one of the general goals of education,2,1,NA
integration of education for sustainable development (esd) in curricula,2,1,NA
integration of education for sustainable development (esd) in higher education,2,1,NA
loss of mass of mountain glaciers and polar ice sheets,2,1,NA
sea level rise,2,1,NA
mountain glaciers,2,1,NA
polar ice sheets,2,1,NA
antimicrobial resistence in pathogens,2,1,NA
toxocological potential of nanoparticals,2,1,NA
greenhouse gas emissions,2,1,NA
global temperature increase,2,1,NA
measured concentrations of o in the upper stratospere,1,1,NA
odss and ghgs,1,1,NA
o3 concentration,1,1,NA
ghg emissions,1,1,NA
pressure ozone trend,1,1,NA
o recovery,1,1,NA
national oceanic and atmospheric administration annual greenhouse gas index (aggi),2,1,NA
air pollution exposure,1,1,NA
"years of healthy life lost from heart disease, stroke, lung cancer, chronic lung disease and respiratory infections",1,1,NA
exposure to ambient pm,1,1,NA
"high blood pressure, smoking, low birth weight, high levels of blood sugar",1,1,NA
high body mass index,1,1,NA
premature deaths,1,1,NA
exposure to high concentrations of pollutants,1,1,NA
safe level of annual average pm exposure,1,1,NA
disability-adjusted life years (dalys) lost,1,1,NA
premature deaths in 2016 to household air pollution,1,1,NA
ocean health index,2,1,NA
urban growth,1,1,NA
land use change,1,1,NA
habitat loss,1,1,NA
deforestation,1,1,NA
road construction,1,1,NA
red list index,2,1,NA
living planet index,2,1,NA
species abundance,2,1,NA
biodiversity intactness index,2,1,NA
invertebrate abundance and biomass,1,1,NA
enhanced vegetation index,2,1,NA
land cover change,2,1,NA
arctic species trend index,2,1,NA
deforestation rate,1,1,NA
coral bleaching,1,1,NA
global atmospheric co levels,1,1,NA
co2 concentration,1,1,NA
marine litter,2,1,NA
index of coastal eutrophication potential (icep),2,1,NA
floating plastic litter density,2,1,NA
build up area,1,1,NA
biofuel production,1,1,NA
fertilizer price,1,1,NA
maize price,1,1,NA
wetland area index,2,1,NA
living planet index (migratory fish),2,1,NA
water infrastructure,2,1,NA
"drinking water supply, treatment and distribution",2,1,NA
"provision of safe, reliable drinking water",2,1,NA
air quality index,2,1,NA
us national ambient air quality standards,2,1,NA
population-weighted annual mean concentration of pm2.5,2,1,NA
emissions of ozone-depleting substances,2,1,NA
anthropogenic emissions of long-lived greenhouse gases (co2 equivalents),2,1,NA
exposure to pm concentrations (population-weighted annual mean concentration of pm2.5),2,1,NA
pm2.5 emissions,2,1,NA
so2 emissions,2,1,NA
no emissions,2,1,NA
nh3 emissions,2,1,NA
anthropogenic emissions of long-lived greenhouse gases (ghg emissions),2,1,NA
global warming potential index,2,1,NA
global temperature potential,2,1,NA
city biodiversity index,2,1,NA
ecological footprint,2,1,NA
global capacity,2,1,NA
proportion of countries adopting relevant national legislation and adequately resourcing the prevention or control of invasive alien species,2,1,NA
presense of endemic species,1,1,NA
red list index (for utilized species),2,1,NA
biocapacity,2,1,NA
willingness-to-participate,2,1,NA
coverage of protected areas in relation to marine areas,2,1,NA
beach litter,2,1,NA
floating plastic debris density,2,1,NA
nutrient pollution,2,1,NA
regional seas and action plans,2,1,NA
stranded debris,2,1,NA
number of vulnerable marine ecosystems,2,1,NA
stock status,2,1,NA
red list of ecosystems,2,1,NA
proportion of land that is degraded over total land area,2,1,NA
proportion of terrestrial protected area as a share of the total land area,2,1,NA
ratio of land consumption rate to population growth rate,2,1,NA
soil carbon sequestration,2,1,NA
impacts of agricultural outpic prices on deforestation rates both inside and outside of protected areas,2,1,NA
forest area as a percentage of total land area,2,1,NA
resources per capita invested in human settlement per km2,2,1,NA
"percentage of cities with direct participation structure of civil society in urban planning and management, which operate regularly and democratically",2,1,NA
ratio of land consumption rate to urban population growth rate at comparable scale,2,1,NA
proportion of population using safely managed drinking water services,2,1,NA
proportion of population using safely managed sanitation services,2,1,NA
freshwater withdrawal as a proportion of available freshwater resources,2,1,NA
millenium development goals indicators,2,1,NA
improved/unimproved sources of drinking water,2,1,NA
proportion of the global population using piped water supplies on premises,2,1,NA
number of people without access to safe sanitation services,2,1,NA
improved water supply and sanitation,2,1,NA
level of water stress (freshwater withdrawal as a proportion of available freshwater resources),2,1,NA
level of water stress,2,1,NA
freshwater change over time,2,1,NA
gender equality,1,1,NA
empowerment of women and girls,1,1,NA
reduction of inequality within and among countries,1,1,NA
quantity of land area known to have (in)sufficient infrastructure against flooding,1,1,NA
number of residents living in floodplains,1,1,NA
low-elevation coastal zones,1,1,NA
network of communication channels in times of crisis or disaster,1,1,NA
drought-resistant vegetation,1,1,NA
