indicator_harmonized,indic_ids,ipbes_extracted
ability of ecosystems to absorb and buffer hazards,GA_2.3_42_143,1
abnormal occurrences in the territory,SUA_2_95_77,1
above-ground biomass,GA_2.2_37_70;GA_2.2_39_76,1
above-ground biomass in forests,GA_2.3_39_137,1
absence of conflict as indicator of political stability,GA_2_24_29,1
abundance and location of habitat,SUA_4_78_130,1
abundance of food species,SUA_2_96_79,1
abundance of managed and wild pollinators,GA_2.3_42_143,1
abundance of preferred harvest species,SUA_2_97_80,1
access to improved sanitation facilities,GA_2_109_44,1
access to land,SUA_4_149_137,1
accessibility of resources,SUA_2_95_77,1
adaptive capacity index (aci),GA_4_129_208,1
adverse changes in woody or shrubby vegetation,GA_2.2_81_123,1
adverse changes of unpalatable species,GA_2.2_81_123,1
agriculture-based materials produced (tons),GA_2.3_42_143,1
air pollution,GA_2_83_42,1
air quality,GA_3_123_420,1
alien species,GA_2_118_47,1
alien species occurrence,IAS_6_114_165,1
alien species richness,GA_2_83_42;IAS_3_8_84,1
animal behavior,GA_2.3_40_140,1
annual rate of net forest loss,GA_3_27_356;GA_3_27_356,1
appearance of new grass in grazing areas,VA_3_6_54,1
arctic species trend index,GA_3_169_443,1
"area and percent of forests managed primarily to protect the range of cultural, social and spiritual needs and values",SUA_2_92_69,1
area and percent of forests used for subsistence purposes,SUA_2_92_69,1
area of agricultural land under conservation,GA_1_52_19;GA_3_15_329,1
area of agricultural land under organic production,GA_3_15_329,1
area of floodplain wetlands,GA_2.3_39_137,1
area of forest under sustainable management,GA_3_72_395,1
area of natural and traditional landscapes and seascapes,GA_2.3_42_143,1
arrival of new native and alien species,GA_2.2_6_56,1
associated species,SUA_2_96_79,1
average conservation status,GA_4_158_230,1
average number of years of schooling,GA_2_25_31,1
avoided costs from air pollution,GA_2.3_42_143,1
avoided morbidity and premature mortality from air pollution,GA_2.3_42_143,1
avoided water treatment costs,GA_2.3_42_143,1
bare area,GA_2.3_39_137,1
"behavior of animals with importance as food, changes in crop phenology",GA_2.3_22_127,1
benefits derived from healthy ecosystems and costs caused by its depletion,VA_2_38_28,1
better life index,GA_1_52_19,1
biochemical oxygen demand (bod),GA_3_74_399,1
biodiversity barometer (percentage of respondents giving correct definition of biodiversity),GA_3_15_329,1
biodiversity barometer (percentage of respondents that have heard of biodiversity),GA_3_15_329,1
biodiversity habitat index,GA_1_52_19;GA_2.2_37_70;GA_2.2_39_75;GA_2.2_52_95,1
biodiversity in poverty reduction strategies,VA_4_28_109,1
biodiversity intactness index,GA_1_52_19;GA_2_117_46;GA_2.2_45_87;GA_2.2_46_88;GA_2.3_42_143;GA_5_10_235;VA_3_26_59,1
biodiversity intactness index (tropical forest),GA_2.2_37_70,1
"biodiversity intactness index (tropical forest, hotspots)",GA_2.2_37_70,1
"biodiversity intactness index (tropical forest, indigenous lands)",GA_2.2_37_70,1
biological pump efficiency,GA_2.2_37_70,1
biomass abundance,GA_4_34_176,1
biomass of prey fish,GA_2.2_1_50,1
biomass turnover rate,GA_2.2_37_70,1
biophysical inventories of biodiversity and ecosystem services,VA_4_28_109,1
biotic productivity,GA_2.3_56_155,1
biotime species richness indicator,GA_2.2_45_85,1
biotime-local species richness,GA_1_52_19,1
bird species per grid cell,GA_2.2_37_70,1
blue water sustainability index,GA_3_76_401,1
body condition,SUA_2_97_80;SUA_4_89_132,1
body fat,SUA_4_78_130,1
c pool,GA_4_34_176,1
caloric intake,GA_2_22_28;GA_2_24_29,1
carbon sequestration,GA_2.3_56_155,1
catch per unit effort,SUA_2_96_79;SUA_2_97_80,1
catch per unit per effort,SUA_6_115_207,1
changing range of wild species,GA_2.2_6_56,1
child mortality,GA_2_22_28,1
cites parties that have implemented relevant resolutions and decisions,SUA_4_68_125,1
city biodiversity index,GA_3_115_417,1
climate risk index,VA_6_64_156,1
climatic impact index,GA_3_35_362,1
climatic impact index for birds,GA_3_72_395,1
co2 emissions,GA_3_123_420,1
coastal carbon-rich habitat,GA_2.2_37_70,1
coastal protection habitats,GA_2.2_37_70,1
commercial trade in wild-collected specimens,SUA_4_71_127,1
commodity index,GA_6_137_288,1
companies with policies for biodiversity-friendly practices,VA_4_28_109,1
comparison of the number of available first records of established alien species for a region with the total number of species recorded for the same region,IAS_2_14_17,1
concentration of hydrogen ions (h+),IAS_4_8_100,1
condition and size of wild animals,GA_2.2_65_113,1
condition index,IAS_4_64_104,1
connection to land,GA_2.3_36_133,1
connection to sea,GA_2.3_36_133,1
correlation between high cultural diversity and areas of high biodiversity,GA_2.3_71_160,1
corruption perception index,VA_3_27_60,1
costs associated with maintaining ncps of past or future projects,VA_3_76_86,1
costs associated with protecting nature and biodiversity,VA_3_76_86,1
coverage by protected areas of important sites for mountain biodiversity,GA_3_72_395,1
coverage of fisheries with management measures to reduce bycatch and discards,GA_1_52_19,1
crops and their dietary roles,GA_2.3_22_127,1
cultivated area,GA_2.3_39_137,1
cultural continuity,SUA_2_95_77,1
cultural identity,GA_2_25_33,1
culturally salient species,GA_2.2_5_55;GA_2.2_65_113,1
cumulative human impacts on marine ecosystems,GA_4_155_228,1
cumulative introduced invasive aliens,GA_2.2_37_70;GA_2.2_37_70,1
current distribution of species,IAS_2_155_79,1
cyclical patterns of abundance,SUA_2_96_79,1
"daily exposure natural terrestrial, coastal and marine areas",GA_2.3_42_143,1
demand for greener products and services,GA_3_26_355,1
density of preferred and palatable species,GA_2.3_40_140,1
development of crop varieties or landraces,GA_2.3_22_127,1
discontinued traditional land-management practices,GA_2.2_6_56,1
distance travelled to reach a resource,GA_2.3_40_140,1
diversity of competent hosts of vector-borne diseases,GA_2.3_42_143,1
diversity of life from which to learn,GA_2.3_42_143,1
domestic material consumption,GA_2_24_29,1
droughts,GA_2.2_6_56,1
ecolabel index,SUA_2_93_72,1
