indic_id,indicators_harmonized,ipcc_sup,ga_sup,sua_sup
IPCC_1,monthly maximum value of daily maximum temperature,1,NA,NA
IPCC_2,monthly minimum value of daily maximum temperature,1,NA,NA
IPCC_3,monthly minimum value of daily minimum temperature,1,NA,NA
IPCC_4,monthly maximum value of daily minimum temperature,1,NA,NA
IPCC_5,percentage of days when daily maximum temperature is greater than the 90th percentile,1,NA,NA
IPCC_6,percentage of days when daily maximum temperature is less than the 10th percentile,1,NA,NA
IPCC_7,percentage of days when daily minimum temperature is greater than the 90th percentile,1,NA,NA
IPCC_8,percentage of days when daily minimum temperature is less than the 10th percentile,1,NA,NA
IPCC_9,number of icing days: annual count of days when tx (daily maximum temperature) <0°c,1,NA,NA
IPCC_10,number of frost days: annual count of days when tn (daily minimum temperature) <0°c,1,NA,NA
IPCC_11,warm spell duration index (wsdi),1,NA,NA
IPCC_12,cold spell duration index: annual count of days with at least six consecutive days when tn <10th percentile,1,NA,NA
IPCC_13,number of summer days: annual count of days when tx (daily maximum temperature) >25°c,1,NA,NA
IPCC_14,number of tropical nights: annual count of days when tn (daily minimum temperature) >20°c,1,NA,NA
IPCC_15,daily temperature range: monthly mean difference between tx and tn,1,NA,NA
IPCC_16,"growing season length: annual (1 jan to 31 dec in northern hemisphere (nh), 1 july to 30 june in southern hemisphere (sh)) count between first span of at least six days with daily mean temperature tg >5°c and first span after july 1 (jan 1 in sh) of six days with tg <5°c",1,NA,NA
IPCC_17,one-in-20 year return value of monthly maximum value of daily maximum temperature,1,NA,NA
IPCC_18,one-in-20 year return value of monthly minimum value of daily maximum temperature,1,NA,NA
IPCC_19,one-in-20 year return value of monthly minimum value of daily minimum temperature,1,NA,NA
IPCC_20,one-in-20 year return value of monthly maximum value of daily minimum temperature,1,NA,NA
IPCC_21,maximum one-day precipitation,1,NA,NA
IPCC_22,maximum five-day precipitation,1,NA,NA
IPCC_23,annual count of days when precipitation is greater than or equal to 5 mm,1,NA,NA
IPCC_24,annual count of days when precipitation is greater than or equal to 10 mm,1,NA,NA
IPCC_25,annual count of days when precipitation is greater than or equal to 20 mm,1,NA,NA
IPCC_26,annual count of days when precipitation is greater than or equal to 50 mm,1,NA,NA
IPCC_27,maximum number of consecutive days with less than 1 mm of precipitation per day,1,NA,NA
IPCC_28,maximum number of consecutive days with more than or equal to 1 mm of precipitation per day,1,NA,NA
IPCC_29,annual total precipitation when the daily precipitation exceeds the 95th percentile of the wet-day (>1 mm) precipitation,1,NA,NA
IPCC_30,annual precipitation amount when the daily precipitation exceeds the 99th percentile of the wet-day precipitation,1,NA,NA
IPCC_31,simple precipitation intensity index,1,NA,NA
IPCC_32,one-in-20 year return value of maximum one-day precipitation,1,NA,NA
IPCC_33,one-in-20 year return value of maximum five-day precipitation,1,NA,NA
IPCC_34,standardized precipitation index,1,NA,NA
IPCC_35,"potential evaporation, evaporative demand drought index",1,NA,NA
IPCC_36,soil moisture anomalies,1,NA,NA
IPCC_37,standardized soil moisture index,1,NA,NA
IPCC_38,standardized runoff index,1,NA,NA
IPCC_39,standardized streamflow index,1,NA,NA
IPCC_40,palmer drought severity index (pdsi),1,NA,NA
IPCC_41,standardized precipitation evapotranspiration index (spei),1,NA,NA
NA,gross domestic product,NA,1,NA
NA,globalization index,NA,1,NA
NA,poverty gap,NA,1,NA
NA,food security index,NA,1,NA
NA,depth of the food deficit (kcal/capit a/day) (3- year average),NA,1,NA
NA,access to improved sanitation facilities,NA,1,NA
NA,domestic material consumption,NA,1,NA
NA,per capita calorie intake,NA,1,NA
NA,prevalence of obesity in the adult population (18 years and older),NA,1,NA
NA,energy use (kg of oil equivalent per capita),NA,1,NA
NA,mobile cellular subscriptions,NA,1,NA
NA,fossil-fuel energy consumption (% of total),NA,1,NA
NA,renewable electricity consumption (% of total electricity output),NA,1,NA
NA,electric power consumption (kwh per capita),NA,1,NA
NA,access to electricity,NA,1,NA
NA,alternative and nuclear energy (% of total energy use),NA,1,NA
NA,protein intake per country per person,NA,1,NA
NA,"energy supply derived from cereals, roots and tubers",NA,1,NA
NA,people per ouletlet mcdonals,NA,1,NA
NA,population growth (annual %),NA,1,NA
NA,population density,NA,1,NA
NA,child mortality rate,NA,1,NA
NA,urban population,NA,1,NA
NA,total international migrant stock,NA,1,NA
NA,refugee population,NA,1,NA
NA,migration net,NA,1,NA
NA,population in the largest city,NA,1,NA
NA,population in megacities,NA,1,NA
NA,agricultural land,NA,1,NA
NA,livestock indigenous animals,NA,1,NA
NA,livestock density of cattle,NA,1,NA
NA,livestock density of animals (chickens),NA,1,NA
NA,area of agricultural land under organic production,NA,1,NA
NA,"international tourism, number of departures",NA,1,NA
NA,"international tourism, number of arrivals",NA,1,NA
NA,container port traffic (teu: 20 foot equivalent units),NA,1,NA
NA,air passengers,NA,1,NA
NA,air departures,NA,1,NA
NA,deaths from air pollution,NA,1,NA
NA,ghg emissions,NA,1,NA
NA,pesticide use,NA,1,NA
NA,fertilizers used,NA,1,NA
NA,air pollution,NA,1,NA
NA,nitrogenen deposition trends,NA,1,NA
NA,ghg emissions change,NA,1,NA
NA,extraction ores,NA,1,NA
NA,extraction all of biomass,NA,1,NA
NA,extraction of ind. and const. minerals,NA,1,NA
NA,extraction biomass food,NA,1,NA
NA,extraction biomass forestry,NA,1,NA
NA,extraction biomass feed,NA,1,NA
NA,extraction biomass animals,NA,1,NA
NA,extraction other biomass,NA,1,NA
NA,extraction fossil-fuel,NA,1,NA
NA,water withdrawal,NA,1,NA
NA,renewable internal freshwater resource,NA,1,NA
NA,agricultural water withdrawal,NA,1,NA
NA,ramsar sites,NA,1,NA
NA,certified forest area,NA,1,NA
NA,united nations framework convention on climate change,NA,1,NA
NA,convention of fishing and conservation of the living resources of the high seas,NA,1,NA
NA,montreal protocol,NA,1,NA
NA,convention on biological diversity,NA,1,NA
NA,convention on the conservation of antarctic marine living resources,NA,1,NA
NA,"credit to agriculture, forestry and fishing",NA,1,NA
NA,political stability and absence of violence/terrorism,NA,1,NA
NA,above-ground biomass,NA,1,NA
NA,biodiversity habitat index,NA,1,NA
NA,biodiversity habitat index (hotspots),NA,1,NA
NA,coastal carbon-rich habitat,NA,1,NA
NA,coastal protection habitats,NA,1,NA
NA,forest area,NA,1,NA
NA,extent of intact forest landscapes,NA,1,NA
NA,extent of marine wilderness,NA,1,NA
NA,extent of terrestrial wilderness,NA,1,NA
NA,fraction of ocean not fished per year,NA,1,NA
NA,land not cultivated or urban,NA,1,NA
NA,land not cultivated or urban (hotspots),NA,1,NA
NA,land not cultivated or urban (indigenous lands),NA,1,NA
NA,leaf area index (lai),NA,1,NA
NA,mangrove forest area,NA,1,NA
NA,extent of suitable habitat,NA,1,NA
NA,live coral cover,NA,1,NA
NA,permanent surface water extent,NA,1,NA
NA,remaining primary vegetation,NA,1,NA
NA,remaining primary vegetation (hotspots),NA,1,NA
NA,remaining primary vegetation (indigenous lands),NA,1,NA
NA,seagrass meadow area,NA,1,NA
NA,soil organic carbon (correlative model),NA,1,NA
NA,soil organic carbon (mechanistic models),NA,1,NA
NA,tree cover,NA,1,NA
NA,vegetation biomass (mechanistic models),NA,1,NA
NA,wetland extent trends index,NA,1,NA
NA,biological pump efficiency,NA,1,NA
NA,biomass turnover rate,NA,1,NA
NA,evapotranspiration (model ensemble),NA,1,NA
NA,marine net primary production,NA,1,NA
NA,net primary production remaining in ecosystems,NA,1,NA
NA,oceanic carbon sequestration,NA,1,NA
NA,terrestrial c sequestration (model ensemble),NA,1,NA
NA,terrestrial net primary production (model ensemble),NA,1,NA
NA,terrestrial net primary production (remote-sensing),NA,1,NA
NA,biodiversity intactness index (hotspots),NA,1,NA
NA,biodiversity intactness index (indigenous lands),NA,1,NA
NA,biodiversity intactness index,NA,1,NA
NA,local species richness (biotime),NA,1,NA
NA,local species richness (predicts),NA,1,NA
NA,mean species abundance (msa),NA,1,NA
NA,mean species abundance (msa) (hotspots),NA,1,NA
NA,mean species abundance (msa) (indigenous lands),NA,1,NA
NA,"biodiversity intactness index (tropical forest, hotspots)",NA,1,NA
NA,"biodiversity intactness index (tropical forest, indigenous lands)",NA,1,NA
NA,biodiversity intactness index (tropical forest),NA,1,NA
NA,bird species per grid cell,NA,1,NA
NA,cumulative introduced invasive aliens,NA,1,NA
NA,forest-specialist bird species per grid cell,NA,1,NA
NA,functional intactness (madingley) (madingley),NA,1,NA
NA,species richness per grid cell,NA,1,NA
NA,global bird richness (csar),NA,1,NA
NA,global forest-specialist bird richness (csar),NA,1,NA
NA,global mammal and bird species remaining,NA,1,NA
NA,red list index,NA,1,1
NA,red list index (forest specialists),NA,1,NA
NA,red list index (internationally traded birds),NA,1,NA
NA,red list index (pollinators),NA,1,NA
NA,red list index (for utilized species),NA,1,NA
NA,red list index (wild relatives of farmed and domesticated species),NA,1,NA
NA,extent of suitable habitat (mammals),NA,1,NA
NA,mammalian range size,NA,1,NA
NA,megafaunal range size,NA,1,NA
NA,species habitat index,NA,1,NA
NA,proportion of fish stocks within biologically sustainable levels,NA,1,1
NA,living planet index (freshwater),NA,1,NA
NA,living planet index (marine),NA,1,NA
NA,living planet index,NA,1,NA
NA,living planet index (terrestrial),NA,1,NA
NA,predatory fish biomass,NA,1,NA
NA,prey fish biomass,NA,1,NA
NA,wild bird index (habitat specialists),NA,1,NA
NA,wild mammal biomass,NA,1,NA
NA,functional richness (madingley),NA,1,NA
NA,mammalian body mass,NA,1,NA
NA,marine trophic index (mti),NA,1,NA
NA,extent of each ecoregion globally,NA,1,NA
NA,landscape dominance of habitat,NA,1,NA
NA,number of managed bee hives,NA,1,NA
NA,abundance of managed and wild pollinators,NA,1,NA
NA,pollinator diversity,NA,1,NA
NA,proportion pollinator dependent vegetables/fruit in food supply,NA,1,NA
NA,number of visitors to national parks in the eeuu,NA,1,NA
NA,output from pollinator dependent crops,NA,1,NA
NA,carbon stocks in ecosystems,NA,1,NA
NA,prevented emissions from biofuel use,NA,1,NA
NA,vegetation type and cover in areas prone to soil dust emission,NA,1,NA
NA,leaf properties,NA,1,NA
NA,vegetation type and cover in areas prone to soil dust movement,NA,1,NA
NA,concentration of air pollutants in the air,NA,1,NA
NA,retention and prevented emissions of air pollutants by ecosystems,NA,1,NA
NA,amelioration of health problems caused by air pollution resulted from ecosystem contributions to air quality,NA,1,NA
NA,reduction in the number of deaths caused by air pollution reduction by ecosystems,NA,1,NA
NA,"premature deaths caused by pollution emissions by natural sources, biomass burning, firewood use and agriculture",NA,1,NA
NA,cost reduction with healthcare resulted from ecosystem contributions to air quality,NA,1,NA
NA,cost reduction associated to prevented deaths caused by air pollution as consequence of ecosystems’ deposition of air pollutants,NA,1,NA
NA,vegetation-atmosphere co2 exchange,NA,1,NA
NA,below- and above-ground biomass stocks,NA,1,NA
NA,biomass changes,NA,1,NA
NA,remote sensed vegetation,NA,1,NA
NA,mechanistic models that quantify and disentangle effects of vegetation on climate and hydrological cycle,NA,1,NA
