indicators_harmonized,ga_extracted,sua_extracted,va_extracted,ipcc_extracted,geo_extracted,variable,index,ILK_indicators
gross domestic product,1,1,1,NA,NA,NA,1,NA
human development index (hdi),1,1,1,NA,NA,NA,1,NA
inclusive wealth,1,1,1,NA,NA,NA,1,NA
gross national happiness index,1,1,1,NA,NA,NA,1,NA
ecological footprint,1,NA,1,NA,1,NA,1,NA
water footprint,1,NA,NA,NA,NA,NA,1,NA
percentage of countries that are category 1 cites parties,1,NA,NA,NA,NA,NA,1,NA
trends in forest extent,1,NA,NA,NA,NA,NA,1,NA
protected area coverage of key biodiversity areas,1,NA,NA,NA,NA,NA,1,NA
total wood removals,1,NA,NA,NA,NA,NA,1,NA
biodiversity habitat index,1,NA,NA,NA,NA,NA,1,NA
species habitat index,1,NA,NA,NA,NA,NA,1,NA
forest area as a percentage of total land area,1,NA,NA,NA,1,NA,1,NA
trends in fisheries certified by the msc,1,NA,NA,NA,NA,NA,1,NA
estimated fisheries catch and fishing effort,1,NA,NA,NA,NA,NA,1,NA
proportion of fish stocks within biologically sustainable levels,1,NA,NA,NA,1,NA,1,NA
inland fishery production,1,NA,NA,NA,NA,NA,1,NA
marine trophic index (mti),1,NA,NA,NA,NA,NA,1,NA
proportion of area of forest production under fsc and pefc certification,1,NA,NA,NA,NA,NA,1,NA
nitrogen use efficiency,1,NA,NA,NA,NA,NA,1,NA
nitrogen + phosphate fertilizers (n+p205 total nutrients),1,NA,NA,NA,NA,NA,1,NA
trends in pesticide use,1,NA,NA,NA,NA,NA,1,NA
trends in nitrogen deposition,1,NA,NA,NA,NA,NA,1,NA
species protection index,1,NA,NA,NA,NA,NA,1,NA
protected area management effectiveness (pame),1,NA,NA,NA,NA,NA,1,NA
protected area connectedness (parc-connectedness) index,1,NA,NA,NA,NA,NA,1,NA
protected area coverage,1,NA,NA,NA,NA,NA,1,NA
biodiversity intactness index,1,NA,1,NA,1,NA,1,NA
red list index,1,1,NA,NA,1,NA,1,NA
proportion of local breeds classified as being at risk of extinction,1,NA,NA,NA,NA,NA,1,NA
percentage of undernourished people,1,NA,NA,NA,NA,NA,1,NA
number of countries with developed or revised nbsaps,1,NA,NA,NA,NA,NA,1,NA
proportion of known species assessed through the iucn red list of threatened species,1,NA,NA,NA,NA,NA,1,NA
species status index,1,NA,NA,NA,NA,NA,1,NA
living planet index,1,1,NA,NA,1,NA,1,NA
"number of countries with national instruments on biodiversity-relevant taxes, charges and fees",1,NA,NA,NA,NA,NA,1,NA
number of countries with national instruments on redd plus schemes,1,NA,NA,NA,NA,NA,1,NA
trends in potentially harmful elements of government support to agriculture (produced support estimates),1,NA,NA,NA,NA,NA,1,NA
trends in potentially harmful elements of government support to fisheries,1,NA,NA,NA,NA,NA,1,NA
number of countries with national instruments on biodiversity relevant tradable permit schemes,1,NA,NA,NA,NA,NA,1,NA
human appropriation of net primary productivity,1,NA,NA,NA,NA,NA,1,NA
trend in carbon intensity,1,NA,NA,NA,NA,NA,1,NA
global climate risk index,1,NA,NA,NA,NA,NA,1,NA
wetland extent trends index,1,NA,NA,NA,NA,NA,1,NA
global effort in bottom trawling,1,NA,NA,NA,NA,NA,1,NA
number and coverage of stocks with adaptive management systems/plans,1,NA,NA,NA,NA,NA,1,NA
presence of regulations requiring recovery of depleted species,1,NA,NA,NA,NA,NA,1,NA
policies to secure that mortalities and significant indirect adverse impacts on non-target species are accounted for are in place,1,NA,NA,NA,NA,NA,1,NA
policies make adequate provisions to minimize impacts of fisheries on threatened species,1,NA,NA,NA,NA,NA,1,NA
coverage of fisheries with management measures to reduce bycatch and discards,1,NA,NA,NA,NA,NA,1,NA
proportion of predatory fish,1,NA,NA,NA,NA,NA,1,NA
mean length of fish,1,NA,NA,NA,NA,NA,1,NA
biotime-local species richness,1,NA,NA,NA,NA,NA,1,NA
temporal species turnover,1,NA,NA,NA,NA,NA,1,NA
overall species abundance,1,NA,NA,NA,NA,NA,1,NA
non declining exploited species,1,NA,NA,NA,NA,NA,1,NA
number of world natural heritage sites per country per year,1,NA,NA,NA,NA,NA,1,NA
nitrogen use balance,1,NA,NA,NA,NA,NA,1,NA
area of agricultural land under conservation agriculture,1,NA,NA,NA,NA,NA,1,NA
proportion of agricultural area under productive and sustainable agriculture,1,NA,NA,NA,1,NA,1,NA
trends in the numbers of invasive alien species introduction events,1,NA,NA,NA,NA,NA,1,NA
trends in invasive alien species vertebrate eradications,1,NA,NA,NA,NA,NA,1,NA
"protected area coverage of terrestrial, marine and freshwater ecoregions",1,NA,NA,NA,NA,NA,1,NA
protected area representativeness index,1,NA,NA,NA,NA,NA,1,NA
wildlife picture index,1,NA,NA,NA,NA,NA,1,NA
mean species abundance (msa),1,NA,NA,NA,NA,NA,1,NA
number of species extinctions,1,NA,NA,NA,NA,NA,1,NA
ramsar sites,1,NA,NA,NA,NA,NA,1,NA
better life index,1,NA,NA,NA,NA,NA,1,NA
percentage of population using safely managed drinking water services,1,NA,NA,NA,NA,NA,1,NA
land under cereal production (ha),1,NA,NA,NA,NA,NA,1,NA
global ecosystem restoration index,1,NA,NA,NA,NA,NA,1,NA
"number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits",1,NA,NA,NA,NA,NA,1,NA
global linguistic diversity index and language threat level,1,NA,NA,NA,NA,NA,1,NA
species occurrence records accessible through the global biodiversity information facility,1,NA,NA,NA,NA,NA,1,NA
species represented in the barcode of life data system,1,NA,NA,NA,NA,NA,1,NA
"information provided through the financial reporting framework, adopted by decision xii/3",1,NA,NA,NA,NA,NA,1,NA
gross domestic product per capita,1,NA,NA,NA,NA,NA,1,NA
child mortality,1,NA,NA,NA,1,1,NA,NA
caloric intake,1,NA,NA,NA,NA,1,NA,NA
per capita consumption,1,NA,NA,NA,NA,1,NA,NA
value of merchandise being exported,1,NA,NA,NA,NA,1,NA,NA
mortality rate under 5,1,NA,NA,NA,NA,NA,1,NA
calorie intake,1,NA,NA,NA,NA,NA,1,NA
globalization index,1,NA,NA,NA,NA,NA,1,NA
domestic material consumption per capita,1,NA,NA,NA,NA,NA,1,NA
merchandise exports,1,NA,NA,NA,NA,NA,1,NA
total population,1,NA,NA,NA,NA,NA,1,NA
proportion of urban population,1,NA,NA,NA,NA,NA,1,NA
international migrant stock,1,NA,NA,NA,NA,NA,1,NA
absence of conflict as indicator of political stability,1,NA,NA,NA,NA,NA,1,NA
protection of key biodiversity areas,1,NA,NA,NA,NA,NA,1,NA
income,1,1,NA,NA,NA,1,1,NA
life expectancy at birth,1,NA,NA,NA,NA,1,NA,NA
average number of years of schooling,1,NA,NA,NA,NA,1,NA,NA
linguistic diversity index,1,NA,NA,NA,NA,1,NA,NA
cultural identity,1,NA,NA,NA,NA,1,NA,NA
retention over time of indigenous ecological knowledge and practices,1,NA,NA,NA,NA,1,NA,NA
world happiness index,1,NA,NA,NA,NA,NA,1,NA
social progress index,1,NA,NA,NA,NA,NA,1,NA
environmental performance index,1,NA,NA,NA,NA,NA,1,NA
environmental component of the social sustainability index,1,NA,NA,NA,NA,NA,1,NA
fertilizer use,1,NA,NA,NA,NA,NA,1,NA
land use change,1,NA,NA,NA,1,1,1,NA
extraction of living biomass,1,NA,NA,NA,NA,NA,1,NA
extraction of non-living materials,1,NA,NA,NA,NA,NA,1,NA
greenhouse gas emissions,1,NA,NA,NA,1,NA,1,NA
air pollution,1,NA,NA,NA,NA,NA,1,NA
alien species richness,1,NA,NA,NA,NA,NA,1,NA
access to improved sanitation facilities,1,NA,NA,NA,NA,NA,1,NA
water quality index (watqi),1,NA,NA,NA,NA,NA,1,NA
total land footprint,1,NA,NA,NA,NA,NA,1,NA
percentage of abroad land use footprint,1,NA,NA,NA,NA,NA,1,NA
percentage of agricultural and urban areas,1,NA,NA,NA,NA,NA,1,NA
extraction of non-human materials,1,NA,NA,NA,NA,NA,1,NA
total greenhouse gas emissions per year,1,NA,NA,NA,NA,NA,1,NA
alien species,1,NA,NA,NA,NA,NA,1,NA
biomass of prey fish,1,NA,NA,NA,NA,1,NA,NA
terrestrial vegetation biomass,1,NA,NA,NA,NA,1,NA,NA
extent of forests,1,NA,NA,NA,NA,1,NA,NA
tree cover,1,NA,NA,NA,NA,1,NA,NA
total extinction risk,1,NA,NA,NA,NA,1,NA,NA
"time needed to harvest resources, distance travelled to harvest resources",1,NA,NA,NA,NA,1,NA,ILK
culturally salient species,1,NA,NA,NA,NA,1,NA,ILK
native newcomer species arrive,1,NA,NA,NA,NA,1,NA,ILK
new pests and invasive alien species colonize,1,NA,NA,NA,NA,1,NA,ILK
forests and grazing lands loss,1,NA,NA,NA,NA,1,NA,ILK
remnant ecosystems degrade,1,NA,NA,NA,NA,1,NA,ILK
health condition and body size of wild animals decrease,1,NA,NA,NA,NA,1,NA,ILK
tropical forest-monocrop conversions,1,NA,NA,NA,NA,1,NA,ILK
expansion of settlements,1,NA,NA,NA,NA,1,NA,ILK
discontinued traditional land-management practices,1,NA,NA,NA,NA,1,NA,ILK
droughts,1,NA,NA,NA,NA,1,NA,ILK
increasingly unpredictable annual distribution of rainfall,1,NA,NA,NA,NA,1,NA,ILK
arrival of new native and alien species,1,NA,NA,NA,NA,1,NA,ILK
changing range of wild species,1,NA,NA,NA,NA,1,NA,ILK
floods,1,NA,NA,NA,NA,1,NA,ILK
overexploitation of resources by outsiders and locals,1,NA,NA,NA,NA,1,NA,ILK
total richness of endemic species,1,NA,NA,NA,NA,NA,1,NA
range-size rarity,1,NA,NA,NA,NA,NA,1,NA
endemism richness,1,NA,NA,NA,NA,NA,1,NA
weighted endemisms,1,NA,NA,NA,NA,NA,1,NA
soil organic carbon,1,NA,NA,NA,NA,NA,1,NA
fraction of ocean not fished per year,1,NA,NA,NA,NA,NA,1,NA
