indicators_harmonized,var_indic,ga_extracted,ILK
gross domestic product,2,1,NA
human development index (hdi),2,1,NA
inclusive wealth,2,1,NA
gross national happiness index,2,1,NA
ecological footprint,2,1,NA
water footprint,2,1,NA
percentage of countries that are category 1 cites parties,2,1,NA
trends in forest extent,2,1,NA
protected area coverage of key biodiversity areas,2,1,NA
total wood removals,2,1,NA
biodiversity habitat index,2,1,NA
species habitat index,2,1,NA
forest area as a percentage of total land area,2,1,NA
trends in fisheries certified by the msc,2,1,NA
estimated fisheries catch and fishing effort,2,1,NA
proportion of fish stocks within biologically sustainable levels,2,1,NA
inland fishery production,2,1,NA
marine trophic index (mti),2,1,NA
proportion of area of forest production under fsc and pefc certification,2,1,NA
nitrogen use efficiency,2,1,NA
nitrogen + phosphate fertilizers (n+p205 total nutrients),2,1,NA
trends in pesticide use,2,1,NA
trends in nitrogen deposition,2,1,NA
species protection index,2,1,NA
protected area management effectiveness (pame),2,1,NA
protected area connectedness (parc-connectedness) index,2,1,NA
protected area coverage,2,1,NA
biodiversity intactness index,2,1,NA
red list index,2,1,NA
proportion of local breeds classified as being at risk of extinction,2,1,NA
percentage of undernourished people,2,1,NA
number of countries with developed or revised nbsaps,2,1,NA
proportion of known species assessed through the red list index,2,1,NA
species status index,2,1,NA
living planet index,2,1,NA
"number of countries with national instruments on biodiversity relevant taxes, charges and fees",2,1,NA
number of countries with national instruments on redd plus schemes,2,1,NA
trends in potentially harmful elements of government support to agriculture (produced support estimates),2,1,NA
trends in potentially harmful elements of government support to fisheries,2,1,NA
number of countries with national instruments on biodiversity relevant tradable permit schemes,2,1,NA
human appropriation of net primary productivity,2,1,NA
trend in carbon intensity,2,1,NA
global climate risk index,2,1,NA
wetland extent trends index,2,1,NA
global effort in bottom-trawling,2,1,NA
number and coverage of stocks with adaptive management systems/plans,2,1,NA
presence of regulations requiring recovery of depleted species,2,1,NA
policies to secure that mortalities and significant indirect adverse impacts on non-target species are accounted for are in place,2,1,NA
policies make adequate provisions to minimize impacts of fisheries on threatened species,2,1,NA
coverage of fisheries with management measures to reduce bycatch and discards,2,1,NA
proportion of predatory fish,2,1,NA
mean length of fish,2,1,NA
biotime-local species richness,2,1,NA
temporal species turnover,2,1,NA
overall species abundance,2,1,NA
non declining exploited species,2,1,NA
number of world natural heritage sites per country per year,2,1,NA
nitrogen use balance,2,1,NA
