indicators_harmonized,var_indic,ipcc_extracted,ILK
antarctic ice cores,2,1,NA
direct co2 air measurements,2,1,NA
global precipitation climatology centre (gpcc) v8,2,1,NA
glacier mass loss,2,1,NA
global surface air temperature (gmst),2,1,NA
sea level change,2,1,NA
ocean heat content,2,1,NA
atmospheric co2 concentrations,2,1,NA
global mean surface temperature (gmst),2,1,NA
global mean sea level (gmsl),2,1,NA
ph of ocean surface water,1,1,NA
global energy budget,2,1,NA
simulated global mean surface air temperature (gsat),1,1,NA
simulated global mean surface air temperature (gsat) anomalies,1,1,NA
estimate of gsat (era-5),1,1,NA
observation-based estimate of global mean surface air temperature (gmst),1,1,NA
mean gsat,1,1,NA
annual gsat change,1,1,NA
uk summer temperatures,1,1,NA
annual ice volume,1,1,NA
september sea ice extent,1,1,NA
global temperature,2,1,NA
cumulative ghg emissions,2,1,NA
economic damages due to river floods,1,1,NA
occurrence of heat-related human mortality,1,1,NA
economic inequality,1,1,NA
essential climate variables (ecvs),1,1,NA
essential ocean variables (eovs),1,1,NA
leaf area index (lai),2,1,NA
fraction of absorbed photosynthetically active radiation (fapar),2,1,NA
fire disturbances/burned areas,2,1,NA
time series of normalized difference vegetation index (ndvi),2,1,NA
northern hemisphere temperature over the last millennium,1,1,NA
thermosteric sea level,2,1,NA
salinity,2,1,NA
sea ice extent,2,1,NA
amoc,2,1,NA
global temperatures,1,1,NA
boron-isotope,1,1,NA
isotope-composition of molecular oxygen trapped in polar firn and ice,1,1,NA
free tropospheric ozone,1,1,NA
aerosol abundance,1,1,NA
pollen presence,1,1,NA
surface and upper air temperatures,2,1,NA
surface humidity,2,1,NA
precipitable water vapour,2,1,NA
precipitation,2,1,NA
precipitation-evaporation,2,1,NA
runoff,2,1,NA
sea level pressure and winds,2,1,NA
hadley/walker circulation,2,1,NA
global monsoons,2,1,NA
strom tracks and jets,2,1,NA
sudden stratospheric warmings,2,1,NA
seasonality and thickness,2,1,NA
terrestrial snow cover,2,1,NA
glacier mass and extent,2,1,NA
terrestrial permafrost temperature and active layer thickness,2,1,NA
