indicators_harmonized,km_gbf,sdg,cites,cms,iccwc,ramsar,unccd,policy,ga,sua,va,ias,geo,ipcc,ipbes,var,ILK_indicators,indicator,Categories,Categories_2,Subcategories,Subcategories_2
red list of ecosystems,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,1,ecosystems,NA,State of ecosystems,NA
extent of natural ecosystems,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems,NA
red list index,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,1,NA,NA,1,biodiversity,NA,State of biodiversity,NA
proportion of populations within species with a genetically effective population size > 500,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
services provided by ecosystems,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Nature contribution,NA
indicator on monetary benefits received,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,NA,Income,NA
indicator on non-monetary benefits,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,NA,Income,NA
"international public funding, including official development assistance (oda) for conservation and sustainable use of biodiversity and ecosystems",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,National/international cooperation,NA
domestic public funding on conservation and sustainable use of biodiversity and ecosystems,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Nature-based funding,NA
private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Nature-based funding,NA
percent of land and seas covered by biodiversity-inclusive spatial plans,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Area conservation,NA
area under restoration,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Restoration efforts,NA
coverage of protected areas and oecms,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Area conservation,NA
proportion of fish stocks within biologically sustainable levels,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,1,1,NA,1,biodiversity,NA,State of biodiversity,NA
rate of invasive alien species establishment,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,1,Direct drivers,NA,Invasive alien species,NA
index of coastal eutrophication potential (icep) potential,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
pesticide environment concentration,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,NA,Pollution,NA
benefits from the sustainable use of wild species,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA
percentage of the population in traditional employment,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Species conservation,Change in biodiversity
proportion of agricultural area under productive and sustainable agriculture,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,1,1,NA,1,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA
progress towards sustainable forest management,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,Governance,Ecosystem services,Nature-based legislation,Specific mention of sustainable use of species/ecosystems
