id,goal,objective,GBF_goals_targets,indicators_id,indicators
CITES_G1_O1,GOAL 1 TRADE IN CITES-LISTED SPECIES IS CONDUCTED IN FULL COMPLIANCE WITH THE CONVENTION IN ORDER TO ACHIEVE THEIR CONSERVATION AND SUSTAINABLE USE,"Objective 1.1 Parties comply with their obligations under the Convention through the adoption and implementation of appropriate legislation, policies, and procedures.",T14,"Indicator 1.1.1: Number of Parties that are in category 1 under the national legislation project. 
Indicator 1.1.2: Number of Parties subject to CITES recommendations to suspend trade.",Number of Parties that are in category 1 under the national legislation project.; Number of Parties subject to CITES recommendations to suspend trade
CITES_G1_O2,GOAL 1 TRADE IN CITES-LISTED SPECIES IS CONDUCTED IN FULL COMPLIANCE WITH THE CONVENTION IN ORDER TO ACHIEVE THEIR CONSERVATION AND SUSTAINABLE USE,Objective 1.2 Parties have established CITES Management and Scientific Authorities and enforcement focal points that effectively carry out the duties required of them under the Convention and relevant Resolutions.,T14,"Indicator 1.2.1: Number of Parties that have designated at least one Management Authority, independent Scientific Authority and enforcement focal points in place. ","Number of Parties that have designated at least one Management Authority, independent Scientific Authority and enforcement focal points in place."
CITES_G1_O3,GOAL 1 TRADE IN CITES-LISTED SPECIES IS CONDUCTED IN FULL COMPLIANCE WITH THE CONVENTION IN ORDER TO ACHIEVE THEIR CONSERVATION AND SUSTAINABLE USE,Objective 1.3 Implementation of the Convention at the national level is consistent with Resolutions and Decisions adopted by the Conference of the Parties.,,Indicator 1.3.1: Number of Parties that have implemented relevant reporting under Resolutions and Decisions of the Conference of the Parties and/or Standing Committee recommendations.,Number of Parties that have implemented relevant reporting under Resolutions and Decisions of the Conference of the Parties and/or Standing Committee recommendations.
CITES_G1_O4,GOAL 1 TRADE IN CITES-LISTED SPECIES IS CONDUCTED IN FULL COMPLIANCE WITH THE CONVENTION IN ORDER TO ACHIEVE THEIR CONSERVATION AND SUSTAINABLE USE,Objective 1.4 The Appendices correctly reflect the conservation status and needs of species.,,,
CITES_G1_O5,GOAL 1 TRADE IN CITES-LISTED SPECIES IS CONDUCTED IN FULL COMPLIANCE WITH THE CONVENTION IN ORDER TO ACHIEVE THEIR CONSERVATION AND SUSTAINABLE USE,"Objective 1.5 Parties improve the conservation status of CITES-listed specimens, put in place national conservation actions, support their sustainable use and promote cooperation in managing shared wildlife resources.",T14; T9; T5,"Indicator 1.5.1: The conservation status of species listed on the CITES Appendices has stabilized or improved. 
Indicator 1.5.2: Number of CITES-listed species for which Parties have put in place actions that support sustainable use",The conservation status of species listed on the CITES Appendices has stabilized or improved; Number of CITES-listed species for which Parties have put in place actions that support sustainable use
CITES_G2_O1,GOAL 2 PARTIES’ DECISIONS ARE SUPPORTED BY THE BEST AVAILABLE SCIENCE AND INFORMATION,Objective 2.1 Parties’ non-detriment findings are based on best available scientific information and their determination of legal acquisition is based on the best available technical and legal information.,T21,"Indicator 2.1.1: Number of Parties that have adopted standard procedures for making non-detriment findings (NDFs). 
Indicator 2.1.2: Number of written NDFs submitted and number of Parties submitting NDFs for posting in the CITES online database. 
Indicator 2.1.3: Number of Parties that have included the legal acquisition finding obligation in their national regulatory framework, as recommended by Resolution Conf. 18.7 (Rev. CoP19). ","Number of Parties that have adopted standard procedures for making non-detriment findings (NDFs); Number of written NDFs submitted and number of Parties submitting NDFs for posting in the CITES online database; Number of Parties that have included the legal acquisition finding obligation in their national regulatory framework, as recommended by Resolution Conf. 18.7 (Rev. CoP19)"
CITES_G2_O2,GOAL 2 PARTIES’ DECISIONS ARE SUPPORTED BY THE BEST AVAILABLE SCIENCE AND INFORMATION,Objective 2.2 Parties cooperate in sharing information and tools relevant to the implementation of CITES.,T20,"Indicator 2.2.1: Number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in Resolution Conf. 16.7 (Rev. CoP17) on Non-detriment findings related to: - the population status of Appendix-II species; - the trends and impact of trade upon Appendix-II species; and - the status of and trend in naturally-occurring Appendix I species and the impact of any recovery plans. 
Indicator 2.2.2: Number and proportion of annual export quotas based on population surveys. 
Indicator 2.2.3: Number of workshops and other capacity-building activities that bring range States together to address the conservation and management needs of shared CITES listed species. 
Indicator 2.2.4: Number of reports shared by the Parties in compliance with the Resolutions of the Convention. 
Indicator 2.2.5: Number of Parties sharing information relevant to the implementation of CITES (e.g. shared databases, data visualization/software, information-sharing focused tools, etc.). 
Indicator 2.2.6: Number of CoP side-events where Parties present information and tools relevant to the implementation of CITES.","Number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in Resolution Conf. 16.7 (Rev. CoP17) on Non-detriment findings related to: - the population status of Appendix-II species; - the trends and impact of trade upon Appendix-II species; and - the status of and trend in naturally-occurring Appendix I species and the impact of any recovery plans; Number and proportion of annual export quotas based on population surveys; Number of workshops and other capacity-building activities that bring range States together to address the conservation and management needs of shared CITES listed species; Number of reports shared by the Parties in compliance with the Resolutions of the Convention; Number of Parties sharing information relevant to the implementation of CITES (e.g. shared databases, data visualization/software, information-sharing focused tools, etc.); Number of CoP side-events where Parties present information and tools relevant to the implementation of CITES."
CITES_G2_O3,GOAL 2 PARTIES’ DECISIONS ARE SUPPORTED BY THE BEST AVAILABLE SCIENCE AND INFORMATION,Objective 2.3 Parties have sufficient information to enforce the Convention.,,"Indicator 2.3.1: Proportion of Parties that are making use of the available tools. For instance, one could look at Google Analytics for the number of site visits to the CITES website, CITES Checklist, or Species+ or the number of downloads from the CITES Trade Database as a proxy for usage of shared tools. 
Indicator 2.3.2: Percentage of Parties reporting having sufficient information to enforce the Convention. ","Proportion of Parties that are making use of the available tools. For instance, one could look at Google Analytics for the number of site visits to the CITES website, CITES Checklist, or Species+ or the number of downloads from the CITES Trade Database as a proxy for usage of shared tools; Percentage of Parties reporting having sufficient information to enforce the Convention."
CITES_G2_O4,GOAL 2 PARTIES’ DECISIONS ARE SUPPORTED BY THE BEST AVAILABLE SCIENCE AND INFORMATION,Objective 2.4 Parties have sufficient information to make listing decisions that are reflective of species conservation needs.,T21,Indicator 2.4.1: Percentage of Parties reporting having sufficient information to make listing decisions that are reflective of species conservation needs.,Percentage of Parties reporting having sufficient information to make listing decisions that are reflective of species conservation needs.
CITES_G2_O5,GOAL 2 PARTIES’ DECISIONS ARE SUPPORTED BY THE BEST AVAILABLE SCIENCE AND INFORMATION,Objective 2.5 Information gaps and needs for key species are identified and addressed.,T21,"Indicator 2.5.1: Number of Parties that have undertaken research (including for non-detriment findings) on their identified key species most relevant to the implementation of the Convention. 
Indicator 2.5.2: Number of Parties that currently lack information for their identified key species most relevant to the implementation of the Convention and need assistance to address them. ",Number of Parties that have undertaken research (including for non-detriment findings) on their identified key species most relevant to the implementation of the Convention; Number of Parties that currently lack information for their identified key species most relevant to the implementation of the Convention and need assistance to address them
