Goal/target,indicators_harmonized,indic_id,indicators_orig,mea,ipbes,Categories,Subcategories,Categories_2,Subcategories_2
Goal A,red list of ecosystems,GBF_H_GA_1,Red List of Ecosystems,GBF,NA,Ecosystems,State Of Ecosystems,NA,NA
Goal A,extent of natural ecosystems,GBF_H_GA_2,Extent of natural ecosystems,GBF,NA,Ecosystems,State Of Ecosystems,NA,NA
Goal A,red list index,GBF_H_GA_3,Red List Index,"GBF,SDG",1,Biodiversity,State Of Biodiversity,NA,NA
Goal A,proportion of populations within species with an effective population size > 500,GBF_H_GA_4,The proportion of populations within species with an effective population size > 500,NA,NA,NA,NA,NA,NA
Goal B,services provided by ecosystems,GBF_H_GB_5,Services provided by ecosystems,GBF,NA,Ecosystem Services,Nature Contribution,NA,NA
Goal B,"number of countries with policies or action plans for [[implementing and monitoring] the sustainable use of biodiversity and the maintenance and enhancement of nature’s contributions to people, including ecosystem functions and services [in a manner supportive of sustainable development][and processes to value biodiversity as well as policies to ensure the provision of ecosystem services for present and future generations]][promoting the achievement of goal b]",GBF_H_GB_6,"Number of countries with policies or action plans for [[implementing and monitoring] the sustainable use of biodiversity and the maintenance and enhancement of nature’s contributions to people, including ecosystem functions and services [in a manner supportive of sustainable development][and processes to value biodiversity as well as policies to ensure the provision of ecosystem services for present and future generations]][promoting the achievement of Goal B].",NA,NA,NA,NA,NA,NA
Goal C,monetary benefits received in accordance with applicable internationally agreed access and benefit-sharing instruments,GBF_H_GC_7,Monetary benefits received in accordance with applicable internationally agreed Access and Benefit-sharing instruments,NA,NA,NA,NA,NA,NA
Goal C,non-monetary benefits arising from applicable international access and benefit-sharing instruments,GBF_H_GC_8,Non-monetary benefits arising from applicable international Access and Benefit-sharing instruments,NA,NA,NA,NA,NA,NA
Goal C,"number of countries that have taken effective legal, policy, administrative and capacity-building measures at all levels, as appropriate, to ensure the fair and equitable sharing of benefits from the utilization of genetic resources and from digital sequence information on genetic resources, as well as traditional knowledge associated with genetic resources",GBF_H_GC_9,"Number of countries that have taken effective legal, policy, administrative and capacity-building measures at all levels, as appropriate, to ensure the fair and equitable sharing of benefits from the utilization of genetic resources and from digital sequence information on genetic resources, as well as traditional knowledge associated with genetic resources.",NA,NA,NA,NA,NA,NA
Goal D,"international public funding, including official development assistance (oda) for conservation and sustainable use of biodiversity and ecosystems",GBF_H_GD_10,"International public funding, including official development assistance (ODA) for conservation and sustainable use of biodiversity and ecosystems",GBF,NA,Governance,National/International Cooperation,NA,NA
Goal D,domestic public funding on conservation and sustainable use of biodiversity and ecosystems,GBF_H_GD_11,Domestic public funding on conservation and sustainable use of biodiversity and ecosystems,GBF,NA,Governance,Nature-Based Funding,NA,NA
Goal D,private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems,GBF_H_GD_12,Private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems,GBF,NA,Governance,Nature-Based Funding,NA,NA
Target 1,red list of ecosystems,GBF_H_T1_13,Red List of Ecosystems,GBF,NA,Ecosystems,State Of Ecosystems,NA,NA
Target 1,extent of natural ecosystems,GBF_H_T1_14,Extent of natural ecosystems,GBF,NA,Ecosystems,State Of Ecosystems,NA,NA
Target 1,percentage of land and seas covered by biodiversity-inclusive spatial plans,GBF_H_T1_15,Percentage of land and seas covered by biodiversity-inclusive spatial plans,NA,NA,NA,NA,NA,NA
Target 1,"number of countries using participatory, integrated and biodiversity-inclusive spatial planning or effective management processes to address land and sea use change",GBF_H_T1_16,"Number of countries using participatory, integrated and biodiversity-inclusive spatial planning or effective management processes to address land and sea use change.",NA,NA,NA,NA,NA,NA
Target 2,area under restoration,GBF_H_T2_17,Area under restoration,GBF,NA,Ecosystems,Restoration Efforts,NA,NA
