id,goal,objective,indic_id,indicator_orig,indicator_harmonized
CITES_G1_O1,GOAL 1 TRADE IN CITES-LISTED SPECIES IS CONDUCTED IN FULL COMPLIANCE WITH THE CONVENTION IN ORDER TO ACHIEVE THEIR CONSERVATION AND SUSTAINABLE USE,"Objective 1.1 Parties comply with their obligations under the Convention through the adoption and implementation of appropriate legislation, policies, and procedures.",CITES_G1_O1_1.1.1,Number of Parties that are in category 1 under the national legislation project. ,number of parties that are in category 1 under the national legislation project
CITES_G1_O1,GOAL 1 TRADE IN CITES-LISTED SPECIES IS CONDUCTED IN FULL COMPLIANCE WITH THE CONVENTION IN ORDER TO ACHIEVE THEIR CONSERVATION AND SUSTAINABLE USE,"Objective 1.1 Parties comply with their obligations under the Convention through the adoption and implementation of appropriate legislation, policies, and procedures.",CITES_G1_O1_1.1.2,Number of Parties subject to CITES recommendations to suspend trade.,number of parties subject to cites recommendations to suspend trade
CITES_G1_O2,GOAL 1 TRADE IN CITES-LISTED SPECIES IS CONDUCTED IN FULL COMPLIANCE WITH THE CONVENTION IN ORDER TO ACHIEVE THEIR CONSERVATION AND SUSTAINABLE USE,Objective 1.2 Parties have established CITES Management and Scientific Authorities and enforcement focal points that effectively carry out the duties required of them under the Convention and relevant Resolutions.,CITES_G1_O2_1.2.1,"Number of Parties that have designated at least one Management Authority, independent Scientific Authority and enforcement focal points in place.","number of parties that have designated at least one management authority, independent scientific authority and enforcement focal points in place"
CITES_G1_O3,GOAL 1 TRADE IN CITES-LISTED SPECIES IS CONDUCTED IN FULL COMPLIANCE WITH THE CONVENTION IN ORDER TO ACHIEVE THEIR CONSERVATION AND SUSTAINABLE USE,Objective 1.3 Implementation of the Convention at the national level is consistent with Resolutions and Decisions adopted by the Conference of the Parties.,CITES_G1_O3_1.3.1,Number of Parties that have implemented relevant reporting under Resolutions and Decisions of the Conference of the Parties and/or Standing Committee recommendations.,number of parties that have implemented relevant reporting under resolutions and decisions of the conference of the parties and/or standing committee recommendations
CITES_G1_O4,GOAL 1 TRADE IN CITES-LISTED SPECIES IS CONDUCTED IN FULL COMPLIANCE WITH THE CONVENTION IN ORDER TO ACHIEVE THEIR CONSERVATION AND SUSTAINABLE USE,Objective 1.4 The Appendices correctly reflect the conservation status and needs of species.,CITES_G1_O4_NA,NA,NA
CITES_G1_O5,GOAL 1 TRADE IN CITES-LISTED SPECIES IS CONDUCTED IN FULL COMPLIANCE WITH THE CONVENTION IN ORDER TO ACHIEVE THEIR CONSERVATION AND SUSTAINABLE USE,"Objective 1.5 Parties improve the conservation status of CITES-listed specimens, put in place national conservation actions, support their sustainable use and promote cooperation in managing shared wildlife resources.",CITES_G1_O5_1.5.1,The conservation status of species listed on the CITES Appendices has stabilized or improved. ,the conservation status of species listed on the cites appendices has stabilized or improved
CITES_G1_O5,GOAL 1 TRADE IN CITES-LISTED SPECIES IS CONDUCTED IN FULL COMPLIANCE WITH THE CONVENTION IN ORDER TO ACHIEVE THEIR CONSERVATION AND SUSTAINABLE USE,"Objective 1.5 Parties improve the conservation status of CITES-listed specimens, put in place national conservation actions, support their sustainable use and promote cooperation in managing shared wildlife resources.",CITES_G1_O5_1.5.2,Number of CITES-listed species for which Parties have put in place actions that support sustainable use,number of cites-listed species for which parties have put in place actions that support sustainable us
CITES_G2_O1,GOAL 2 PARTIES’ DECISIONS ARE SUPPORTED BY THE BEST AVAILABLE SCIENCE AND INFORMATION,Objective 2.1 Parties’ non-detriment findings are based on best available scientific information and their determination of legal acquisition is based on the best available technical and legal information.,CITES_G2_O1_2.1.1,Number of Parties that have adopted standard procedures for making non-detriment findings (NDFs). ,number of parties that have adopted standard procedures for making non-detriment findings (ndfs)
CITES_G2_O1,GOAL 2 PARTIES’ DECISIONS ARE SUPPORTED BY THE BEST AVAILABLE SCIENCE AND INFORMATION,Objective 2.1 Parties’ non-detriment findings are based on best available scientific information and their determination of legal acquisition is based on the best available technical and legal information.,CITES_G2_O1_2.1.2,Number of written NDFs submitted and number of Parties submitting NDFs for posting in the CITES online database. ,number of written ndfs submitted and number of parties submitting ndfs for posting in the cites online database
CITES_G2_O1,GOAL 2 PARTIES’ DECISIONS ARE SUPPORTED BY THE BEST AVAILABLE SCIENCE AND INFORMATION,Objective 2.1 Parties’ non-detriment findings are based on best available scientific information and their determination of legal acquisition is based on the best available technical and legal information.,CITES_G2_O1_2.1.3,"Number of Parties that have included the legal acquisition finding obligation in their national regulatory framework, as recommended by Resolution Conf. 18.7 (Rev. CoP19).","number of parties that have included the legal acquisition finding obligation in their national regulatory framework, as recommended by resolution conf. 18.7 (rev. cop19)"
