Goal/target,Indicator name,indicator_type,indic_id,indicator_name
Goal A,Red List of Ecosystems,Headline,GBF_GA_H_1,Red List of Ecosystems
Goal A,Extent of natural ecosystems,Headline,GBF_GA_H_2,Extent of natural ecosystems
Goal A,Red List Index,Headline,GBF_GA_H_3,Red List Index
Goal A,The proportion of populations within species with an effective population size > 500,Headline,GBF_GA_H_4,The proportion of populations within species with an effective population size > 500
Goal B,Services provided by ecosystems,Headline,GBF_GB_H_5,Services provided by ecosystems
Goal B,"Number of countries with policies or action plans for [[implementing and monitoring] the sustainable use of biodiversity and the maintenance and enhancement of nature’s contributions to people, including ecosystem functions and services [in a manner supportive of sustainable development][and processes to value biodiversity as well as policies to ensure the provision of ecosystem services for present and future generations]][promoting the achievement of Goal B].",Binary,GBF_GB_H_6,"Number of countries with policies or action plans for [[implementing and monitoring] the sustainable use of biodiversity and the maintenance and enhancement of nature’s contributions to people, including ecosystem functions and services [in a manner supportive of sustainable development][and processes to value biodiversity as well as policies to ensure the provision of ecosystem services for present and future generations]][promoting the achievement of Goal B]."
Goal C,Monetary benefits received in accordance with applicable internationally agreed Access and Benefit-sharing instruments,Headline,GBF_GC_H_7,Monetary benefits received in accordance with applicable internationally agreed Access and Benefit-sharing instruments
Goal C,Non-monetary benefits arising from applicable international Access and Benefit-sharing instruments,Headline,GBF_GC_H_8,Non-monetary benefits arising from applicable international Access and Benefit-sharing instruments
Goal C,"Number of countries that have taken effective legal, policy, administrative and capacity-building measures at all levels, as appropriate, to ensure the fair and equitable sharing of benefits from the utilization of genetic resources and from digital sequence information on genetic resources, as well as traditional knowledge associated with genetic resources.",Binary,GBF_GC_H_9,"Number of countries that have taken effective legal, policy, administrative and capacity-building measures at all levels, as appropriate, to ensure the fair and equitable sharing of benefits from the utilization of genetic resources and from digital sequence information on genetic resources, as well as traditional knowledge associated with genetic resources."
Goal D,"International public funding, including official development assistance (ODA) for conservation and sustainable use of biodiversity and ecosystems",Headline,GBF_GD_H_10,"International public funding, including official development assistance (ODA) for conservation and sustainable use of biodiversity and ecosystems"
Goal D,Domestic public funding on conservation and sustainable use of biodiversity and ecosystems,Headline,GBF_GD_H_11,Domestic public funding on conservation and sustainable use of biodiversity and ecosystems
Goal D,Private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems,Headline,GBF_GD_H_12,Private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems
Target 1,Red List of Ecosystems,Headline,GBF_T1_H_13,Red List of Ecosystems
Target 1,Extent of natural ecosystems,Headline,GBF_T1_H_14,Extent of natural ecosystems
Target 1,Percentage of land and seas covered by biodiversity-inclusive spatial plans,Headline,GBF_T1_H_15,Percentage of land and seas covered by biodiversity-inclusive spatial plans
Target 1,"Number of countries using participatory, integrated and biodiversity-inclusive spatial planning or effective management processes to address land and sea use change.",Binary,GBF_T1_H_16,"Number of countries using participatory, integrated and biodiversity-inclusive spatial planning or effective management processes to address land and sea use change."
Target 2,Area under restoration,Headline,GBF_T2_H_17,Area under restoration
Target 3,Coverage of protected areas and other effective area-based conservation measures,Headline,GBF_T3_H_18,Coverage of protected areas and other effective area-based conservation measures
Target 4,Red List Index,Headline,GBF_T4_H_19,Red List Index
Target 4,The proportion of populations within species with an effective population size > 500,Headline,GBF_T4_H_20,The proportion of populations within species with an effective population size > 500
Target 5,Proportion of fish stocks within biologically sustainable levels,Headline,GBF_T5_H_21,Proportion of fish stocks within biologically sustainable levels
Target 6,Rate of invasive alien species establishment,Headline,GBF_T6_H_22,Rate of invasive alien species establishment
Target 6,"Number of countries adopting relevant regulation, processes and measures and allocating resources to reduce the impact of invasive alien species.",Binary,GBF_T6_H_23,"Number of countries adopting relevant regulation, processes and measures and allocating resources to reduce the impact of invasive alien species."
Target 7,Index of coastal eutrophication potential,Headline,GBF_T7_H_24,Index of coastal eutrophication potential
Target 7,Aggregated Total Applied Toxicity,Headline,GBF_T7_H_25,Aggregated Total Applied Toxicity
Target 8,Number of countries with agreed policies to minimize the impact of climate change and ocean acidification on biodiversity and that minimize negative and foster positive impacts of climate action on biodiversity.,Binary,GBF_T8_H_26,Number of countries with agreed policies to minimize the impact of climate change and ocean acidification on biodiversity and that minimize negative and foster positive impacts of climate action on biodiversity.
Target 9,Benefits from the sustainable use of wild species,Headline,GBF_T9_H_27,Benefits from the sustainable use of wild species
Target 9,Percentage of the population in traditional occupations,Headline,GBF_T9_H_28,Percentage of the population in traditional occupations
Target 9,"Number of countries with policies to sustainably manage, use [and trade] wild species, providing social, economic and environmental benefits for people, and that protect and encourage customary sustainable use [of wild species] by indigenous peoples and local communities.",Binary,GBF_T9_H_29,"Number of countries with policies to sustainably manage, use [and trade] wild species, providing social, economic and environmental benefits for people, and that protect and encourage customary sustainable use [of wild species] by indigenous peoples and local communities."
Target 10,Proportion of agricultural area under productive and sustainable agriculture,Headline,GBF_T10_H_30,Proportion of agricultural area under productive and sustainable agriculture
Target 10,Progress towards sustainable forest management,Headline,GBF_T10_H_31,Progress towards sustainable forest management
Target 11,Services provided by ecosystems,Headline,GBF_T11_H_32,Services provided by ecosystems
Target 12,Average share of the built-up area of cities that is green/blue space for public use for all,Headline,GBF_T12_H_33,Average share of the built-up area of cities that is green/blue space for public use for all
Target 12,Number of countries with biodiversity-inclusive urban planning referring to green or blue urban spaces.,Binary,GBF_T12_H_34,Number of countries with biodiversity-inclusive urban planning referring to green or blue urban spaces.
Target 13,Indicator on monetary benefits received,Headline,GBF_T13_H_35,Indicator on monetary benefits received
Target 13,Indicator on non-monetary benefits,Headline,GBF_T13_H_36,Indicator on non-monetary benefits
Target 13,"Number of countries that have taken effective legal, policy, administrative and capacity-building measures at all levels, as appropriate, to ensure the fair and equitable sharing of benefits from the utilization of genetic resources and from digital sequence information on genetic resources, as well as traditional knowledge associated with genetic resources.",Binary,GBF_T13_H_37,"Number of countries that have taken effective legal, policy, administrative and capacity-building measures at all levels, as appropriate, to ensure the fair and equitable sharing of benefits from the utilization of genetic resources and from digital sequence information on genetic resources, as well as traditional knowledge associated with genetic resources."
Target 14,"Number of countries integrating biodiversity and its multiple values into policies, regulations, planning, development processes, poverty [reduction][eradication] strategies and accounts at all levels, [ensuring that biodiversity values are mainstreamed] [and] across all sectors [ and fiscal and financial flows are aligned with it].",Binary,GBF_T14_H_38,"Number of countries integrating biodiversity and its multiple values into policies, regulations, planning, development processes, poverty [reduction][eradication] strategies and accounts at all levels, [ensuring that biodiversity values are mainstreamed] [and] across all sectors [ and fiscal and financial flows are aligned with it]."
