indic_id,indicators,indicators_harmonized
GA21sup_D_1,GDP,gross domestic product
GA21sup_D_2,Globalization index,globalization index
GA21sup_D_3,Poverty gap,poverty gap
GA21sup_D_4,Food Security Index,food security index
GA21sup_D_5,Depth of the food deficit (kcal/capit a/day) (3- year average),depth of the food deficit (kcal/capit a/day) (3- year average)
GA21sup_D_6,Access to improved sanitation facilities,access to improved sanitation facilities
GA21sup_D_7,Domestic Material Consumption,domestic material consumption
GA21sup_D_8,per capita calorie intake,per capita calorie intake
GA21sup_D_9,Prevalence of obesity in the adult population (18 years and older),prevalence of obesity in the adult population (18 years and older)
GA21sup_D_10,Energy use (kg of oil equivalent per capita),energy use (kg of oil equivalent per capita)
GA21sup_D_11,Mobile cellular subscriptions,mobile cellular subscriptions
GA21sup_D_12,Fossil fuel energy consumption (% of total),fossil-fuel energy consumption (% of total)
GA21sup_D_13,Renewable electricity consumption (% of total electricity output),renewable electricity consumption (% of total electricity output)
GA21sup_D_14,Electric power consumption (kWh per capita),electric power consumption (kwh per capita)
GA21sup_D_15,Access to electricity,access to electricity
GA21sup_D_16,Alternative and nuclear energy (% of total energy use),alternative and nuclear energy (% of total energy use)
GA21sup_D_17,Protein intake per country per person,protein intake per country per person
GA21sup_D_18,"Energy supply derived from cereals, roots and tubers","energy supply derived from cereals, roots and tubers"
GA21sup_D_19,People per ouletlet McDonals,people per ouletlet mcdonals
GA21sup_D_20,Population growth (annual %),population growth (annual %)
GA21sup_D_21,Population density,population density
GA21sup_D_22,Child mortality rate,child mortality rate
GA21sup_D_23,Urban Population,urban population
GA21sup_D_24,Total International migrant stock,total international migrant stock
GA21sup_D_25,Refugee population,refugee population
GA21sup_D_26,Migration Net,migration net
GA21sup_D_27,Population in the largest city,population in the largest city
GA21sup_D_28,Population in megacities,population in megacities
GA21sup_D_29,GDP per capita,gross domestic product
GA21sup_D_30,Agricultural land,agricultural land
GA21sup_D_31,livestock indigenous animals,livestock indigenous animals
GA21sup_D_32,livestock density of cattle,livestock density of cattle
GA21sup_D_33,livestock density of animals (chickens),livestock density of animals (chickens)
GA21sup_D_34,agricultural organic area,area of agricultural land under organic production
GA21sup_D_35,"International tourism, number of departures","international tourism, number of departures"
GA21sup_D_36,"International tourism, number of arrivals","international tourism, number of arrivals"
GA21sup_D_37,Container port traffic (TEU: 20 foot equivalent units),container port traffic (teu: 20 foot equivalent units)
GA21sup_D_38,Air passengers,air passengers
GA21sup_D_39,Air departures,air departures
GA21sup_D_40,Deaths from air pollution,deaths from air pollution
GA21sup_D_41,GHG emissions (in tonnes CO2 eq and tonnes per capita),ghg emissions
GA21sup_D_42,Pesticides used per unit area,pesticide use
GA21sup_D_43,Fertilizers used per unit area,fertilizers used
GA21sup_D_44,Air pollution,air pollution
GA21sup_D_45,Nitrogenen deposition trends,nitrogenen deposition trends
GA21sup_D_46,GHG emissions change,ghg emissions change
GA21sup_D_47,Extraction ores,extraction ores
GA21sup_D_48,Extraction all of biomass,extraction all of biomass
GA21sup_D_49,Extraction of ind. & const. minerals,extraction of ind. and const. minerals
GA21sup_D_50,Extraction biomass food,extraction biomass food
GA21sup_D_51,Extraction Biomass Forstry,extraction biomass forestry
GA21sup_D_52,Extraction biomass feed,extraction biomass feed
GA21sup_D_53,Extraction biomass animals,extraction biomass animals
GA21sup_D_54,Extraction other biomass,extraction other biomass
GA21sup_D_55,Extraction fossil fuel,extraction fossil-fuel
GA21sup_D_56,Water withdrawal,water withdrawal
GA21sup_D_57,Renewable internal freshwater resource,renewable internal freshwater resource
GA21sup_D_58,Agricultural water withdrawal,agricultural water withdrawal
GA21sup_D_59,Ramsar Sites,ramsar sites
GA21sup_D_60,Certified Forest Area,certified forest area
GA21sup_D_61,United Nations Framework Convention on Climate Change,united nations framework convention on climate change
GA21sup_D_62,Convention of fishing and conservation of the living resources of the high seas,convention of fishing and conservation of the living resources of the high seas
GA21sup_D_63,Montreal Protocol,montreal protocol
GA21sup_D_64,Convention on Biological Diversity,convention on biological diversity
GA21sup_D_65,Convention on the Conservation of Antarctic Marine Living Resources,convention on the conservation of antarctic marine living resources
GA21sup_D_66,"Credit to Agriculture, Forestry and Fishing","credit to agriculture, forestry and fishing"
GA21sup_D_67,Political stability and absence of violence/terrorism,political stability and absence of violence/terrorism
GAsup22_N_1,Above ground biomass,above-ground biomass
GAsup22_N_2,Biodiversity Habitat Index,biodiversity habitat index
GAsup22_N_3,Biodiversity Habitat Index (hotspots),biodiversity habitat index (hotspots)
GAsup22_N_4,Coastal carbon-rich habitat,coastal carbon-rich habitat
GAsup22_N_5,Coastal protection habitats,coastal protection habitats
GAsup22_N_6,Forest area,forest area
GAsup22_N_7,Extent of intact forest landscapes,extent of intact forest landscapes
GAsup22_N_8,Extent of marine wilderness,extent of marine wilderness
GAsup22_N_9,Extent of terrestrial wilderness,extent of terrestrial wilderness
GAsup22_N_10,Fraction of ocean not fished per year,fraction of ocean not fished per year
GAsup22_N_11,Land not cultivated or urban,land not cultivated or urban
GAsup22_N_12,Land not cultivated or urban (Hotspots),land not cultivated or urban (hotspots)
GAsup22_N_13,Land not cultivated or urban (Indigenous Lands),land not cultivated or urban (indigenous lands)
GAsup22_N_14,Leaf Area Index,leaf area index (lai)
GAsup22_N_15,Mangrove forest area,mangrove forest area
GAsup22_N_16,Natural habitat extent,extent of suitable habitat
GAsup22_N_17,Percentage live coral cover,live coral cover
GAsup22_N_18,Permanent surface water extent,permanent surface water extent
GAsup22_N_19,Remaining primary vegetation,remaining primary vegetation
GAsup22_N_20,Remaining primary vegetation (Hotspots),remaining primary vegetation (hotspots)
GAsup22_N_21,Remaining primary vegetation (Indigenous Lands),remaining primary vegetation (indigenous lands)
GAsup22_N_22,Seagrass meadow area,seagrass meadow area
GAsup22_N_23,Soil organic carbon (correlative model),soil organic carbon (correlative model)
GAsup22_N_24,Soil organic carbon (mechanistic models),soil organic carbon (mechanistic models)
GAsup22_N_25,Tree cover,tree cover
GAsup22_N_26,Vegetation biomass (mechanistic models),vegetation biomass (mechanistic models)
GAsup22_N_27,Wetland Extent Trend Index,wetland extent trends index
GAsup22_N_28,Biological pump efficiency,biological pump efficiency
GAsup22_N_29,Biomass turnover rate,biomass turnover rate
GAsup22_N_30,Evapotranspiration (model ensemble),evapotranspiration (model ensemble)
GAsup22_N_31,Marine NPP (remote sensing),marine net primary production
GAsup22_N_32,NPP remaining in ecosystems,net primary production remaining in ecosystems
GAsup22_N_33,Oceanic carbon sequestration,oceanic carbon sequestration
GAsup22_N_34,Terrestrial C sequestration (model ensemble),terrestrial c sequestration (model ensemble)
GAsup22_N_35,Terrestrial NPP (model ensemble),terrestrial net primary production (model ensemble)
GAsup22_N_36,Terrestrial NPP (remote-sensing),terrestrial net primary production (remote-sensing)
GAsup22_N_37,Biodiversity Intactness Index (Hotspots),biodiversity intactness index (hotspots)
GAsup22_N_38,Biodiversity Intactness Index (Indigenous Lands),biodiversity intactness index (indigenous lands)
GAsup22_N_39,Biodiversity Intactness Index,biodiversity intactness index
GAsup22_N_40,Local species richness (BioTime),local species richness (biotime)
GAsup22_N_41,Local species richness (PREDICTS),local species richness (predicts)
GAsup22_N_42,Mean Species Abundance index,mean species abundance (msa)
GAsup22_N_43,Mean Species Abundance index (Hotspots),mean species abundance (msa) (hotspots)
GAsup22_N_44,Mean Species Abundance index (Indigenous Lands),mean species abundance (msa) (indigenous lands)
GAsup22_N_45,"Biodiversity Intactness Index (Tropical forest, hotspots)","biodiversity intactness index (tropical forest, hotspots)"
GAsup22_N_46,"Biodiversity Intactness Index (Tropical forest, Indigenous Lands)","biodiversity intactness index (tropical forest, indigenous lands)"
GAsup22_N_47,Biodiversity Intactness Index (Tropical forest),biodiversity intactness index (tropical forest)
GAsup22_N_48,Bird species per grid cell (cSAR),bird species per grid cell
GAsup22_N_49,Cumulative introduced invasive aliens species,cumulative introduced invasive aliens
GAsup22_N_50,Cumulative number of alien species,cumulative introduced invasive aliens
GAsup22_N_51,Forest-specialist bird species per grid cell (cSAR),forest-specialist bird species per grid cell
GAsup22_N_52,Functional intactness (Madingley),functional intactness (madingley) (madingley)
GAsup22_N_53,Species richness per grid cell (AIM),species richness per grid cell
GAsup22_N_56,Global bird richness (cSAR),global bird richness (csar)
GAsup22_N_57,Global forest-specialist bird richness (cSAR),global forest-specialist bird richness (csar)
GAsup22_N_58,Global mammal and bird species remaining,global mammal and bird species remaining
GAsup22_N_59,Red List Index,red list index
GAsup22_N_60,Red List Index (forest specialists),red list index (forest specialists)
GAsup22_N_61,Red List Index (internationally traded birds),red list index (internationally traded birds)
GAsup22_N_62,Red List Index (pollinators),red list index (pollinators)
GAsup22_N_63,Red List Index (for utilized species),red list index (for utilized species)
GAsup22_N_64,Red List Index (wild relatives),red list index (wild relatives of farmed and domesticated species)
