indicators_harmonized,km_gbf,sdg,cites,cms,iccwc,ramsar,unccd
red list of ecosystems,1,NA,NA,NA,NA,NA,NA
extent of natural ecosystems,1,NA,NA,NA,NA,NA,NA
red list index,1,1,NA,NA,NA,NA,NA
proportion of populations within species with a genetically effective population size > 500,1,NA,NA,NA,NA,NA,NA
services provided by ecosystems,1,NA,NA,NA,NA,NA,NA
indicator on monetary benefits received,1,NA,NA,NA,NA,NA,NA
indicator on non-monetary benefits,1,NA,NA,NA,NA,NA,NA
"international public funding, including official development assistance (oda) for conservation and sustainable use of biodiversity and ecosystems",1,NA,NA,NA,NA,NA,NA
domestic public funding on conservation and sustainable use of biodiversity and ecosystems,1,NA,NA,NA,NA,NA,NA
private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems,1,NA,NA,NA,NA,NA,NA
percent of land and seas covered by biodiversity-inclusive spatial plans,1,NA,NA,NA,NA,NA,NA
area under restoration,1,NA,NA,NA,NA,NA,NA
coverage of protected areas and oecms,1,NA,NA,NA,NA,NA,NA
proportion of fish stocks within biologically sustainable levels,1,1,NA,NA,NA,NA,NA
rate of invasive alien species establishment,1,NA,NA,NA,NA,NA,NA
index of coastal eutrophication potential (icep),1,1,NA,NA,NA,NA,NA
pesticide environment concentration,1,NA,NA,NA,NA,NA,NA
benefits from the sustainable use of wild species,1,NA,NA,NA,NA,NA,NA
percentage of the population in traditional employment,1,NA,NA,NA,NA,NA,NA
proportion of agricultural area under productive and sustainable agriculture,1,1,NA,NA,NA,NA,NA
progress towards sustainable forest management,1,1,NA,NA,NA,NA,NA
average share of the built-up area of cities that is green/blue space for public use for all,1,NA,NA,NA,NA,NA,NA
"number of companies reporting on disclosures of risks, dependencies and impacts on biodiversity",1,NA,NA,NA,NA,NA,NA
positive incentives in place to promote biodiversity conservation and sustainable use,1,NA,NA,NA,NA,NA,NA
"value of subsidies and other incentives harmful to biodiversity, that are redirected, repurposed or eliminated",1,NA,NA,NA,NA,NA,NA
indicator on biodiversity information for monitoring the global biodiversity framework,1,NA,NA,NA,NA,NA,NA
ecosystem intactness index,1,NA,NA,NA,NA,NA,NA
ecosystem integrity index,1,NA,NA,NA,NA,NA,NA
species habitat index,1,NA,NA,NA,NA,NA,NA
biodiversity habitat index,1,NA,NA,NA,NA,NA,NA
protected connected (protconn) index,1,NA,NA,NA,NA,NA,NA
protected area connectedness (parc-connectedness) index,1,NA,NA,NA,NA,NA,NA
evolutionarily distinct and globally endangered (edge),1,NA,NA,NA,NA,NA,NA
living planet index,1,NA,NA,NA,NA,NA,NA
change in the extent of water-related ecosystems over time,1,1,NA,NA,NA,NA,NA
red list index (for utilized species),1,NA,NA,NA,NA,NA,NA
living planet index (for used species),1,NA,NA,NA,NA,NA,NA
priority retention of intact / wilderness areas,1,NA,NA,NA,NA,NA,NA
maintenance and restoration of connectivity of natural ecosystems,1,NA,NA,NA,NA,NA,NA
protected area coverage of key biodiversity areas,1,NA,NA,NA,NA,NA,NA
protected area management effectiveness (pame),1,NA,NA,NA,NA,NA,NA
connectivity indicator,1,NA,NA,NA,NA,NA,NA
number of protected areas that have completed a site-level assessment of governance and equity (sage),1,NA,NA,NA,NA,NA,NA
species protection index,1,NA,NA,NA,NA,NA,NA
number of plant and animal genetic resources secured in medium or long-term conservation facilities,1,NA,NA,NA,NA,NA,NA
trends in effective and sustainable management of human-wildlife conflict and coexistence,1,NA,NA,NA,NA,NA,NA
green status of species index,1,NA,NA,NA,NA,NA,NA
conservation status of species listed in the cites appendices has stabilized or improved,1,NA,NA,NA,NA,NA,NA
sustainable use of wild species,1,NA,NA,NA,NA,NA,NA
rate of invasive species impact and rate of impact,1,NA,NA,NA,NA,NA,NA
rate of invasive alien species spread,1,NA,NA,NA,NA,NA,NA
number of invasive alien species introduction events,1,NA,NA,NA,NA,NA,NA
fertilizer use,1,NA,NA,NA,NA,NA,NA
proportion of domestic and industrial wastewater flows safely treated,1,1,NA,NA,NA,NA,NA
floating plastic debris density,1,NA,NA,NA,NA,NA,NA
red list index (impacts of pollution),1,NA,NA,NA,NA,NA,NA
total climate regulation services provided by ecosystems by ecosystem type (system of environmental economic accounts),1,NA,NA,NA,NA,NA,NA
number of countries that adopt and implement national disaster risk reduction strategies in line with the sendai framework for disaster risk reduction 2015-2030 which include biodiversity,1,NA,NA,NA,NA,NA,NA
national greenhouse inventories from land use and land use change,1,NA,NA,NA,NA,NA,NA
bioclimatic ecosystem resilience index (beri),1,NA,NA,NA,NA,NA,NA
"number of people using wild resources for energy, food or culture (including firewood collection, hunting and fishing, gathering, medicinal use, craft making, etc.)",1,NA,NA,NA,NA,NA,NA
area of forest under sustainable management: total forest management certification by forest stewardship council and programme for the endorsement of forest certification,1,NA,NA,NA,NA,NA,NA
"average income of small-scale food producers, by sex and indigenous status",1,1,NA,NA,NA,NA,NA
"number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",1,1,NA,NA,NA,NA,NA
"mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe water, sanitation and hygiene for all (wash) services)",1,1,NA,NA,NA,NA,NA
annual mean levels of fine particulate matter in cities,1,1,NA,NA,NA,NA,NA
proportion of bodies of water with good ambient water quality,1,1,NA,NA,NA,NA,NA
level of water stress,1,NA,NA,NA,NA,NA,NA
recreation and cultural ecosystem services provided,1,NA,NA,NA,NA,NA,NA
number of permits or their equivalents for genetic resources (including those related to traditional knowledge) by type of permit,1,NA,NA,NA,NA,NA,NA
number of countries with implementation of the system of environmental economic accounting,1,NA,NA,NA,NA,NA,NA
indicator based on task force for naturerelated financial disclosures,1,NA,NA,NA,NA,NA,NA
food waste index,1,1,NA,NA,NA,NA,NA
material footprint per capita,1,NA,NA,NA,NA,NA,NA
global environmental impacts of consumption,1,NA,NA,NA,NA,NA,NA
ecological footprint,1,NA,NA,NA,NA,NA,NA
species status index,1,NA,NA,NA,NA,NA,NA
extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in national education policies,1,1,NA,NA,NA,NA,NA
extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in curricula,1,1,NA,NA,NA,NA,NA
extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in teacher education,1,1,NA,NA,NA,NA,NA
extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in student assessment,1,1,NA,NA,NA,NA,NA
"proportion of total adult population with secure tenure rights to land with legally recognized documentation, by sex and type of tenure",1,1,NA,NA,NA,NA,NA
"proportion of total adult population with secure tenure rights to land who perceive their rights to land as secure, by sex and type of tenure",1,1,NA,NA,NA,NA,NA
proportion of seats held by women in national parliaments,1,1,NA,NA,NA,NA,NA
proportion of seats held by women in local governments,1,1,NA,NA,NA,NA,NA
indicator on national implementation of the gender plan of action,1,NA,NA,NA,NA,NA,NA
forest area as a percentage of total land area,1,1,NA,NA,NA,NA,NA
forest distribution,1,NA,NA,NA,NA,NA,NA
tree cover loss,1,NA,NA,NA,NA,NA,NA
grassland and savannah extent,1,NA,NA,NA,NA,NA,NA
mountain green cover index,1,1,NA,NA,NA,NA,NA
peatland extent and condition,1,NA,NA,NA,NA,NA,NA
"permafrost thickness, depth and extent",1,NA,NA,NA,NA,NA,NA
continuous global mangrove forest area,1,NA,NA,NA,NA,NA,NA
trends in mangrove forest fragmentation,1,NA,NA,NA,NA,NA,NA
trends in mangrove extent,1,NA,NA,NA,NA,NA,NA
live coral cover,1,NA,NA,NA,NA,NA,NA
hard coral cover and composition,1,NA,NA,NA,NA,NA,NA
global coral reef extent,1,NA,NA,NA,NA,NA,NA
global seagrass extent (seagrass cover and composition),1,NA,NA,NA,NA,NA,NA
global saltmarsh extent,1,NA,NA,NA,NA,NA,NA
kelp canopy extent,1,NA,NA,NA,NA,NA,NA
macroalgal canopy cover and composition,1,NA,NA,NA,NA,NA,NA
cover of key benthic groups,1,NA,NA,NA,NA,NA,NA
fleshy algae cover,1,NA,NA,NA,NA,NA,NA
wetland extent trends index,1,NA,NA,NA,NA,NA,NA
change in the extent of inland water ecosystems over time,1,NA,NA,NA,NA,NA,NA
forest fragmentation index,1,NA,NA,NA,NA,NA,NA
forest landscape integrity index,1,NA,NA,NA,NA,NA,NA
biomass of selected natural ecosystems,1,NA,NA,NA,NA,NA,NA
global vegetation health products,1,NA,NA,NA,NA,NA,NA
relative magnitude of fragmentation (rmf),1,NA,NA,NA,NA,NA,NA
biodiversity intactness index,1,NA,NA,NA,NA,NA,NA
ocean health index,1,NA,NA,NA,NA,NA,NA
extent of physical damage indicator to predominant seafloor habitats physical damage,1,NA,NA,NA,NA,NA,NA
river fragmentation index,1,NA,NA,NA,NA,NA,NA
dendritic connectivity index,1,NA,NA,NA,NA,NA,NA
percentage of threatened species that are improving in status,1,NA,NA,NA,NA,NA,NA
number of threatened species by species group,1,NA,NA,NA,NA,NA,NA
wild bird index,1,NA,NA,NA,NA,NA,NA
mean species abundance (msa),1,NA,NA,NA,NA,NA,NA
changes in plankton biomass and abundance,1,NA,NA,NA,NA,NA,NA
fish abundance and biomass,1,NA,NA,NA,NA,NA,NA
genetic scorecard for wild species,1,NA,NA,NA,NA,NA,NA
species richness,1,NA,NA,NA,NA,NA,NA
local species richness (predicts),1,NA,NA,NA,NA,NA,NA
marine species richness,1,NA,NA,NA,NA,NA,NA
