indic_id,indicators,indicators_harmonized
CITES_1_1_1_1,The number of Parties that are in category 1 under the national legislation project,the number of parties that are in category 1 under the national legislation project
CITES_1_1_2_2,The number of Parties that have designated Management Authorities and Scientific Authorities,the number of parties that have designated management authorities and scientific authorities
CITES_1_1_3_3,The number of Parties subject to CITES recommendations on trade,the number of parties subject to cites recommendations on trade
CITES_1_2_1_4,The number of Parties that have adopted standard transparent for timely procedures the issuance of permits in accordance with Article VI of the Convention,the number of parties that have adopted standard transparent for timely procedures the issuance of permits in accordance with article vi of the convention
CITES_1_2_2_5,The number of Parties making use of the simplified procedures provided for in Resolution Conf.12.3 (Rev.CoP16),the number of parties making use of the simplified procedures provided for in resolution conf.12.3 (rev.cop16)
CITES_1_3_1_6,The number of Parties that have implemented relevant reporting under Resolutions and Decisions of the Conference of the Parties and/or Standing Committee recommendations,the number of parties that have implemented relevant reporting under resolutions and decisions of the conference of the parties and/or standing committee recommendations
CITES_1_4_1_7,The number and proportion of species that have been found to meet the criteria contained in Resolution Conf.9.24 or its successors. This includes both the periodic review and amendment proposals,the number and proportion of species that have been found to meet the criteria contained in resolution conf.9.24 or its successors. this includes both the periodic review and amendment proposals
CITES_1_5_1_8_a,"The number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in Resolution Conf.16.7 on Non detriment findings related to  the population status of Appendix-II species","the number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in resolution conf.16.7 on non detriment findings related to the population status of appendix-ii species"
CITES_1_5_1_8_b,"The number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in Resolution Conf.16.7 on Non detriment findings related to  the trends and impact of trade upon Appendix-II species","the number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in resolution conf.16.7 on non detriment findings related to the trends and impact of trade upon appendix-ii species"
CITES_1_5_1_8_c,"The number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in Resolution Conf.16.7 on Non detriment findings related to the status of and trend in naturally-occurring Appendix I species and the impact of any recovery plans","the number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in resolution conf.16.7 on non detriment findings related to the status of and trend in naturally-occurring appendix i species and the impact of any recovery plans"
CITES_1_5_2_9,The number of Parties that have adopted standard procedures for making non detriment findings,the number of parties that have adopted standard procedures for making non detriment findings
CITES_1_5_3_10,The number and proportion of annual export quotas based on population surveys,the number and proportion of annual export quotas based on population surveys
CITES_1_5_4_11,The number of Appendix II species for which trade is determined to be non detrimental to the survival of the species as a result of implementing recommendations from the Review of Significant Trade,the number of appendix ii species for which trade is determined to be non detrimental to the survival of the species as a result of implementing recommendations from the review of significant trade
CITES_1_6_1_12,The number of bilateral and multilateral agreements that specifically provide for co-management of shared CITES listed species by range States,the number of bilateral and multilateral agreements that specifically provide for co-management of shared cites listed species by range states
CITES_1_6_2_13,"The number of cooperative management plans, including recovery plans, in place for shared populations of CITES listed species","the number of cooperative management plans, including recovery plans, in place for shared populations of cites listed species"
CITES_1_6_3_14,"The number of workshops and other capacity-building activities that bring range states together to address the conservation and management needs of shared, CITES listed, species","the number of workshops and other capacity-building activities that bring range states together to address the conservation and management needs of shared, cites listed, species"
CITES_1_7_1_15,"The number of Parties that have, or are covered by, or engaged with an international enforcement strategy and/or action plans; formal international co-operation, such as an international enforcement network; a national enforcement strategy and/or action plan; and formal national inter-agency co-operation, such as a national inter-agency enforcement committee","the number of parties that have, or are covered by, or engaged with an international enforcement strategy and/or action plans; formal international co-operation, such as an international enforcement network; a national enforcement strategy and/or action plan; and formal national inter-agency co-operation, such as a national inter-agency enforcement committee"
