type of indicator,indic_id,Specific Indicator,Specific Indicator (matched),DPSIR,CF1,CF2,CF3,Aichi Target,GA Chapter,RA Chapter,Origin,BIP,Source,indicators,type_indicators,indicators_harmonized
highlighted,IPBES_highlighted_1,"Number of countries implementing natural resource accounts, excluding energy, within the System of Environmental-Economic Accounting (SEEA)","Number of countries implementing natural resource accounts, excluding energy, within the System of Environmental Economic Accounting",R,IGID,NA,NA,,,,CBD,NA,"UNSTATS, World Bank","number of countries implementing natural resource accounts, excluding energy, within the system of environmental economic accounting",highlighted,"number of countries implementing natural resource accounts, excluding energy, within the system of environmental economic accounting"
highlighted,IPBES_highlighted_2,Number of countries with national instruments on biodiversity relevant tradable permit schemes,Number of countries with national instruments on biodiversity relevant tradable permit schemes,R,IGID,NA,NA,,,,CBD,BP,OECD,number of countries with national instruments on biodiversity relevant tradable permit schemes,highlighted,number of countries with national instruments on biodiversity relevant tradable permit schemes
highlighted,IPBES_highlighted_3,"Number of countries with national instruments on biodiversity-relevant taxes, charges and fees","Number of countries with national instruments on biodiversity relevant taxes, charges and fees",R,IGID,NA,NA,,,,CBD,BP,OECD,"number of countries with national instruments on biodiversity relevant taxes, charges and fees",highlighted,"number of countries with national instruments on biodiversity relevant taxes, charges and fees"
highlighted,IPBES_highlighted_4,Number of countries with national instruments on REDD plus schemes,Number of countries with national instruments on REDD plus schemes,R,IGID,NA,NA,,,,CBD,NA,UNFCCC,number of countries with national instruments on redd plus schemes,highlighted,number of countries with national instruments on redd plus schemes
highlighted,IPBES_highlighted_5,Trends in potentially harmful elements of government support to agriculture (produced support estimates),Trends in potentially harmful elements of government support to agriculture (produced support estimates),R,IGID,NA,NA,,,,CBD,B,OECD,trends in potentially harmful elements of government support to agriculture (produced support estimates),highlighted,trends in potentially harmful elements of government support to agriculture (produced support estimates)
highlighted,IPBES_highlighted_6,Trends in potentially harmful elements of government support to fisheries,Trends in potentially harmful elements of government support to fisheries,R,IGID,NA,NA,,,,CBD,BP,OECD,trends in potentially harmful elements of government support to fisheries,highlighted,trends in potentially harmful elements of government support to fisheries
highlighted,IPBES_highlighted_7,Human appropriation of net primary productivity,Human appropriation of net primary productivity,P,DD,NA,NA,,,,CBD,NA,"Krausmann et al., 2013",human appropriation of net primary productivity,highlighted,human appropriation of net primary productivity
highlighted,IPBES_highlighted_8,Trend in Carbon Intensity,Trend in Carbon Intensity,R,IGID,NA,NA,,,,EPI,NA,"WRI, WB, IEA from Environmental Performance Index (EPI)",trend in carbon intensity,highlighted,trend in carbon intensity
highlighted,IPBES_highlighted_9,Global climate risk Index,Global climate risk Index,"D,I",DD,NBP,NA,,,,Future Earth,NA,germanwatch.org,global climate risk index,highlighted,global climate risk index
highlighted,IPBES_highlighted_10,Wetland Extent Trend Index,Wetland Extent Trend Index,S,BEF,NBP,NA,,,,IPBES,B,UNEP-WCMC,wetland extent trend index,highlighted,wetland extent trends index
highlighted,IPBES_highlighted_11,Living Planet Index,Living Planet Index,S,BEF,NA,NA,,,,CBD,B,WWF/ZSL,living planet index,highlighted,living planet index
highlighted,IPBES_highlighted_12,"BioTime-Local Species Richness, Temporal Species Turnover, Overall Abundance",Local species richness (BioTime),S,BEF,NA,NA,,,,Future Earth,NA,"Dornelas et al., 2014",local species richness (biotime),highlighted,local species richness (biotime)
highlighted,IPBES_highlighted_13,Coverage of fisheries with management measures to reduce bycatch and discards,Coverage of fisheries with management measures to reduce bycatch and discards,R,IGID,NA,NA,,,,CBD,BP,FAO,coverage of fisheries with management measures to reduce bycatch and discards,highlighted,coverage of fisheries with management measures to reduce bycatch and discards
highlighted,IPBES_highlighted_14,Global effort in bottom trawling,Global effort in bottom trawling,P,DD,NA,NA,,,,CBD,NA,Around the Sea,global effort in bottom trawling,highlighted,global effort in bottom-trawling
highlighted,IPBES_highlighted_15,Mean length of fish,Mean length of fish,S,BEF,NA,NA,,,,Future Earth,NA,"Shin et al., 2010",mean length of fish,highlighted,mean length of fish
highlighted,IPBES_highlighted_16,Non declining exploited species,Non declining exploited species,S,BES,NA,NA,,,,Future Earth,BP,"Kleisner et al., 2015",non declining exploited species,highlighted,non declining exploited species
highlighted,IPBES_highlighted_17,Number and coverage of stocks with adaptive management systems / plans,Number and coverage of stocks with adaptive management systems/plans,R,IGID,NA,NA,,,,CBD,BP,FAO,number and coverage of stocks with adaptive management systems/plans,highlighted,number and coverage of stocks with adaptive management systems/plans
highlighted,IPBES_highlighted_18,Policies make adequate provisions to minimize impacts of fisheries on threatened species.,Policies make adequate provisions to minimize impacts of fisheries on threatened species.,R,IGID,NA,NA,,,,CBD,BP,FAO,policies make adequate provisions to minimize impacts of fisheries on threatened species.,highlighted,policies make adequate provisions to minimize impacts of fisheries on threatened species
highlighted,IPBES_highlighted_19,Policies to secure that mortalities and significant indirect adverse impacts on non-species are accounted for are in place,Policies to secure that mortalities and significant indirect adverse impacts on non-target species are accounted for are in place,R,IGID,NA,NA,,,,CBD,BP,FAO,policies to secure that mortalities and significant indirect adverse impacts on non-target species are accounted for are in place,highlighted,policies to secure that mortalities and significant indirect adverse impacts on non-target species are accounted for are in place
highlighted,IPBES_highlighted_20,Presence of regulations requiring recovery of depleted species,Presence of regulations requiring recovery of depleted species,R,IGID,NA,NA,,,,CBD,BP,FAO,presence of regulations requiring recovery of depleted species,highlighted,presence of regulations requiring recovery of depleted species
highlighted,IPBES_highlighted_21,Proportion of predatory fish,Proportion of predatory fish,S,BEF,NA,NA,,,,Future Earth,NA,"Shin et al., 2010",proportion of predatory fish,highlighted,proportion of predatory fish
highlighted,IPBES_highlighted_22,Areas of agricultural land under conservation agriculture,Area of agricultural land under conservation agriculture,"P,R",IGID,DD,NA,,,,CBD,BP,FAO,area of agricultural land under conservation agriculture,highlighted,area of agricultural land under conservation
highlighted,IPBES_highlighted_23,Nitrogen Use Balance,Nitrogen Use Balance,P,DD,NA,NA,,,,EPI,NA,Zhang et al. 2015,nitrogen use balance,highlighted,nitrogen use balance
highlighted,IPBES_highlighted_24,Number of world natural heritage sites per country per year,Number of world natural heritage sites per country per year,P,NBP,IGID,GQL,,,,Future Earth,NA,UNESCO,number of world natural heritage sites per country per year,highlighted,number of world natural heritage sites per country per year
highlighted,IPBES_highlighted_25,Proportion of agricultural area under productive and sustainable agriculture (indicator for SDG 2.4),Proportion of agricultural area under productive and sustainable agriculture,"P,R",IGID,DD,NA,,,,CBD,BP,FAO,proportion of agricultural area under productive and sustainable agriculture,highlighted,proportion of agricultural area under productive and sustainable agriculture
highlighted,IPBES_highlighted_26,Trends in invasive alien species vertebrate eradications,Trends in invasive alien species vertebrate eradications,R,IGID,NA,NA,,,,CBD,B,"IUCN ISSG, Island Conservation",trends in invasive alien species vertebrate eradications,highlighted,trends in invasive alien species vertebrate eradications
highlighted,IPBES_highlighted_27,Trends in the numbers of invasive alien species introduction events,Trends in the numbers of invasive alien species introduction events,P,DD,NA,NA,,,,CBD,B,IUCN ISSG,trends in the numbers of invasive alien species introduction events,highlighted,trends in the numbers of invasive alien species introduction events
highlighted,IPBES_highlighted_28,"Protected area coverage of terrestrial, marine and freshwater ecoregions","Protected area coverage of terrestrial, marine and freshwater ecoregions",R,IGID,BEF,NA,,,,CBD,B,UNEP-WCMC,"protected area coverage of terrestrial, marine and freshwater ecoregions",highlighted,"protected area coverage of terrestrial, marine and freshwater ecoregions"
highlighted,IPBES_highlighted_29,Protected Area Representativeness Index,Protected Area Representativeness Index,"P,R",IGID,DD,NA,,,,CBD,NA,GEO BON-CSIRO,protected area representativeness index,highlighted,protected area representativeness index
