indicators_harmonized,km_gbf,sdg,cites,cms,iccwc,ramsar,unccd,indic_id,ipcc_sup,ga_sup,sua_sup,indic
red list of ecosystems,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
extent of natural ecosystems,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
red list index,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1
proportion of populations within species with a genetically effective population size > 500,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
services provided by ecosystems,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
indicator on monetary benefits received,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
indicator on non-monetary benefits,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"international public funding, including official development assistance (oda) for conservation and sustainable use of biodiversity and ecosystems",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
domestic public funding on conservation and sustainable use of biodiversity and ecosystems,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
percent of land and seas covered by biodiversity-inclusive spatial plans,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
area under restoration,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
coverage of protected areas and oecms,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
proportion of fish stocks within biologically sustainable levels,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1
rate of invasive alien species establishment,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
index of coastal eutrophication potential (icep),1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
pesticide environment concentration,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
benefits from the sustainable use of wild species,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
percentage of the population in traditional employment,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
proportion of agricultural area under productive and sustainable agriculture,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
progress towards sustainable forest management,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
average share of the built-up area of cities that is green/blue space for public use for all,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"number of companies reporting on disclosures of risks, dependencies and impacts on biodiversity",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
positive incentives in place to promote biodiversity conservation and sustainable use,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"value of subsidies and other incentives harmful to biodiversity, that are redirected, repurposed or eliminated",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
indicator on biodiversity information for monitoring the global biodiversity framework,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
ecosystem intactness index,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
ecosystem integrity index,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
species habitat index,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
biodiversity habitat index,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
protected connected (protconn) index,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
protected area connectedness (parc-connectedness) index,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
evolutionarily distinct and globally endangered (edge),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
living planet index,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
change in the extent of water-related ecosystems over time,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
red list index (for utilized species),1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
living planet index (for used species),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
priority retention of intact / wilderness areas,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
maintenance and restoration of connectivity of natural ecosystems,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
protected area coverage of key biodiversity areas,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
protected area management effectiveness (pame),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
connectivity indicator,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
number of protected areas that have completed a site-level assessment of governance and equity (sage),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
species protection index,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
number of plant and animal genetic resources secured in medium or long-term conservation facilities,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
trends in effective and sustainable management of human-wildlife conflict and coexistence,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
green status of species index,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
conservation status of species listed in the cites appendices has stabilized or improved,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
sustainable use of wild species,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
rate of invasive species impact and rate of impact,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
rate of invasive alien species spread,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
number of invasive alien species introduction events,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
fertilizer use,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
proportion of domestic and industrial wastewater flows safely treated,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
floating plastic debris density,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
red list index (impacts of pollution),1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
total climate regulation services provided by ecosystems by ecosystem type (system of environmental economic accounts),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
number of countries that adopt and implement national disaster risk reduction strategies in line with the sendai framework for disaster risk reduction 2015-2030 which include biodiversity,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
national greenhouse inventories from land use and land use change,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
bioclimatic ecosystem resilience index (beri),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"number of people using wild resources for energy, food or culture (including firewood collection, hunting and fishing, gathering, medicinal use, craft making, etc.)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
area of forest under sustainable management: total forest management certification by forest stewardship council and programme for the endorsement of forest certification,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"average income of small-scale food producers, by sex and indigenous status",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe water, sanitation and hygiene for all (wash) services)",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
annual mean levels of fine particulate matter in cities,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
proportion of bodies of water with good ambient water quality,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
level of water stress,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
recreation and cultural ecosystem services provided,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
number of permits or their equivalents for genetic resources (including those related to traditional knowledge) by type of permit,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
number of countries with implementation of the system of environmental economic accounting,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
indicator based on task force for naturerelated financial disclosures,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
food waste index,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
material footprint per capita,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
global environmental impacts of consumption,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
ecological footprint,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
species status index,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in national education policies,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in curricula,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in teacher education,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in student assessment,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"proportion of total adult population with secure tenure rights to land with legally recognized documentation, by sex and type of tenure",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"proportion of total adult population with secure tenure rights to land who perceive their rights to land as secure, by sex and type of tenure",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
proportion of seats held by women in national parliaments,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
proportion of seats held by women in local governments,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
indicator on national implementation of the gender plan of action,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
forest area as a percentage of total land area,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
forest distribution,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
tree cover loss,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
grassland and savannah extent,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
mountain green cover index,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
peatland extent and condition,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"permafrost thickness, depth and extent",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
continuous global mangrove forest area,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
trends in mangrove forest fragmentation,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
trends in mangrove extent,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
live coral cover,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
hard coral cover and composition,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
global coral reef extent,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
global seagrass extent (seagrass cover and composition),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
global saltmarsh extent,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
kelp canopy extent,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
macroalgal canopy cover and composition,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
cover of key benthic groups,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
fleshy algae cover,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
wetland extent trends index,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
change in the extent of inland water ecosystems over time,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
forest fragmentation index,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
forest landscape integrity index,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
biomass of selected natural ecosystems,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
global vegetation health products,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
relative magnitude of fragmentation (rmf),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
biodiversity intactness index,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
ocean health index,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
extent of physical damage indicator to predominant seafloor habitats physical damage,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
