outcome_id,outcome_name,indicator_id,general_indicator,indicators,indic_id,indicators_harmonized
1,Proactive enforcement is deterring wildlife crime,1,Enforcement priority,The recognition of combating wildlife crime as a high priority for national law enforcement agencies.,ICCWC_1_1,the recognition of combating wildlife crime as a high priority for national law enforcement agencies.
1,Proactive enforcement is deterring wildlife crime,2,Serious crime,The recognition of wildlife crime involving organized criminal groups as serious crime.,ICCWC_1_2,the recognition of wildlife crime involving organized criminal groups as serious crime.
1,Proactive enforcement is deterring wildlife crime,3,National enforcement strategy,The existence of a national enforcement strategy and/or action plan for wildlife crime.,ICCWC_1_3,the existence of a national enforcement strategy and/or action plan for wildlife crime.
1,Proactive enforcement is deterring wildlife crime,4,National cooperation,The extent of inter-agency cooperation among national law enforcement agencies to combat wildlife crime.,ICCWC_1_4,the extent of inter-agency cooperation among national law enforcement agencies to combat wildlife crime.
1,Proactive enforcement is deterring wildlife crime,5,International cooperation,The extent of international cooperation to combat wildlife crime.,ICCWC_1_5,the extent of international cooperation to combat wildlife crime.
1,Proactive enforcement is deterring wildlife crime,6,Strategic risk management,The extent to which strategic risk management is used to target operational enforcement planning and the implementation of measures to combat wildlife crime.,ICCWC_1_6,the extent to which strategic risk management is used to target operational enforcement planning and the implementation of measures to combat wildlife crime.
1,Proactive enforcement is deterring wildlife crime,7,Proactive investigations,The extent to which proactive investigations are used to target prominent and emerging wildlife crime threats.,ICCWC_1_7,the extent to which proactive investigations are used to target prominent and emerging wildlife crime threats.
1,Proactive enforcement is deterring wildlife crime,8,Staffing and recruitment,The level of staff resources in national law enforcement agencies to combat wildlife crime.,ICCWC_1_8,the level of staff resources in national law enforcement agencies to combat wildlife crime.
1,Proactive enforcement is deterring wildlife crime,9,Law enforcement training,The extent to which institutional training programmes for national law enforcement agencies include content to build capacity to combat wildlife crime.,ICCWC_1_9,the extent to which institutional training programmes for national law enforcement agencies include content to build capacity to combat wildlife crime.
2,Wildlife crime can be detected by law enforcement agencies,10,Targeted enforcement presence,The extent to which law enforcement activities are targeted towards the locations most affected by or used for wildlife crime.,ICCWC_2_10,the extent to which law enforcement activities are targeted towards the locations most affected by or used for wildlife crime.
2,Wildlife crime can be detected by law enforcement agencies,11,Joint operations,Participation in multi-disciplinary enforcement operations targeting wildlife crime.,ICCWC_2_11,participation in multi-disciplinary enforcement operations targeting wildlife crime.
2,Wildlife crime can be detected by law enforcement agencies,12,Border control staff,The extent to which ports of entry and exit are staffed with law enforcement officers that are aware of and trained in detecting and responding to wildlife crime.,ICCWC_2_12,the extent to which ports of entry and exit are staffed with law enforcement officers that are aware of and trained in detecting and responding to wildlife crime.
2,Wildlife crime can be detected by law enforcement agencies,13,Border control equipment,"The extent to which law enforcement officers at ports of entry and exit can access equipment, tools and materials to detect and respond to wildlife crime.",ICCWC_2_13,"the extent to which law enforcement officers at ports of entry and exit can access equipment, tools and materials to detect and respond to wildlife crime."
2,Wildlife crime can be detected by law enforcement agencies,14,Inspection and seizure powers,The extent to which national legislation empowers law enforcement agencies to inspect and seize consignments suspected of containing illegal wildlife specimens and confiscate,ICCWC_2_14,the extent to which national legislation empowers law enforcement agencies to inspect and seize consignments suspected of containing illegal wildlife specimens and confiscate
2,Wildlife crime can be detected by law enforcement agencies,15,Disposal of confiscated wildlife specimens,"The adequacy of the systems and procedures that are in place for the management, secure storage, auditing and disposal of confiscated wildlife specimens.",ICCWC_2_15,"the adequacy of the systems and procedures that are in place for the management, secure storage, auditing and disposal of confiscated wildlife specimens."
2,Wildlife crime can be detected by law enforcement agencies,16,Wildlife seizures,The number (and type) of seizures of specimens of illicitly-traded wildlife.,ICCWC_2_16,the number (and type) of seizures of specimens of illicitly-traded wildlife.
2,Wildlife crime can be detected by law enforcement agencies,17,Large-scale wildlife seizures,The number (and type) of large-scale seizures of specimens of illicitly-traded wildlife.,ICCWC_2_17,the number (and type) of large-scale seizures of specimens of illicitly-traded wildlife.
3,Wildlife crime is thoroughly investigated using an intelligence-led approach,18,Investigative capacity,The capacity of national law enforcement agencies to investigate wildlife crime cases.,ICCWC_3_18,the capacity of national law enforcement agencies to investigate wildlife crime cases.
3,Wildlife crime is thoroughly investigated using an intelligence-led approach,19,Information management,The extent of national procedures and systems to collate information on wildlife crime.,ICCWC_3_19,the extent of national procedures and systems to collate information on wildlife crime.
3,Wildlife crime is thoroughly investigated using an intelligence-led approach,20,Intelligence analysis,The extent to which information on wildlife crime is verified and analyzed to generate intelligence.,ICCWC_3_20,the extent to which information on wildlife crime is verified and analyzed to generate intelligence.
3,Wildlife crime is thoroughly investigated using an intelligence-led approach,21,Intelligence-led investigations,The extent to which criminal intelligence is used to support investigations into wildlife crime.,ICCWC_3_21,the extent to which criminal intelligence is used to support investigations into wildlife crime.
3,Wildlife crime is thoroughly investigated using an intelligence-led approach,22,Follow-up investigations,The extent to which follow-up investigations are conducted for wildlife crime cases.,ICCWC_3_22,the extent to which follow-up investigations are conducted for wildlife crime cases.
3,Wildlife crime is thoroughly investigated using an intelligence-led approach,23,Transnational wildlife crime reporting,The percentage of wildlife crime cases of a transnational nature that were reported to databases of intergovernmental organizations mandated to receive and maintain such data.,ICCWC_3_23,the percentage of wildlife crime cases of a transnational nature that were reported to databases of intergovernmental organizations mandated to receive and maintain such data.
4,Specialized investigation techniques are used to combat wildlife crime as required,24,Legal authority to use specialized investigation techniques,The existence of provisions in national legislation to use specialized investigation techniques in the investigation of wildlife crime.,ICCWC_4_24,the existence of provisions in national legislation to use specialized investigation techniques in the investigation of wildlife crime.
4,Specialized investigation techniques are used to combat wildlife crime as required,25,Use of specialized investigation techniques,The use of specialized investigation techniques by national law enforcement agencies to combat wildlife crime.,ICCWC_4_25,the use of specialized investigation techniques by national law enforcement agencies to combat wildlife crime.
4,Specialized investigation techniques are used to combat wildlife crime as required,26,Forensic technology,The capacity of national law enforcement agencies to use forensic technology to support wildlife crime investigations.,ICCWC_4_26,the capacity of national law enforcement agencies to use forensic technology to support wildlife crime investigations.
