indic_id,indicators,indicators_harmonized
GA_2.1_sm_1,GDP,gross domestic product
GA_2.1_sm_2,Globalization index,globalization index
GA_2.1_sm_3,Poverty gap,poverty gap
GA_2.1_sm_4,Food Security Index,food security index
GA_2.1_sm_5,Depth of the food deficit (kcal/capit a/day) (3- year average),depth of the food deficit (kcal/capit a/day) (3- year average)
GA_2.1_sm_6,Access to improved sanitation facilities,access to improved sanitation facilities
GA_2.1_sm_7,Domestic Material Consumption,domestic material consumption
GA_2.1_sm_8,per capita calorie intake,per capita calorie intake
GA_2.1_sm_9,Prevalence of obesity in the adult population (18 years and older),prevalence of obesity in the adult population (18 years and older)
GA_2.1_sm_10,Energy use (kg of oil equivalent per capita),energy use (kg of oil equivalent per capita)
GA_2.1_sm_11,Mobile cellular subscriptions,mobile cellular subscriptions
GA_2.1_sm_12,Fossil fuel energy consumption (% of total),fossil-fuel energy consumption (% of total)
GA_2.1_sm_13,Renewable electricity consumption (% of total electricity output),renewable electricity consumption (% of total electricity output)
GA_2.1_sm_14,Electric power consumption (kWh per capita),electric power consumption (kwh per capita)
GA_2.1_sm_15,Access to electricity,access to electricity
GA_2.1_sm_16,Alternative and nuclear energy (% of total energy use),alternative and nuclear energy (% of total energy use)
GA_2.1_sm_17,Protein intake per country per person,protein intake per country per person
GA_2.1_sm_18,"Energy supply derived from cereals, roots and tubers","energy supply derived from cereals, roots and tubers"
GA_2.1_sm_19,People per ouletlet McDonals,people per ouletlet mcdonals
GA_2.1_sm_20,Population growth (annual %),population growth (annual %)
GA_2.1_sm_21,Population density,population density
GA_2.1_sm_22,Child mortality rate,child mortality rate
GA_2.1_sm_23,Urban Population,urban population
GA_2.1_sm_24,Total International migrant stock,total international migrant stock
GA_2.1_sm_25,Refugee population,refugee population
GA_2.1_sm_26,Migration Net,migration net
GA_2.1_sm_27,Population in the largest city,population in the largest city
GA_2.1_sm_28,Population in megacities,population in megacities
GA_2.1_sm_29,GDP per capita,gross domestic product
GA_2.1_sm_30,Agricultural land,agricultural land
GA_2.1_sm_31,livestock indigenous animals,livestock indigenous animals
GA_2.1_sm_32,livestock density of cattle,livestock density of cattle
