indic_id,indicator_type,Goal/target,Goal/target (explicit),Indicator name,Indicator,indicators,Availability,Time series,Update frequency,Data relevant at global scale,Data available/collated national scale,National methodology available,Institution,Other MEAs/Processes,Used in 5NR/6NR,BIP Indicator,Gender,indicators_harmonized
GBF_H_GA_1,headline,Goal A,,A.1 Red List of Ecosystems*,Red List of Ecosystems,Red List of Ecosystems,Available,,5 years,Y,N,N,IUCN,NA,NA,Yes,NA,red list of ecosystems
GBF_H_GA_2,headline,Goal A,,A.2 Extent of natural ecosystems*,Extent of natural ecosystems,Extent of natural ecosystems,In development,,In development,In development,In development,In development,NA,NA,NA,N,NA,extent of natural ecosystems
GBF_H_GA_3,headline,Goal A,,A.3 Red List Index,Red List Index,Red List Index,Available,,Yearly,Y,Y,Y,IUCN; BirdLife International,IPBES; CMS; SDG; UNCCD; SPMS; AEWA; ACAP; Raptors MOU; CITES,NA,Y,NA,red list index
GBF_H_GA_4,headline,Goal A,,A.4 The proportion of populations within species with an effective population size > 500*,The proportion of populations within species with a genetically effective population size > 500,proportion of populations within species with a genetically effective population size > 500,Available,,Every 4 years,Y,Y,Y,Coalition for Conservation Genetics; GEO BON; The Morton Arboretum; Stockholm University; GBIKE,N,NA,N,NA,proportion of populations within species with a genetically effective population size > 500
GBF_H_GB_5,headline,Goal B,,B.1 Services provided by ecosystems*,Services provided by ecosystems,Services provided by ecosystems,In development,,In development,In development,In development,In development,United Nations Statistics Division (UNSD),Data pending,NA,N,NA,services provided by ecosystems
GBF_H_GC_6,headline,Goal C,,C.1 Indicator on monetary benefits received*,Indicator on monetary benefits received,Indicator on monetary benefits received,In development,,In development,In development,In development,In development,Secretariat of the Convention on Biological Diversity (SCBD),Data pending,NA,N,NA,indicator on monetary benefits received
GBF_H_GC_7,headline,Goal C,,C.2 Indicator on non-monetary benefits*,Indicator on non-monetary benefits,Indicator on non-monetary benefits,In development,,In development,In development,In development,In development,Secretariat of the Convention on Biological Diversity (SCBD),Data pending,NA,N,NA,indicator on non-monetary benefits
GBF_H_GD_8,headline,Goal D,,"D.1 International public funding, including official development assistance (ODA) for conservation and sustainable use of biodiversity and ecosystems","International public funding, including official development assistance (ODA) for conservation and sustainable use of biodiversity and ecosystems","International public funding, including official development assistance (ODA) for conservation and sustainable use of biodiversity and ecosystems",Available,,Yearly,Y,Y,Y,Organisation for Economic Co-operation and Development's Development Assistance Committee (OECD DAC),SDG,NA,Y,NA,"international public funding, including official development assistance (oda) for conservation and sustainable use of biodiversity and ecosystems"
GBF_H_GD_9,headline,Goal D,,D.2 Domestic public funding on conservation and sustainable use of biodiversity and ecosystems*,Domestic public funding on conservation and sustainable use of biodiversity and ecosystems,Domestic public funding on conservation and sustainable use of biodiversity and ecosystems,In development,,In development,In development,In development,In development,Secretariat of the Convention on Biological Diversity (SCBD),Data pending,NA,N,NA,domestic public funding on conservation and sustainable use of biodiversity and ecosystems
GBF_H_GD_10,headline,Goal D,,D.3 Private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems*,Private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems,Private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems,In development,,In development,In development,In development,In development,Secretariat of the Convention on Biological Diversity (SCBD),Data pending,NA,N,NA,private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems
GBF_H_T1_11,headline,Target 1,,A.1 Red List of Ecosystems*,Red List of Ecosystems,Red List of Ecosystems,Available,,5 years,Y,N,N,IUCN,NA,NA,Y,NA,red list of ecosystems
GBF_H_T1_12,headline,Target 1,,A.2 Extent of natural ecosystems*,Extent of natural ecosystems,Extent of natural ecosystems,In development,,In development,In development,In development,In development,United Nations Statistics Division (UNSD),N,NA,N,NA,extent of natural ecosystems
GBF_H_T1_13,headline,Target 1,,1.1 Percent of land and seas covered by biodiversity-inclusive spatial plans*,Percent of land and seas covered by biodiversity-inclusive spatial plans,Percent of land and seas covered by biodiversity-inclusive spatial plans,In development,,In development,In development,In development,In development,Needs Developing,Data pending,NA,N,NA,percent of land and seas covered by biodiversity-inclusive spatial plans
GBF_H_T2_14,headline,Target 2,,2.2 Area under restoration*,Area under restoration,Area under restoration,In development,,Yearly,Y,Y,Y,Food and Agriculture Organization (FAO),N,NA,N,NA,area under restoration
GBF_H_T3_15,headline,Target 3,,3.1 Coverage of protected areas and OECMS,Coverage of protected areas and OECMS,Coverage of protected areas and OECMS,Available,,Yearly,Y,Y,Y,United Nations Environment Programme World Conservation Monitoring Centre (UNEP-WCMC); International Union for Conservation of Nature (IUCN); BirdLife International (BLI),SDG,NA,Y,NA,coverage of protected areas and oecms
GBF_H_T4_16,headline,Target 4,,A.3 Red List index,Red List index,Red List index,Available,,Yearly,Y,Y,Y,International Union for Conservation of Nature (IUCN); BirdLife International (BLI),IPBES; SDG; CMS SPMS,NA,Y,NA,red list index
GBF_H_T4_17,headline,Target 4,,A.4 The proportion of populations within species with a genetically effective population size > 500*,The proportion of populations within species with a genetically effective population size > 500,proportion of populations within species with a genetically effective population size > 500,In development,,In development,In development,In development,In development,In development,In development,NA,N,NA,proportion of populations within species with a genetically effective population size > 500
