indicators_raw,gbf,ga,va,sua,sdg,ipbes,indicators_cleaned,indicators_harmonized,indicators_categorized,indicators_categorized2,duplicated_indicator
essential biodiversity variable,,1,,,,1,,,,,FALSE
ability of learning through direct proximity of people with nature in biodiversity-rich landscapes or agroecosystems,,1,,,,1,ability of learning through direct proximity of people with nature,information on human-nature relationship,scientific knowledge,scientific knowledge,FALSE
abnormal species and landcape features,,,,1,,1,abnormal landcape features,state of ecosystems (integrity),ecosystems,ecosystems,TRUE
abnormal species and landcape features,,,,1,,1,abnormal species,state of biodiveristy,biodiversity,biodiversity,FALSE
aboveground biomass,,1,,,,1,above ground biomass,state of ecosystems,ecosystems,ecosystems,FALSE
abundance,,,,1,,1,abundance of species,state of biodiveristy,biodiversity,biodiversity,FALSE
abundance estimates and trends,,,,1,,1,abundance of species,state of biodiveristy,biodiversity,biodiversity,FALSE
abundance of fish,,,,1,,1,abundance of fish,state of biodiveristy,biodiversity,biodiversity,FALSE
abundance of food species,,,,1,,1,abundance of food species,nature contribution,ecosystem services,ecosystem services,FALSE
abundance of managed and wild pollinators,,1,,,,1,abundance of pollinators,state of biodiveristy,biodiversity,biodiversity,FALSE
"biomass, abundance",,1,,,,1,abundance of species,state of biodiveristy,biodiversity,biodiversity,FALSE
mean species abundance,,1,,,,1,abundance of species,state of biodiveristy,biodiversity,biodiversity,FALSE
species abundance,,1,,,,1,abundance of species,state of biodiveristy,biodiversity,biodiversity,FALSE
species abundance per country,,,,1,,1,abundance of species,state of biodiveristy,biodiversity,biodiversity,FALSE
species' abundances,,1,,,,1,abundance of species,state of biodiveristy,biodiversity,biodiversity,FALSE
"access and benefit-sharing clearing-house mechanism on national implementation, including legislative measures and monetary and non-monetary benefit-sharing",,1,,,,1,"access and benefit-sharing clearing-house mechanism on national implementation, including legislative measures and monetary and non-monetary benefit-sharing",legislation/governance,legislative arrangements,governance,FALSE
access to electricity,,1,,,,1,access to electricity,healthy living conditions,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
proportion of population with access to electricity,,,,,1,,access to electricity,healthy living conditions,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
access to land,,,,1,,1,access to land,wellness/well-being,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
access to sustainable energy,,1,,,,1,access to sustainable energy,wellness/well-being,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
accessibility,,,,1,,1,accessibility,wellness/well-being,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
adaptive capacity index,,1,,,,1,adaptive capacity index,wellness/well-being,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
addis ababa principles and guidelines for the sustainable use of biodiversity,,,,1,,1,addis ababa principles and guidelines for the sustainable use of biodiversity,nature-based legislation,legislative arrangements,governance,FALSE
additional financial resources mobilized for developing countries from multiple sources,,,,,1,,additional financial resources mobilized for developing countries from multiple sources,state of economy,financial assets,financial assets,FALSE
