indicator_harmonized,indic_ids,sources,policy,Categories,Categories_2,Subcategories,Subcategories_2,source,mea
1-in-100-year return period level (etwl),IPCC_sup_52,IPCC,0,ecosystems,Direct drivers,Abiotic conditions,Climate change,IPCC,FALSE
10-day cumulative precipitation,IPCC_12_17_597,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
15n/14n isotope ratio,IPCC_5_36_279,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
2 m air temperatures,IPCC_12_15_596,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
ability of ecosystems to absorb and buffer hazards,GA_2.3_42_143,IPBES,0,Ecosystem services,NA,Nature contribution,NA,IPBES,FALSE
abnormal occurrences in the territory,SUA_2_95_77,IPBES,0,Knowledge systems,Knowledge systems,Specific information on ILK and IPLC,Specific information on human-nature relationship,IPBES,FALSE
above-ground biomass,GA_2.2_37_70;GA_2.2_39_76;IPBES_GA2.2_sup_1,IPBES,0,ecosystems,NA,State of ecosystems,NA,IPBES,FALSE
above-ground biomass in forests,GBF_T8_CY_181;GA_2.3_39_137,GBF;IPBES,1,ecosystems,NA,State of ecosystems,NA,GBF,TRUE
above-ground biomass in forests,GBF_T8_CY_181;GA_2.3_39_137,GBF;IPBES,1,ecosystems,NA,State of ecosystems,NA,IPBES,FALSE
absence of conflict as indicator of political stability,GA_2_24_29,IPBES,0,Knowledge systems,NA,Information on society and socio-economics,NA,IPBES,FALSE
absolute global forcing potential (agfp),IPCC_7_91_360,IPCC,0,Direct drivers,NA,Climate change,NA,IPCC,FALSE
absolute global temperature change potential (agtp),IPCC_7_91_360,IPCC,0,Direct drivers,NA,Climate change,NA,IPCC,FALSE
abundance and location of habitat,SUA_4_78_130,IPBES,0,ecosystems,NA,State of ecosystems,NA,IPBES,FALSE
abundance of food species,SUA_2_96_79,IPBES,0,Ecosystem services,NA,Nature contribution,NA,IPBES,FALSE
abundance of managed and wild pollinators,GA_2.3_42_143,IPBES,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
abundance of preferred harvest species,SUA_2_97_80,IPBES,0,biodiversity,Ecosystem services,State of biodiversity,Nature contribution,IPBES,FALSE
access to electricity,IPBES_GA2.1_sup_15,IPBES,0,Human assets,NA,Coverage of basic needs,NA,IPBES,FALSE
access to improved sanitation facilities,GA_2_109_44;IPBES_GA2.1_sup_6,IPBES,0,Human assets,NA,Coverage of basic needs,NA,IPBES,FALSE
access to land,SUA_4_149_137,IPBES,0,Human well-being,NA,Equity,NA,IPBES,FALSE
accessibility of resources,SUA_2_95_77,IPBES,0,Ecosystem services,NA,Nature contribution,NA,IPBES,FALSE
accumulated cyclone energy (ace),IPCC_11_79_569,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
accumulated seasonal heat,IPCC_12_14_594,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
achievement of a circular economic system,GEO_17_20_212,GEO,0,Knowledge systems,NA,Information on society and socio-economics,NA,GEO,FALSE
activity status/viability of cms family of instruments,CMS_G1.3_4,CMS,1,Governance,NA,Nature-based legislation,NA,CMS,TRUE
adaptive capacity index (aci),GA_4_129_208,IPBES,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
additional financial resources mobilized for developing countries from multiple sources,SDG_G17.3.1_239,SDG,1,Human assets,NA,Information on society and socio-economics,NA,SDG,TRUE
"adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",SDG_G3.7.2_43,SDG,1,Human assets,Knowledge systems,Coverage of basic needs,Information on society and socio-economics,SDG,TRUE
