indicators_harmonized,km_gbf,sdg,cites,cms,iccwc,ramsar,unccd,policy,ipbes,Categories,Categories_2,Subcategories,Subcategories_2,usage,assess
ability of ecosystems to absorb and buffer hazards,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
ability of learning through direct proximity of people with nature in biodiversity-rich landscapes or agroecosystems,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,NA,Coverage of basic needs,NA,1,ga
abnormal occurrences in the territory,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,sua
above-ground biomass,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems,NA,1,ga
above-ground biomass in forests,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
absence of conflict as indicator of political stability,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
"absolute damage to roads and transportation, power plant,etc",NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,NA,Infrastructure (build-up area),NA,1,ga
abundance and location of habitat,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,ILK,NA,1,sua
abundance of alternative hosts species,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
abundance of competent hosts of vector-born and zoonotic diseases,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
abundance of food species,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,sua
abundance of managed and wild pollinators,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
abundance of preferred harvest species,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,ILK,NA,1,sua
abundance of slowly changing ecosystems (time past last land use change),NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Change in ecosystems,NA,1,ga
abundance of sulfate reducing microorganisms,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
abundance of wild and managed biological controllers of pests,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
access to electricity,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,NA,Coverage of basic needs,NA,1,ga
access to improved sanitation facilities,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,NA,Coverage of basic needs,NA,1,ga
access to land,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,sua
accessibility of resources,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,sua
achievement of a circular economic system,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
adaptive capacity index (aci),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
advanced malaria control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
adverse changes in woody or shrubby vegetation,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
adverse changes of unpalatable species,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
agricultural emissions from different farming sectors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
agricultural employment and landholders,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
agricultural export subsidies,NA,1,NA,NA,NA,NA,NA,1,1,Governance,NA,Legislation/governance,NA,1,sua
agricultural land,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,Ecosystem services,Land conversion,Nature contribution,1,ga
agricultural water withdrawal,NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Nature contribution,NA,1,ga
agriculture orientation index for government expenditures,NA,1,NA,NA,NA,NA,NA,1,1,Direct drivers,NA,Land conversion,NA,1,sua
agriculture-based materials produced (tons),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
agro-biodiversity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
agrodiversity and landraces known to date for major crops,NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,biodiversity,Nature contribution,State of biodiversity,1,ga
aid for trade commitments and disbursements,NA,1,NA,NA,NA,NA,NA,1,1,Governance,NA,Nature-based funding,NA,1,sua
air departures,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,NA,Infrastructure (build-up area),NA,1,ga
air passengers,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,Direct drivers,Pollution,Invasive alien species,1,ga
air pollution,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,NA,Pollution,NA,1,ga
air pollution exposure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
air quality,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,ga
air quality,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,geo
air quality index,1,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA,1,geo
air temperature low-cost thermal imagery,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Abiotic conditions,NA,1,ga
air-sea and sediment-water fluxes of carbon and co2,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,ecosystems,Abiotic conditions,Climate change,1,ga
air-sea fluxes of other greenhouse gases such as dimethyl sulfide,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,ecosystems,Climate change,Abiotic conditions,1,ga
alcohol use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
alien species,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
alien species richness,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,ga
alien species richness,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,ias
altering of the carbon and biogeochemical cycles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
alternative and nuclear energy (% of total energy use),NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,Ecosystem services,Infrastructure (build-up area),Specific mention of sustainable use of species/ecosystems,1,ga
amelioration of health problems caused by air pollution resulted from ecosystem contributions to air quality,NA,NA,NA,NA,NA,NA,NA,NA,1,Human well-being,Direct drivers,Healthy living conditions,Pollution,1,ga
amend policies that lead to destruction of mangroves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
amount in united states dollars committed to public-private partnerships for infrastructure,NA,1,NA,NA,NA,NA,NA,1,1,Human assets,NA,Infrastructure (build-up area),NA,1,sua
amount of fossil-fuel subsidies per unit of gross domestic product (production and consumption),1,1,NA,NA,NA,NA,NA,1,1,Governance,NA,Nature detrimental legislation,NA,1,sua
amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan,NA,1,NA,NA,NA,NA,NA,1,1,Human assets,NA,Coverage of basic needs,NA,1,sua
amounts provided and mobilized in united states dollars per year in relation to the continued existing collective mobilization goal of the $100 billion commitment through to 2025,NA,1,NA,NA,NA,NA,NA,1,1,Human assets,NA,State of economy,NA,1,sua
animal behavior,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,ILK,NA,1,ga
annual global mean surface temperature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
annual growth rate of real gross domestic product,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,sua
annual growth rate of real gross domestic product per employed person,NA,1,NA,NA,NA,NA,NA,1,1,Human assets,NA,Income,NA,1,sua
annual mean levels of fine particulate matter in cities,1,1,NA,NA,NA,NA,NA,1,1,Direct drivers,ecosystems,Pollution,State of ecosystems (integrity),1,sua
annual rate of net forest loss,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
anthropogenic emissions of long-lived greenhouse gases (co2 equivalents),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
anthropogenic emissions of long-lived greenhouse gases (ghg emissions),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
antimicrobial resistence in pathogens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
appearance of new grass in grazing areas,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,ILK,NA,1,va
aquaculture production,NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Nature contribution,NA,1,ga
arable land remaining,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems,NA,1,ga
arctic species trend index,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,ga
arctic species trend index,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,geo
"area and percent of forests managed primarily to protect the range of cultural, social and spiritual needs and values",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,sua
area and percent of forests used for subsistence purposes,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,sua
area of agricultural land under conservation agriculture,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
area of agricultural land under conservation agriculture,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,Ecosystem services,Land conversion,Specific mention of sustainable use of species/ecosystems,1,ga
area of agricultural land under organic production,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,Ecosystem services,Land conversion,Nature contribution,1,ga
area of floodplain wetlands,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
area of forest under sustainable management: total forest management certification by forest stewardship council and programme for the endorsement of forest certification,1,NA,NA,NA,NA,NA,NA,1,1,Ecosystem services,Governance,Specific mention of sustainable use of species/ecosystems,Nature-based legislation,1,ga
area of natural and traditional landscapes and seascapes,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems,NA,1,ga
areas including all uoa where people mainly rely on nature for their well being,NA,NA,NA,NA,NA,NA,NA,NA,1,Human well-being,Ecosystem services,Recreation,Nature contribution,1,ga
arrival of new native and alien species,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,ILK,NA,1,ga
associated species,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,sua
atmospheric sounding,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Abiotic conditions,NA,1,ga
average conservation status,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
"average hourly earnings of employees, by sex, age, occupation and persons with disabilities",NA,1,NA,NA,NA,NA,NA,1,1,Human assets,NA,Income,NA,1,sua
"average income of small-scale food producers, by sex and indigenous status",1,1,NA,NA,NA,NA,NA,1,1,Human assets,NA,Income,NA,1,sua
average marine acidity (ph) measured at agreed suite of representative sampling stations,NA,1,NA,NA,NA,NA,NA,1,1,ecosystems,NA,Abiotic conditions,NA,1,sua
average number of years of schooling,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
avoided costs from air pollution,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
avoided costs of health treatment of vbd,NA,NA,NA,NA,NA,NA,NA,NA,1,Human well-being,Governance,Healthy living conditions,Nature-based funding,1,ga
avoided costs of pesticide use,NA,NA,NA,NA,NA,NA,NA,NA,1,Human well-being,Governance,Healthy living conditions,Nature-based funding,1,ga
avoided morbidity and premature mortality from air pollution,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
avoided pest damage to crop and livestock,NA,NA,NA,NA,NA,NA,NA,NA,1,Human well-being,Governance,Healthy living conditions,Nature-based funding,1,ga
avoided water treatment costs,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,NA,NA,NA,1,ga
bamboos and rattans market value,NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA,1,ga
bare area,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
bark (kg),NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Nature contribution,NA,1,ga
beach litter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
beef consumption,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
"behavior of animals with importance as food, changes in crop phenology",NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,ILK,NA,1,ga
below- and above-ground biomass stocks,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
benefits derived from healthy ecosystems and costs caused by its depletion,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,va
betadiversity (species turnover),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Change in biodiversity,NA,1,ga
better life index,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
billions of dollars each year,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,NA,State of economy,NA,1,ga
biocapacity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
biochemical oxygen demand (bod),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
