indicators_harmonized,Categories,Categories_2,Subcategories,Subcategories_2,usage,meas
red list of ecosystems,ecosystems,NA,State of ecosystems,NA,1,km_gbf
extent of natural ecosystems,ecosystems,NA,State of ecosystems,NA,1,km_gbf
red list index,biodiversity,NA,State of biodiversity,NA,2,"km_gbf,sdg"
proportion of populations within species with a genetically effective population size > 500,biodiversity,NA,State of biodiversity,NA,1,km_gbf
percent of land and seas covered by biodiversity-inclusive spatial plans,ecosystems,NA,Area conservation,NA,1,km_gbf
area under restoration,ecosystems,NA,Restoration efforts,NA,1,km_gbf
coverage of protected areas and oecms,ecosystems,NA,Area conservation,NA,1,km_gbf
proportion of fish stocks within biologically sustainable levels,biodiversity,NA,State of biodiversity,NA,2,"km_gbf,sdg"
rate of invasive alien species establishment,Invasive alien species,NA,Invasive alien species,NA,1,km_gbf
index of coastal eutrophication potential (icep),ecosystems,Direct drivers,State of ecosystems (integrity),Pollution,2,"km_gbf,sdg"
percentage of the population in traditional employment,biodiversity,NA,Species conservation,Change in biodiversity,1,km_gbf
ecosystem intactness index,ecosystems,NA,State of ecosystems (integrity),NA,1,km_gbf
ecosystem integrity index,ecosystems,NA,State of ecosystems (integrity),NA,1,km_gbf
species habitat index,biodiversity,NA,State of biodiversity,NA,1,km_gbf
biodiversity habitat index,biodiversity,NA,State of biodiversity,NA,1,km_gbf
protected connected (protconn) index,ecosystems,NA,Area conservation,State of ecosystems (coverage),1,km_gbf
protected area connectedness (parc-connectedness) index,ecosystems,NA,State of ecosystems (configuration),NA,1,km_gbf
evolutionarily distinct and globally endangered (edge),biodiversity,NA,Genetic diversity,Species conservation,1,km_gbf
living planet index,ecosystems,NA,State of biodiversity,NA,1,km_gbf
change in the extent of water-related ecosystems over time,ecosystems,NA,State of ecosystems,Change in ecosystems,2,"km_gbf,sdg"
red list index (for utilized species),biodiversity,Ecosystem services,State of biodiversity,Nature contribution,1,km_gbf
living planet index (for used species),ecosystems,Ecosystem services,State of biodiversity,Nature contribution,1,km_gbf
priority retention of intact / wilderness areas,ecosystems,NA,State of ecosystems (integrity),NA,1,km_gbf
maintenance and restoration of connectivity of natural ecosystems,ecosystems,NA,Restoration efforts,NA,1,km_gbf
protected area coverage of key biodiversity areas,ecosystems,NA,Area conservation,NA,1,km_gbf
protected area management effectiveness (pame),ecosystems,Governance,Area conservation,Nature-based legislation,1,km_gbf
connectivity indicator,ecosystems,NA,State of ecosystems (configuration),NA,1,km_gbf
number of protected areas that have completed a site-level assessment of governance and equity (sage),ecosystems,NA,Area conservation,NA,1,km_gbf
species protection index,biodiversity,NA,Species conservation,NA,1,km_gbf
number of plant and animal genetic resources secured in medium or long-term conservation facilities,biodiversity,NA,Genetic resources,NA,1,km_gbf
green status of species index,biodiversity,NA,State of biodiversity,NA,1,km_gbf
conservation status of species listed in the cites appendices has stabilized or improved,ecosystems,NA,Species conservation,NA,1,km_gbf
rate of invasive species impact and rate of impact,Invasive alien species,NA,Invasive alien species,NA,1,km_gbf
rate of invasive alien species spread,Invasive alien species,NA,Invasive alien species,NA,1,km_gbf
number of invasive alien species introduction events,Invasive alien species,NA,Invasive alien species,NA,1,km_gbf
floating plastic debris density,ecosystems,Direct drivers,State of ecosystems (integrity),Pollution,1,km_gbf
red list index (impacts of pollution),biodiversity,Direct drivers,State of biodiversity,Pollution,1,km_gbf
bioclimatic ecosystem resilience index (beri),ecosystems,NA,State of biodiversity,NA,1,km_gbf
proportion of bodies of water with good ambient water quality,ecosystems,NA,Abiotic conditions,NA,2,"km_gbf,sdg"
level of water stress,ecosystems,NA,Abiotic conditions,NA,1,km_gbf
number of permits or their equivalents for genetic resources (including those related to traditional knowledge) by type of permit,biodiversity,NA,Genetic resources,NA,1,km_gbf
species status index,biodiversity,NA,State of biodiversity,NA,1,km_gbf
forest area as a percentage of total land area,ecosystems,NA,State of ecosystems (coverage),NA,2,"km_gbf,sdg"
forest distribution,ecosystems,NA,State of ecosystems,NA,1,km_gbf
tree cover loss,biodiversity,NA,Change in biodiversity,NA,1,km_gbf
grassland and savannah extent,ecosystems,NA,State of ecosystems,NA,1,km_gbf
mountain green cover index,ecosystems,NA,State of ecosystems (coverage),NA,2,"km_gbf,sdg"
peatland extent and condition,ecosystems,NA,State of ecosystems (coverage),NA,1,km_gbf
"permafrost thickness, depth and extent",ecosystems,NA,Abiotic conditions,NA,1,km_gbf
continuous global mangrove forest area,ecosystems,NA,State of ecosystems (coverage),NA,1,km_gbf
trends in mangrove forest fragmentation,ecosystems,NA,Change in ecosystems,State of ecosystems (integrity),1,km_gbf
trends in mangrove extent,ecosystems,NA,Change in ecosystems,NA,1,km_gbf
live coral cover,biodiversity,NA,State of biodiversity,NA,1,km_gbf
hard coral cover and composition,biodiversity,NA,State of biodiversity,NA,1,km_gbf
global coral reef extent,biodiversity,NA,State of biodiversity,NA,1,km_gbf
global seagrass extent (seagrass cover and composition),biodiversity,NA,State of biodiversity,NA,1,km_gbf
global saltmarsh extent,ecosystems,NA,State of ecosystems,NA,1,km_gbf
kelp canopy extent,biodiversity,NA,State of biodiversity,NA,1,km_gbf
macroalgal canopy cover and composition,biodiversity,NA,State of biodiversity,NA,1,km_gbf
cover of key benthic groups,biodiversity,NA,State of biodiversity,NA,1,km_gbf
fleshy algae cover,biodiversity,NA,State of biodiversity,NA,1,km_gbf
wetland extent trends index,ecosystems,NA,Change in ecosystems,NA,1,km_gbf
change in the extent of inland water ecosystems over time,ecosystems,NA,State of ecosystems,Change in ecosystems,1,km_gbf
forest fragmentation index,ecosystems,NA,State of ecosystems,NA,1,km_gbf
forest landscape integrity index,ecosystems,NA,State of ecosystems,NA,1,km_gbf
biomass of selected natural ecosystems,ecosystems,NA,State of ecosystems,NA,1,km_gbf
relative magnitude of fragmentation (rmf),ecosystems,NA,State of ecosystems (integrity),NA,1,km_gbf
biodiversity intactness index,biodiversity,NA,State of biodiversity,NA,1,km_gbf
ocean health index,ecosystems,NA,State of ecosystems (freshwater/coastal),NA,1,km_gbf
river fragmentation index,ecosystems,NA,State of ecosystems (integrity),State of ecosystems (freshwater/coastal),1,km_gbf
dendritic connectivity index,ecosystems,NA,State of ecosystems,NA,1,km_gbf
percentage of threatened species that are improving in status,biodiversity,NA,Species conservation,Change in biodiversity,1,km_gbf
