indicators_harmonized,policy,assessment,sources,ipbes,usage,usage_policy,usage_assess,usage_ipbes,indic,indic_ext,var_ext,Categories,Categories_2,Subcategories,Subcategories_2
red list of ecosystems,1,1,"GEO,GBF",NA,2,1,1,0,1,1,NA,Ecosystems,NA,State Of Ecosystems,NA
extent of natural ecosystems,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems,NA
red list index,1,1,"GA,SUA,IAS,GEO,GBF,SDG",1,6,2,4,3,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA
proportion of populations within species with a genetically effective population size > 500,1,0,GBF,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA
services provided by ecosystems,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
indicator on monetary benefits received,1,0,GBF,NA,1,1,0,0,1,NA,NA,Human Assets,NA,Income,NA
indicator on non-monetary benefits,1,0,GBF,NA,1,1,0,0,1,NA,NA,Human Assets,NA,Income,NA
"international public funding, including official development assistance (oda) for conservation and sustainable use of biodiversity and ecosystems",1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,National/International Cooperation,NA
domestic public funding on conservation and sustainable use of biodiversity and ecosystems,1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Funding,NA
private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems,1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Funding,NA
percent of land and seas covered by biodiversity-inclusive spatial plans,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,Area Conservation,NA
area under restoration,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,Restoration Efforts,NA
coverage of protected areas and oecms,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,Area Conservation,NA
proportion of fish stocks within biologically sustainable levels,1,1,"GA,SUA,GEO,GBF,SDG",1,5,2,3,2,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA
rate of invasive alien species establishment,1,1,"IAS,GBF",1,2,1,1,1,1,1,NA,Direct Drivers,NA,Invasive Alien Species,NA
index of coastal eutrophication potential (icep),1,1,"SUA,GEO,GBF,SDG",1,4,2,2,1,1,1,NA,Ecosystems,Direct Drivers,State Of Ecosystems (Integrity),Pollution
pesticide environment concentration,1,0,GBF,NA,1,1,0,0,1,NA,NA,Direct Drivers,NA,Pollution,NA
benefits from the sustainable use of wild species,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystem Services,NA,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA
percentage of the population in traditional employment,1,0,GBF,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,Species Conservation,Change In Biodiversity
proportion of agricultural area under productive and sustainable agriculture,1,1,"GA,SUA,GEO,GBF,SDG",1,5,2,3,2,1,1,NA,Ecosystem Services,NA,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA
progress towards sustainable forest management,1,1,"SUA,GBF,SDG",1,3,2,1,1,1,NA,NA,Governance,Ecosystem Services,Nature-Based Legislation,Specific Mention Of Sustainable Use Of Species/Ecosystems
average share of the built-up area of cities that is green/blue space for public use for all,1,0,GBF,NA,1,1,0,0,1,NA,NA,Human Well-Being,NA,Healthy Living Conditions,NA
"number of companies reporting on disclosures of risks, dependencies and impacts on biodiversity",1,0,GBF,NA,1,1,0,0,1,NA,NA,Knowledge Systems,NA,Information On Biodiversity,NA
positive incentives in place to promote biodiversity conservation and sustainable use,1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,Ecosystem Services,Nature-Based Legislation,Specific Mention Of Sustainable Use Of Species/Ecosystems
"value of subsidies and other incentives harmful to biodiversity, that are redirected, repurposed or eliminated",1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Funding,NA
indicator on biodiversity information for monitoring the global biodiversity framework,1,0,GBF,NA,1,1,0,0,1,NA,NA,Knowledge Systems,NA,Information On Biodiversity,NA
ecosystem intactness index,1,0,GBF,NA,1,1,0,0,1,1,NA,Ecosystems,NA,State Of Ecosystems (Integrity),NA
ecosystem integrity index,1,0,GBF,NA,1,1,0,0,1,1,NA,Ecosystems,NA,State Of Ecosystems (Integrity),NA
species habitat index,1,1,"GA,GBF",1,2,1,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA
biodiversity habitat index,1,1,"GA,GBF",1,2,1,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA
protected connected (protconn) index,1,0,GBF,NA,1,1,0,0,1,1,NA,Ecosystems,NA,Area Conservation,State Of Ecosystems (Coverage)
protected area connectedness (parc-connectedness) index,1,1,"GA,GBF",1,2,1,1,1,1,1,NA,Ecosystems,NA,State Of Ecosystems (Configuration),NA
evolutionarily distinct and globally endangered (edge),1,0,GBF,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,Genetic Diversity,Species Conservation
living planet index,1,1,"GA,SUA,GEO,GBF",1,4,1,3,2,1,1,NA,Ecosystems,NA,State Of Biodiversity,NA
change in the extent of water-related ecosystems over time,1,1,"SUA,GBF,SDG",1,3,2,1,1,1,NA,NA,Ecosystems,NA,State Of Ecosystems,Change In Ecosystems
red list index (for utilized species),1,1,"GA,GEO,GBF",1,3,1,2,1,1,1,NA,Biodiversity,Ecosystem Services,State Of Biodiversity,Nature Contribution
living planet index (for used species),1,0,GBF,NA,1,1,0,0,1,1,NA,Ecosystems,Ecosystem Services,State Of Biodiversity,Nature Contribution
priority retention of intact / wilderness areas,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems (Integrity),NA
maintenance and restoration of connectivity of natural ecosystems,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,Restoration Efforts,NA
protected area coverage of key biodiversity areas,1,1,"GA,GBF",1,2,1,1,1,1,1,NA,Ecosystems,NA,Area Conservation,NA
protected area management effectiveness (pame),1,1,"GA,GBF",1,2,1,1,1,1,1,NA,Ecosystems,Governance,Area Conservation,Nature-Based Legislation
connectivity indicator,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems (Configuration),NA
number of protected areas that have completed a site-level assessment of governance and equity (sage),1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,Area Conservation,NA
species protection index,1,1,"GA,GBF",1,2,1,1,1,1,1,NA,Biodiversity,NA,Species Conservation,NA
number of plant and animal genetic resources secured in medium or long-term conservation facilities,1,1,"GA,GBF",1,2,1,1,1,1,NA,NA,Biodiversity,NA,Genetic Resources,NA
trends in effective and sustainable management of human-wildlife conflict and coexistence,1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA
green status of species index,1,0,GBF,NA,1,1,0,0,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA
conservation status of species listed in the cites appendices has stabilized or improved,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,Species Conservation,NA
sustainable use of wild species,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystem Services,NA,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA
rate of invasive species impact and rate of impact,1,0,GBF,NA,1,1,0,0,1,NA,NA,Direct Drivers,NA,Invasive Alien Species,NA
rate of invasive alien species spread,1,0,GBF,NA,1,1,0,0,1,NA,NA,Direct Drivers,NA,Invasive Alien Species,NA
number of invasive alien species introduction events,1,1,"GA,GBF",1,2,1,1,1,1,1,NA,Direct Drivers,NA,Invasive Alien Species,NA
fertilizer use,1,1,"GA,GBF",1,2,1,1,1,1,1,NA,Direct Drivers,NA,Pollution,NA
proportion of domestic and industrial wastewater flows safely treated,1,0,"GBF,SDG",NA,2,2,0,0,1,NA,NA,Human Assets,NA,Infrastructure (Build-Up Area),NA
floating plastic debris density,1,1,"GEO,GBF",NA,2,1,1,0,1,1,NA,Ecosystems,Direct Drivers,State Of Ecosystems (Integrity),Pollution
red list index (impacts of pollution),1,1,"GA,GBF",1,2,1,1,1,1,1,NA,Biodiversity,Direct Drivers,State Of Biodiversity,Pollution
