indicators_harmonized,policy,assessment,sources,ipbes,usage,usage_policy,usage_assess,usage_ipbes,indic,indic_ext,var_ext,Categories,Categories_2,Subcategories,Subcategories_2,ipbes_assess
red list index,1,1,"GA,SUA,IAS,GEO,GBF,SDG",1,6,2,4,3,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA,"GA,SUA,IAS"
proportion of fish stocks within biologically sustainable levels,1,1,"GA,SUA,GEO,GBF,SDG",1,5,2,3,2,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA,"GA,SUA"
rate of invasive alien species establishment,1,1,"IAS,GBF",1,2,1,1,1,1,1,NA,Direct Drivers,NA,Invasive Alien Species,NA,IAS
index of coastal eutrophication potential (icep),1,1,"SUA,GEO,GBF,SDG",1,4,2,2,1,1,1,NA,Ecosystems,Direct Drivers,State Of Ecosystems (Integrity),Pollution,SUA
proportion of agricultural area under productive and sustainable agriculture,1,1,"GA,SUA,GEO,GBF,SDG",1,5,2,3,2,1,1,NA,Ecosystem Services,NA,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA,"GA,SUA"
progress towards sustainable forest management,1,1,"SUA,GBF,SDG",1,3,2,1,1,1,NA,NA,Governance,Ecosystem Services,Nature-Based Legislation,Specific Mention Of Sustainable Use Of Species/Ecosystems,SUA
species habitat index,1,1,"GA,GBF",1,2,1,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
biodiversity habitat index,1,1,"GA,GBF",1,2,1,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
protected area connectedness (parc-connectedness) index,1,1,"GA,GBF",1,2,1,1,1,1,1,NA,Ecosystems,NA,State Of Ecosystems (Configuration),NA,GA
living planet index,1,1,"GA,SUA,GEO,GBF",1,4,1,3,2,1,1,NA,Ecosystems,NA,State Of Biodiversity,NA,"GA,SUA"
change in the extent of water-related ecosystems over time,1,1,"SUA,GBF,SDG",1,3,2,1,1,1,NA,NA,Ecosystems,NA,State Of Ecosystems,Change In Ecosystems,SUA
red list index (for utilized species),1,1,"GA,GEO,GBF",1,3,1,2,1,1,1,NA,Biodiversity,Ecosystem Services,State Of Biodiversity,Nature Contribution,GA
protected area coverage of key biodiversity areas,1,1,"GA,GBF",1,2,1,1,1,1,1,NA,Ecosystems,NA,Area Conservation,NA,GA
protected area management effectiveness (pame),1,1,"GA,GBF",1,2,1,1,1,1,1,NA,Ecosystems,Governance,Area Conservation,Nature-Based Legislation,GA
species protection index,1,1,"GA,GBF",1,2,1,1,1,1,1,NA,Biodiversity,NA,Species Conservation,NA,GA
