indicators_harmonized,policy,assessment,sources,ipbes,usage,usage_policy,usage_assess,usage_ipbes,indic,indic_ext,var_ext,Categories,Categories_2,Subcategories,Subcategories_2,meas
red list of ecosystems,1,1,"GEO,GBF",NA,2,1,1,0,1,1,NA,Ecosystems,NA,State Of Ecosystems,NA,GBF
extent of natural ecosystems,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems,NA,GBF
red list index,1,1,"GA,SUA,IAS,GEO,GBF,SDG",1,6,2,4,3,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA,"GBF,SDG"
proportion of populations within species with a genetically effective population size > 500,1,0,GBF,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA,GBF
services provided by ecosystems,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA,GBF
indicator on monetary benefits received,1,0,GBF,NA,1,1,0,0,1,NA,NA,Human Assets,NA,Income,NA,GBF
indicator on non-monetary benefits,1,0,GBF,NA,1,1,0,0,1,NA,NA,Human Assets,NA,Income,NA,GBF
"international public funding, including official development assistance (oda) for conservation and sustainable use of biodiversity and ecosystems",1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,National/International Cooperation,NA,GBF
domestic public funding on conservation and sustainable use of biodiversity and ecosystems,1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Funding,NA,GBF
private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems,1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Funding,NA,GBF
percent of land and seas covered by biodiversity-inclusive spatial plans,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,Area Conservation,NA,GBF
area under restoration,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,Restoration Efforts,NA,GBF
coverage of protected areas and oecms,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,Area Conservation,NA,GBF
proportion of fish stocks within biologically sustainable levels,1,1,"GA,SUA,GEO,GBF,SDG",1,5,2,3,2,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA,"GBF,SDG"
rate of invasive alien species establishment,1,1,"IAS,GBF",1,2,1,1,1,1,1,NA,Direct Drivers,NA,Invasive Alien Species,NA,GBF
index of coastal eutrophication potential (icep),1,1,"SUA,GEO,GBF,SDG",1,4,2,2,1,1,1,NA,Ecosystems,Direct Drivers,State Of Ecosystems (Integrity),Pollution,"GBF,SDG"
pesticide environment concentration,1,0,GBF,NA,1,1,0,0,1,NA,NA,Direct Drivers,NA,Pollution,NA,GBF
benefits from the sustainable use of wild species,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystem Services,NA,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA,GBF
percentage of the population in traditional employment,1,0,GBF,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,Species Conservation,Change In Biodiversity,GBF
proportion of agricultural area under productive and sustainable agriculture,1,1,"GA,SUA,GEO,GBF,SDG",1,5,2,3,2,1,1,NA,Ecosystem Services,NA,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA,"GBF,SDG"
progress towards sustainable forest management,1,1,"SUA,GBF,SDG",1,3,2,1,1,1,NA,NA,Governance,Ecosystem Services,Nature-Based Legislation,Specific Mention Of Sustainable Use Of Species/Ecosystems,"GBF,SDG"
average share of the built-up area of cities that is green/blue space for public use for all,1,0,GBF,NA,1,1,0,0,1,NA,NA,Human Well-Being,NA,Healthy Living Conditions,NA,GBF
"number of companies reporting on disclosures of risks, dependencies and impacts on biodiversity",1,0,GBF,NA,1,1,0,0,1,NA,NA,Knowledge Systems,NA,Information On Biodiversity,NA,GBF
positive incentives in place to promote biodiversity conservation and sustainable use,1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,Ecosystem Services,Nature-Based Legislation,Specific Mention Of Sustainable Use Of Species/Ecosystems,GBF
"value of subsidies and other incentives harmful to biodiversity, that are redirected, repurposed or eliminated",1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Funding,NA,GBF
indicator on biodiversity information for monitoring the global biodiversity framework,1,0,GBF,NA,1,1,0,0,1,NA,NA,Knowledge Systems,NA,Information On Biodiversity,NA,GBF
ecosystem intactness index,1,0,GBF,NA,1,1,0,0,1,1,NA,Ecosystems,NA,State Of Ecosystems (Integrity),NA,GBF
ecosystem integrity index,1,0,GBF,NA,1,1,0,0,1,1,NA,Ecosystems,NA,State Of Ecosystems (Integrity),NA,GBF
species habitat index,1,1,"GA,GBF",1,2,1,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GBF
biodiversity habitat index,1,1,"GA,GBF",1,2,1,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GBF
protected connected (protconn) index,1,0,GBF,NA,1,1,0,0,1,1,NA,Ecosystems,NA,Area Conservation,State Of Ecosystems (Coverage),GBF
protected area connectedness (parc-connectedness) index,1,1,"GA,GBF",1,2,1,1,1,1,1,NA,Ecosystems,NA,State Of Ecosystems (Configuration),NA,GBF
evolutionarily distinct and globally endangered (edge),1,0,GBF,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,Genetic Diversity,Species Conservation,GBF
living planet index,1,1,"GA,SUA,GEO,GBF",1,4,1,3,2,1,1,NA,Ecosystems,NA,State Of Biodiversity,NA,GBF
change in the extent of water-related ecosystems over time,1,1,"SUA,GBF,SDG",1,3,2,1,1,1,NA,NA,Ecosystems,NA,State Of Ecosystems,Change In Ecosystems,"GBF,SDG"
red list index (for utilized species),1,1,"GA,GEO,GBF",1,3,1,2,1,1,1,NA,Biodiversity,Ecosystem Services,State Of Biodiversity,Nature Contribution,GBF
living planet index (for used species),1,0,GBF,NA,1,1,0,0,1,1,NA,Ecosystems,Ecosystem Services,State Of Biodiversity,Nature Contribution,GBF
priority retention of intact / wilderness areas,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems (Integrity),NA,GBF
maintenance and restoration of connectivity of natural ecosystems,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,Restoration Efforts,NA,GBF
protected area coverage of key biodiversity areas,1,1,"GA,GBF",1,2,1,1,1,1,1,NA,Ecosystems,NA,Area Conservation,NA,GBF
protected area management effectiveness (pame),1,1,"GA,GBF",1,2,1,1,1,1,1,NA,Ecosystems,Governance,Area Conservation,Nature-Based Legislation,GBF
