indicators_harmonized,ids,mea,ipbes,Categories,Subcategories,Categories_2,Subcategories_2,indicators_orig
red list of ecosystems,"GBF_H_GA_1,GBF_H_T1_11,GBF_C_T3_64,GBF_CY_T2_249,GBF_CY_T3_266,GBF_CY_T7_298",GBF,NA,Ecosystems,State Of Ecosystems,NA,NA,"Red List of Ecosystems,Red List of Ecosystems,Red List of Ecosystems,Red List of Ecosystems,Red List of Ecosystems,Red List of Ecosystems"
extent of natural ecosystems,"GBF_H_GA_2,GBF_H_T1_12,GBF_C_T2_58,GBF_CY_T1_233",GBF,NA,Ecosystems,State Of Ecosystems,NA,NA,"Extent of natural ecosystems,Extent of natural ecosystems,Extent of natural ecosystems by type,Extent of natural ecosystems by type"
red list index,"GBF_H_GA_3,GBF_H_T4_16,GBF_CY_T2_248,SDG_15_5_1_218","GBF,SDG",1,Biodiversity,State Of Biodiversity,NA,NA,"Red List Index,Red List Index,Red List Index,Red List Index"
proportion of populations within species with a genetically effective population size > 500,"GBF_H_GA_4,GBF_H_T4_17",GBF,NA,Biodiversity,State Of Biodiversity,NA,NA,"The proportion of populations within species with a genetically effective population size > 500,The proportion of populations within species with a genetically effective population size > 500"
services provided by ecosystems,"GBF_H_GB_5,GBF_H_T11_27",GBF,NA,Ecosystem Services,Nature Contribution,NA,NA,"Services provided by ecosystems,Services provided by ecosystems"
indicator on monetary benefits received,"GBF_H_GC_6,GBF_H_T13_29",GBF,NA,Human Assets,Income,NA,NA,"Indicator on monetary benefits received,Indicator on monetary benefits received"
indicator on non-monetary benefits,"GBF_H_GC_7,GBF_H_T13_30",GBF,NA,Human Assets,Income,NA,NA,"Indicator on non-monetary benefits,Indicator on non-monetary benefits"
"international public funding, including official development assistance (oda) for conservation and sustainable use of biodiversity and ecosystems","GBF_H_GD_8,GBF_H_T19_37",GBF,NA,Governance,National/International Cooperation,NA,NA,"International public funding, including official development assistance (ODA) for conservation and sustainable use of biodiversity and ecosystems,International public funding, including official development assistance (ODA) for conservation and sustainable use of biodiversity and ecosystems"
domestic public funding on conservation and sustainable use of biodiversity and ecosystems,"GBF_H_GD_9,GBF_H_T19_38",GBF,NA,Governance,Nature-Based Funding,NA,NA,"Domestic public funding on conservation and sustainable use of biodiversity and ecosystems,Domestic public funding on conservation and sustainable use of biodiversity and ecosystems"
private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems,"GBF_H_GD_10,GBF_H_T19_39",GBF,NA,Governance,Nature-Based Funding,NA,NA,"Private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems,Private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems"
percent of land and seas covered by biodiversity-inclusive spatial plans,GBF_H_T1_13,GBF,NA,Ecosystems,Area Conservation,NA,NA,Percent of land and seas covered by biodiversity-inclusive spatial plans
area under restoration,GBF_H_T2_14,GBF,NA,Ecosystems,Restoration Efforts,NA,NA,Area under restoration
coverage of protected areas and oecms,GBF_H_T3_15,GBF,NA,Ecosystems,Area Conservation,NA,NA,Coverage of protected areas and OECMS
proportion of fish stocks within biologically sustainable levels,"GBF_H_T5_18,GBF_CY_T9_308,SDG_14_4_1_205","GBF,SDG",1,Biodiversity,State Of Biodiversity,NA,NA,"Proportion of fish stocks within biologically sustainable levels,Proportion of fish stocks within biologically sustainable levels,Proportion of fish stocks within biologically sustainable levels"
rate of invasive alien species establishment,"GBF_H_T6_19,GBF_CY_T4_274",GBF,1,Direct Drivers,Invasive Alien Species,NA,NA,"Rate of invasive alien species establishment,Rate of invasive alien species establishment"
index of coastal eutrophication potential (icep),"GBF_H_T7_20,GBF_CY_T7_296,GBF_CY_T8_306,SDG_14_1_1_a_201","GBF,SDG",1,Ecosystems,State Of Ecosystems (Integrity),Direct Drivers,Pollution,"Index of coastal eutrophication potential,Index of coastal eutrophication; (b) plastic debris density,Index of coastal eutrophication,(a) Index of coastal eutrophication; and (b) plastic debris density"
pesticide environment concentration,GBF_H_T7_21,GBF,NA,Direct Drivers,Pollution,NA,NA,Pesticide environment concentration
benefits from the sustainable use of wild species,GBF_H_T9_23,GBF,NA,Ecosystem Services,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA,NA,Benefits from the sustainable use of wild species
percentage of the population in traditional employment,GBF_H_T9_24,GBF,NA,Biodiversity,Species Conservation,NA,Change In Biodiversity,Percentage of the population in traditional employment
proportion of agricultural area under productive and sustainable agriculture,"GBF_H_T10_25,SDG_2_4_1_22","GBF,SDG",1,Ecosystem Services,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA,NA,"Proportion of agricultural area under productive and sustainable agriculture,Proportion of agricultural area under productive and sustainable agriculture"
progress towards sustainable forest management,"GBF_H_T10_26,SDG_15_2_1_214","GBF,SDG",1,Governance,Nature-Based Legislation,Ecosystem Services,Specific Mention Of Sustainable Use Of Species/Ecosystems,"Progress towards sustainable forest management,Progress towards sustainable forest management"
average share of the built-up area of cities that is green/blue space for public use for all,GBF_H_T12_28,GBF,NA,Human Well-Being,Healthy Living Conditions,NA,NA,Average share of the built-up area of cities that is green/blue space for public use for all
"number of companies reporting on disclosures of risks, dependencies and impacts on biodiversity",GBF_H_T15_32,GBF,NA,Knowledge Systems,Information On Biodiversity,NA,NA,"Number of companies reporting on disclosures of risks, dependencies and impacts on biodiversity"
positive incentives in place to promote biodiversity conservation and sustainable use,GBF_H_T18_35,GBF,NA,Governance,Nature-Based Legislation,Ecosystem Services,Specific Mention Of Sustainable Use Of Species/Ecosystems,Positive incentives in place to promote biodiversity conservation and sustainable use
"value of subsidies and other incentives harmful to biodiversity, that are redirected, repurposed or eliminated","GBF_H_T18_36,GBF_C_T18_106",GBF,NA,Governance,Nature-Based Funding,NA,NA,"Value of subsidies and other incentives harmful to biodiversity, that have been eliminated, phased out or reformed*,Value of subsidies and other incentives harmful to biodiversity, that are redirected, repurposed or eliminated"
indicator on biodiversity information for monitoring the global biodiversity framework,GBF_H_T21_41,GBF,NA,Knowledge Systems,Information On Biodiversity,NA,NA,Indicator on biodiversity information for monitoring the global biodiversity framework
ecosystem intactness index,"GBF_C_GA_44,GBF_CY_GA_149",GBF,NA,Ecosystems,State Of Ecosystems (Integrity),NA,NA,"Ecosystem Intactness Index,Ecosystem Intactness Index"
ecosystem integrity index,"GBF_C_GA_45,GBF_CY_T1_235",GBF,NA,Ecosystems,State Of Ecosystems (Integrity),NA,NA,"Ecosystem Integrity Index,Ecosystem Integrity Index"
species habitat index,"GBF_C_GA_46,GBF_CY_T2_251",GBF,1,Biodiversity,State Of Biodiversity,NA,NA,"Species Habitat Index,Species Habitat Index"
biodiversity habitat index,"GBF_C_GA_47,GBF_CY_GA_145,GBF_CY_T2_247",GBF,1,Biodiversity,State Of Biodiversity,NA,NA,"Biodiversity Habitat Index,Biodiversity Habitat Index,Biodiversity Habitat Index"
protected connected (protconn) index,"GBF_C_GA_48,GBF_C_T3_62",GBF,NA,Ecosystems,Area Conservation,NA,State Of Ecosystems (Coverage),"Protected Connected (Protconn) index,Protected Connected (Protconn) index"
protected area connectedness (parc-connectedness) index,"GBF_C_GA_49,GBF_C_T3_63",GBF,1,Ecosystems,State Of Ecosystems (Configuration),NA,NA,"Protected Area Connectedness Index (PARC-Connectedness),Protected Area Connectedness Index (PARC-Connectedness)"
evolutionarily distinct and globally endangered (edge),GBF_C_GA_50,GBF,NA,Biodiversity,Genetic Diversity,NA,Species Conservation,Evolutionarily Distinct and Globally Endangered (EDGE)
living planet index,"GBF_C_GA_51,GBF_C_T4_68,GBF_CY_T2_250",GBF,1,Ecosystems,State Of Biodiversity,NA,NA,"Living Planet Index,Living Planet Index,Living Planet Index"
change in the extent of water-related ecosystems over time,"GBF_C_GA_52,SDG_6_6_1_101","GBF,SDG",1,Ecosystems,State Of Ecosystems,NA,Change In Ecosystems,"Change in the extent of water-related ecosystems over time,Change in the extent of water-related ecosystems over time"
red list index (for utilized species),"GBF_C_GB_53,GBF_C_T5_73,GBF_C_T9_88",GBF,1,Biodiversity,State Of Biodiversity,Ecosystem Services,Nature Contribution,"Red List Index (for utilized species),Red List Index (for utilized species),Red List Index (species used for food and medicine)"
living planet index (for used species),"GBF_C_GB_54,GBF_C_T5_74,GBF_C_T9_89",GBF,NA,Ecosystems,State Of Biodiversity,Ecosystem Services,Nature Contribution,"Living Planet Index (for used species),Living Planet Index (for used species),Living Planet Index (for used species)"
priority retention of intact / wilderness areas,"GBF_C_T1_57,GBF_CY_T2_245",GBF,NA,Ecosystems,State Of Ecosystems (Integrity),NA,NA,"Priority retention of intact / wilderness areas,Priority retention of intact / wilderness areas"
maintenance and restoration of connectivity of natural ecosystems,GBF_C_T2_59,GBF,NA,Ecosystems,Restoration Efforts,NA,NA,Maintenance and restoration of connectivity of natural ecosystems
protected area coverage of key biodiversity areas,GBF_C_T3_60,GBF,1,Ecosystems,Area Conservation,NA,NA,Protected area coverage of key biodiversity areas
protected area management effectiveness (pame),GBF_C_T3_61,GBF,1,Ecosystems,Area Conservation,Governance,Nature-Based Legislation,Protected Area Management Effectiveness (PAME)
connectivity indicator,GBF_C_T3_65,GBF,NA,Ecosystems,State Of Ecosystems (Configuration),NA,NA,Connectivity Indicator
number of protected areas that have completed a site-level assessment of governance and equity (sage),"GBF_C_T3_66,GBF_CY_T22_389,GBF_CY_T23_399",GBF,NA,Ecosystems,Area Conservation,NA,NA,"The number of protected areas that have completed a site-level assessment of governance and equity (SAGE),Number of protected areas that have completed a site-level assessment of governance and equity (SAGE),Number of protected areas that have completed a site-level assessment of governance and equity (SAGE)"
species protection index,"GBF_C_T3_67,GBF_CY_GA_159,GBF_CY_T3_264",GBF,1,Biodiversity,Species Conservation,NA,NA,"Species Protection Index,Species Protection Index,Species Protection Index"
number of plant and animal genetic resources secured in medium or long-term conservation facilities,GBF_C_T4_69,GBF,1,Biodiversity,Genetic Resources,NA,NA,Number of plant and animal genetic resources secured in medium or long-term conservation facilities
trends in effective and sustainable management of human-wildlife conflict and coexistence,GBF_C_T4_70,GBF,NA,Governance,Nature-Based Legislation,NA,NA,Trends in effective and sustainable management of human-wildlife conflict and coexistence
green status of species index,GBF_C_T4_71,GBF,NA,Biodiversity,State Of Biodiversity,NA,NA,Green Status of Species Index
conservation status of species listed in the cites appendices has stabilized or improved,GBF_C_T4_72,GBF,NA,Ecosystems,Species Conservation,NA,NA,Conservation status of species listed in the CITES Appendices has stabilized or improved
sustainable use of wild species,GBF_C_T5_75,GBF,NA,Ecosystem Services,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA,NA,Sustainable use of Wild Species
rate of invasive species impact and rate of impact,GBF_C_T6_76,GBF,NA,Direct Drivers,Invasive Alien Species,NA,NA,Rate of invasive species impact and rate of impact
rate of invasive alien species spread,GBF_C_T6_77,GBF,NA,Direct Drivers,Invasive Alien Species,NA,NA,Rate of invasive alien species spread
number of invasive alien species introduction events,GBF_C_T6_78,GBF,1,Direct Drivers,Invasive Alien Species,NA,NA,Number of invasive alien species introduction events
fertilizer use,GBF_C_T7_79,GBF,1,Direct Drivers,Pollution,NA,NA,Fertilizer use
proportion of domestic and industrial wastewater flows safely treated,"GBF_C_T7_80,SDG_6_3_1_95","GBF,SDG",NA,Human Assets,Infrastructure (Build-Up Area),NA,NA,"Proportion of domestic and industrial wastewater flows safely treated,Proportion of domestic and industrial wastewater flows safely treated"
floating plastic debris density,GBF_C_T7_81,GBF,NA,Ecosystems,State Of Ecosystems (Integrity),Direct Drivers,Pollution,Floating plastic debris density [by micro and macro plastics]
red list index (impacts of pollution),GBF_C_T7_82,GBF,1,Biodiversity,State Of Biodiversity,Direct Drivers,Pollution,Red List Index (impact of pollution)
total climate regulation services provided by ecosystems by ecosystem type (system of environmental economic accounts),GBF_C_T8_83,GBF,NA,Ecosystem Services,Nature Contribution,NA,NA,Total climate regulation services provided by ecosystems by ecosystem type (System of Environmental Economic Accounts)
number of countries that adopt and implement national disaster risk reduction strategies in line with the sendai framework for disaster risk reduction 2015-2030 which include biodiversity,GBF_C_T8_84,GBF,NA,Governance,Nature-Based Legislation,NA,NA,Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 which include biodiversity
national greenhouse inventories from land use and land use change,"GBF_C_T8_85,GBF_CY_T8_303",GBF,NA,Direct Drivers,Climate Change,NA,NA,"National greenhouse inventories from land use and land use change,National greenhouse inventories from land use and land use change"
bioclimatic ecosystem resilience index (beri),"GBF_C_T8_86,GBF_CY_GA_147,GBF_CY_T2_244",GBF,NA,Ecosystems,State Of Biodiversity,NA,NA,"Bioclimatic Ecosystem Resilience Index (BERI),Bioclimatic Ecosystem Resilience Index (BERI),Bioclimatic Ecosystem Resilience Index (BERI)"
"number of people using wild resources for energy, food or culture (including firewood collection, hunting and fishing, gathering, medicinal use, craft making, etc.)",GBF_C_T9_87,GBF,NA,Human Assets,Infrastructure (Build-Up Area),Ecosystem Services,Specific Mention Of Sustainable Use Of Species/Ecosystems,"Number of people using wild resources for energy, food or culture (including firewood collection, hunting and fishing, gathering, medicinal use, craft making, etc.)"
area of forest under sustainable management: total forest management certification by forest stewardship council and programme for the endorsement of forest certification,GBF_C_T10_90,GBF,1,Ecosystem Services,Specific Mention Of Sustainable Use Of Species/Ecosystems,Governance,Nature-Based Legislation,Area of forest under sustainable management: total forest management certification by Forest Stewardship Council and Programme for the Endorsement of Forest Certification
"average income of small-scale food producers, by sex and indigenous status","GBF_C_T10_91,SDG_2_3_2_21","GBF,SDG",1,Human Assets,Income,NA,NA,"Average income of small-scale food producers, by sex and indigenous status,Average income of small-scale food producers, by sex and indigenous status"
"number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population","GBF_C_T11_92,GBF_CY_GB_193,SDG_1_5_1_8,SDG_11_5_1_158,SDG_13_1_1_190","GBF,SDG",1,Direct Drivers,Natural Drivers,NA,NA,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population,Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population,Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population,Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population,Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population"
"mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe water, sanitation and hygiene for all (wash) services)","GBF_C_T11_93,SDG_3_9_2_49","GBF,SDG",NA,Human Well-Being,Healthy Living Conditions,Direct Drivers,Pollution,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe Water, Sanitation and Hygiene for All (WASH) services),Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe Water, Sanitation and Hygiene for All (WASH) services)"
annual mean levels of fine particulate matter in cities,"GBF_C_T11_94,SDG_11_6_2_163","GBF,SDG",1,Direct Drivers,Pollution,Ecosystems,State Of Ecosystems (Integrity),"Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities,Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities (population weighted)"
proportion of bodies of water with good ambient water quality,"GBF_C_T11_95,GBF_CY_GB_188,SDG_6_3_2_96","GBF,SDG",1,Ecosystems,State Of Ecosystems,Human Well-Being,Healthy Living Conditions,"Proportion of bodies of water with good ambient water quality,Proportion of bodies of water with good ambient water quality,Proportion of bodies of water with good ambient water quality"
level of water stress,GBF_C_T11_96,GBF,NA,Ecosystems,State Of Ecosystems,Human Well-Being,Healthy Living Conditions,Level of water stress
recreation and cultural ecosystem services provided,GBF_C_T12_97,GBF,NA,Human Well-Being,Recreation,NA,NA,Recreation and cultural ecosystem services provided
number of permits or their equivalents for genetic resources (including those related to traditional knowledge) by type of permit,GBF_C_T13_98,GBF,NA,Biodiversity,Genetic Resources,NA,NA,Number of permits or their equivalents for genetic resources (including those related to traditional knowledge) by type of permit
number of countries with implementation of the system of environmental economic accounting,GBF_C_T14_99,GBF,NA,Governance,Nature-Based Funding,NA,NA,Number of countries with Implementation of the System of Environmental Economic Accounting
indicator based on task force for naturerelated financial disclosures,GBF_C_T15_100,GBF,NA,Human Assets,State Of Economy,NA,NA,Indicator based on Task Force for Naturerelated Financial Disclosures
food waste index,"GBF_C_T16_101,SDG_12_3_1_b_176","GBF,SDG",1,Human Well-Being,Healthy Living Conditions,Human Assets,Coverage Of Basic Needs,"Food waste index,(a) Food loss index and (b) food waste index"
material footprint per capita,GBF_C_T16_102,GBF,NA,Human Assets,State Of Economy,Direct Drivers,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,Material footprint per capita
global environmental impacts of consumption,GBF_C_T16_103,GBF,NA,Direct Drivers,Land Conversion,NA,NA,Global environmental impacts of consumption
ecological footprint,"GBF_C_T16_104,GBF_CY_GB_177",GBF,1,Direct Drivers,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,NA,NA,"Ecological footprint,Ecological footprint"
species status index,"GBF_C_T21_109,GBF_CY_GA_171,GBF_CY_T21_381",GBF,1,Biodiversity,State Of Biodiversity,NA,NA,"Species Status Index,Species Status Index,Species Status Index"
extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in national education policies,"GBF_C_T21_110,GBF_CY_T16_337,SDG_4_7_1_a_69,SDG_12_8_1_a_183,SDG_13_3_1_a_195","GBF,SDG",1,Human Assets,Specific Information On Human-Nature Relationship,NA,NA,"Extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments,Extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments,Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment,Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment,Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment"
extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in curricula,"GBF_C_T21_111,GBF_CY_T16_338,SDG_4_7_1_b_70,SDG_12_8_1_b_184,SDG_13_3_1_b_196","GBF,SDG",1,Human Assets,Specific Information On Human-Nature Relationship,NA,NA,"Extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments,Extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments,Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment,Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment,Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment"
extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in teacher education,"GBF_C_T21_112,GBF_CY_T16_339,SDG_4_7_1_c_71,SDG_12_8_1_c_185,SDG_13_3_1_c_197","GBF,SDG",1,Human Assets,Specific Information On Human-Nature Relationship,NA,NA,"Extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments,Extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments,Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment,Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment,Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment"
extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in student assessment,"GBF_C_T21_113,GBF_CY_T16_340,SDG_4_7_1_d_72,SDG_12_8_1_d_186,SDG_13_3_1_d_198","GBF,SDG",1,Human Assets,Information On Society And Socio-Economics,NA,NA,"Extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments,Extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments,Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment,Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment,Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment"
"proportion of total adult population with secure tenure rights to land with legally recognized documentation, by sex and type of tenure","GBF_C_T22_114,GBF_C_T23_119,SDG_1_4_2_a_6","GBF,SDG",1,Human Well-Being,Equity,NA,NA,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation, and (b) who perceive their rights to land as secure, by sex and type of tenure,Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation, and (b) who perceive their rights to land as secure, by sex and type of tenure,Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation, and (b) who perceive their rights to land as secure, by sex and type of tenure"
"proportion of total adult population with secure tenure rights to land who perceive their rights to land as secure, by sex and type of tenure","GBF_C_T22_115,GBF_C_T23_120,SDG_1_4_2_b_7","GBF,SDG",1,Human Well-Being,Equity,NA,NA,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation, and (b) who perceive their rights to land as secure, by sex and type of tenure,Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation, and (b) who perceive their rights to land as secure, by sex and type of tenure,Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation, and (b) who perceive their rights to land as secure, by sex and type of tenure"
proportion of seats held by women in national parliaments,"GBF_C_T23_116,SDG_5_5_1_a_82","GBF,SDG",NA,Human Well-Being,Equity,NA,NA,"Proportion of seats held by women in (a) national parliaments and (b) local governments,Proportion of seats held by women in (a) national parliaments and (b) local governments"
proportion of seats held by women in local governments,"GBF_C_T23_117,SDG_5_5_1_b_83","GBF,SDG",NA,Human Well-Being,Equity,NA,NA,"Proportion of seats held by women in (a) national parliaments and (b) local governments,Proportion of seats held by women in (a) national parliaments and (b) local governments"
indicator on national implementation of the gender plan of action,GBF_C_T23_118,GBF,NA,Human Well-Being,Equity,NA,NA,Indicator on national implementation of the gender plan of action
forest area as a percentage of total land area,"GBF_CY_GA_121,SDG_15_1_1_212","GBF,SDG",1,Ecosystems,State Of Ecosystems (Coverage),NA,NA,"Forest area as a proportion of total land area,Forest area as a proportion of total land area"
forest distribution,GBF_CY_GA_122,GBF,NA,Ecosystems,State Of Ecosystems,NA,NA,Forest distribution
tree cover loss,GBF_CY_GA_123,GBF,NA,Biodiversity,Change In Biodiversity,NA,NA,Tree cover loss
grassland and savannah extent,GBF_CY_GA_124,GBF,NA,Ecosystems,State Of Ecosystems,NA,NA,Grassland and savannah extent
mountain green cover index,"GBF_CY_GA_125,SDG_15_4_2_217","GBF,SDG",1,Ecosystems,State Of Ecosystems (Coverage),NA,NA,"Mountain Green Cover Index,Mountain Green Cover Index"
peatland extent and condition,GBF_CY_GA_126,GBF,NA,Ecosystems,State Of Ecosystems (Coverage),NA,NA,Peatland extent and condition
"permafrost thickness, depth and extent",GBF_CY_GA_127,GBF,NA,Ecosystems,State Of Ecosystems,NA,NA,"Permafrost thickness, depth and extent"
continuous global mangrove forest area,GBF_CY_GA_128,GBF,NA,Ecosystems,State Of Ecosystems (Configuration),NA,NA,Continuous Global Mangrove Forest Cover
trends in mangrove forest fragmentation,GBF_CY_GA_129,GBF,NA,Ecosystems,Change In Ecosystems,NA,State Of Ecosystems (Configuration),Trends in mangrove forest fragmentation
trends in mangrove extent,GBF_CY_GA_130,GBF,NA,Ecosystems,Change In Ecosystems,NA,State Of Ecosystems (Coverage),Trends in mangrove extent
live coral cover,GBF_CY_GA_131,GBF,1,Biodiversity,State Of Biodiversity,NA,NA,Live coral cover
hard coral cover and composition,GBF_CY_GA_132,GBF,NA,Biodiversity,State Of Biodiversity,NA,NA,Hard coral cover and composition
global coral reef extent,GBF_CY_GA_133,GBF,NA,Biodiversity,State Of Biodiversity,NA,NA,Global coral reef extent
global seagrass extent (seagrass cover and composition),GBF_CY_GA_134,GBF,NA,Biodiversity,State Of Biodiversity,NA,NA,Global Seagrass Extent (Seagrass Cover and composition)
global saltmarsh extent,GBF_CY_GA_135,GBF,NA,Ecosystems,State Of Ecosystems,NA,NA,Global saltmarsh extent
kelp canopy extent,GBF_CY_GA_136,GBF,NA,Biodiversity,State Of Biodiversity,NA,NA,Kelp canopy extent
macroalgal canopy cover and composition,GBF_CY_GA_137,GBF,NA,Biodiversity,State Of Biodiversity,NA,NA,Macroalgal Canopy Cover and Composition
cover of key benthic groups,GBF_CY_GA_138,GBF,NA,Biodiversity,State Of Biodiversity,NA,NA,Cover of key benthic groups
fleshy algae cover,GBF_CY_GA_139,GBF,NA,Biodiversity,State Of Biodiversity,NA,NA,Fleshy algae cover
wetland extent trends index,GBF_CY_GA_140,GBF,1,Ecosystems,Change In Ecosystems,NA,NA,Wetland Extent Trends Index
change in the extent of inland water ecosystems over time,GBF_CY_GA_141,GBF,NA,Ecosystems,State Of Ecosystems,NA,Change In Ecosystems,Change in the extent of inland water ecosystems over time
forest fragmentation index,GBF_CY_GA_142,GBF,NA,Ecosystems,State Of Ecosystems,NA,NA,Forest Fragmentation Index
forest landscape integrity index,"GBF_CY_GA_143,GBF_CY_T2_240",GBF,NA,Ecosystems,State Of Ecosystems,NA,NA,"Forest Landscape Integrity Index,Forest Landscape Integrity Index"
biomass of selected natural ecosystems,GBF_CY_GA_144,GBF,NA,Ecosystems,State Of Ecosystems,NA,NA,Biomass of selected natural ecosystems
global vegetation health products,GBF_CY_GA_146,GBF,NA,Ecosystem Services,Nature Contribution,NA,NA,Global Vegetation Health Products
