indicators,mea,ipbes,Categories,Subcategories,Categories_2,Subcategories_2,indicators_harmonized,ids
Red List of Ecosystems,GBF,NA,Ecosystems,State Of Ecosystems,NA,NA,red list of ecosystems,"GBF_H_GA_1,GBF_H_T1_11,GBF_C_T3_64,GBF_CY_T2_249,GBF_CY_T3_266,GBF_CY_T7_298"
Extent of natural ecosystems,GBF,NA,Ecosystems,State Of Ecosystems,NA,NA,extent of natural ecosystems,"GBF_H_GA_2,GBF_H_T1_12"
Extent of natural ecosystems by type,GBF,NA,Ecosystems,State Of Ecosystems,NA,NA,extent of natural ecosystems,"GBF_C_T2_58,GBF_CY_T1_233"
Red List Index,"GBF,SDG",1,Biodiversity,State Of Biodiversity,NA,NA,red list index,"GBF_H_GA_3,GBF_CY_T2_248,SDG_15_5_1_218"
Red List index,GBF,1,Biodiversity,State Of Biodiversity,NA,NA,red list index,GBF_H_T4_16
The proportion of populations within species with a genetically effective population size > 500,GBF,NA,Biodiversity,State Of Biodiversity,NA,NA,proportion of populations within species with a genetically effective population size > 500,"GBF_H_GA_4,GBF_H_T4_17"
Services provided by ecosystems,GBF,NA,Ecosystem Services,Nature Contribution,NA,NA,services provided by ecosystems,"GBF_H_GB_5,GBF_H_T11_27"
Indicator on monetary benefits received,GBF,NA,Human Assets,Income,NA,NA,indicator on monetary benefits received,"GBF_H_GC_6,GBF_H_T13_29"
Indicator on non-monetary benefits,GBF,NA,Human Assets,Income,NA,NA,indicator on non-monetary benefits,"GBF_H_GC_7,GBF_H_T13_30"
"International public funding, including official development assistance (ODA) for conservation and sustainable use of biodiversity and ecosystems",GBF,NA,Governance,National/International Cooperation,NA,NA,"international public funding, including official development assistance (oda) for conservation and sustainable use of biodiversity and ecosystems","GBF_H_GD_8,GBF_H_T19_37"
Domestic public funding on conservation and sustainable use of biodiversity and ecosystems,GBF,NA,Governance,Nature-Based Funding,NA,NA,domestic public funding on conservation and sustainable use of biodiversity and ecosystems,"GBF_H_GD_9,GBF_H_T19_38"
Private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems,GBF,NA,Governance,Nature-Based Funding,NA,NA,private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems,"GBF_H_GD_10,GBF_H_T19_39"
Percent of land and seas covered by biodiversity-inclusive spatial plans,GBF,NA,Ecosystems,Area Conservation,NA,NA,percent of land and seas covered by biodiversity-inclusive spatial plans,GBF_H_T1_13
Area under restoration,GBF,NA,Ecosystems,Restoration Efforts,NA,NA,area under restoration,GBF_H_T2_14
Coverage of protected areas and OECMS,GBF,NA,Ecosystems,Area Conservation,NA,NA,coverage of protected areas and oecms,GBF_H_T3_15
Proportion of fish stocks within biologically sustainable levels,"GBF,SDG",1,Biodiversity,State Of Biodiversity,NA,NA,proportion of fish stocks within biologically sustainable levels,"GBF_H_T5_18,GBF_CY_T9_308,SDG_14_4_1_205"
Rate of invasive alien species establishment,GBF,1,Direct Drivers,Invasive Alien Species,NA,NA,rate of invasive alien species establishment,"GBF_H_T6_19,GBF_CY_T4_274"
Index of coastal eutrophication potential,GBF,1,Ecosystems,State Of Ecosystems (Integrity),Direct Drivers,Pollution,index of coastal eutrophication potential (icep),GBF_H_T7_20
Index of coastal eutrophication; (b) plastic debris density,GBF,1,Ecosystems,State Of Ecosystems (Integrity),Direct Drivers,Pollution,index of coastal eutrophication potential (icep),"GBF_CY_T7_296,GBF_CY_T7_297"
Index of coastal eutrophication,GBF,1,Ecosystems,State Of Ecosystems (Integrity),Direct Drivers,Pollution,index of coastal eutrophication potential (icep),GBF_CY_T8_306
(a) Index of coastal eutrophication; and (b) plastic debris density,SDG,1,Ecosystems,State Of Ecosystems (Integrity),Direct Drivers,Pollution,index of coastal eutrophication potential (icep),"SDG_14_1_1_a_201,SDG_14_1_1_b_202"
Pesticide environment concentration,GBF,NA,Direct Drivers,Pollution,NA,NA,pesticide environment concentration,GBF_H_T7_21
Benefits from the sustainable use of wild species,GBF,NA,Ecosystem Services,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA,NA,benefits from the sustainable use of wild species,GBF_H_T9_23
Percentage of the population in traditional employment,GBF,NA,Biodiversity,Species Conservation,NA,Change In Biodiversity,percentage of the population in traditional employment,GBF_H_T9_24
Proportion of agricultural area under productive and sustainable agriculture,"GBF,SDG",1,Ecosystem Services,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA,NA,proportion of agricultural area under productive and sustainable agriculture,"GBF_H_T10_25,SDG_2_4_1_22"
Progress towards sustainable forest management,"GBF,SDG",1,Governance,Nature-Based Legislation,Ecosystem Services,Specific Mention Of Sustainable Use Of Species/Ecosystems,progress towards sustainable forest management,"GBF_H_T10_26,SDG_15_2_1_214"
Average share of the built-up area of cities that is green/blue space for public use for all,GBF,NA,Human Well-Being,Healthy Living Conditions,NA,NA,average share of the built-up area of cities that is green/blue space for public use for all,GBF_H_T12_28
"Number of companies reporting on disclosures of risks, dependencies and impacts on biodiversity",GBF,NA,Knowledge Systems,Information On Biodiversity,NA,NA,"number of companies reporting on disclosures of risks, dependencies and impacts on biodiversity",GBF_H_T15_32
Positive incentives in place to promote biodiversity conservation and sustainable use,GBF,NA,Governance,Nature-Based Legislation,Ecosystem Services,Specific Mention Of Sustainable Use Of Species/Ecosystems,positive incentives in place to promote biodiversity conservation and sustainable use,GBF_H_T18_35
"Value of subsidies and other incentives harmful to biodiversity, that have been eliminated, phased out or reformed*",GBF,NA,Governance,Nature-Based Funding,NA,NA,"value of subsidies and other incentives harmful to biodiversity, that are redirected, repurposed or eliminated",GBF_H_T18_36
"Value of subsidies and other incentives harmful to biodiversity, that are redirected, repurposed or eliminated",GBF,NA,Governance,Nature-Based Funding,NA,NA,"value of subsidies and other incentives harmful to biodiversity, that are redirected, repurposed or eliminated",GBF_C_T18_106
Indicator on biodiversity information for monitoring the global biodiversity framework,GBF,NA,Knowledge Systems,Information On Biodiversity,NA,NA,indicator on biodiversity information for monitoring the global biodiversity framework,GBF_H_T21_41
Ecosystem Intactness Index,GBF,NA,Ecosystems,State Of Ecosystems (Integrity),NA,NA,ecosystem intactness index,"GBF_C_GA_44,GBF_CY_GA_149"
Ecosystem Integrity Index,GBF,NA,Ecosystems,State Of Ecosystems (Integrity),NA,NA,ecosystem integrity index,"GBF_C_GA_45,GBF_CY_T1_235"
Species habitat Index,GBF,1,Biodiversity,State Of Biodiversity,NA,NA,species habitat index,"GBF_C_GA_46,GBF_CY_T2_251"
Biodiversity Habitat Index,GBF,1,Biodiversity,State Of Biodiversity,NA,NA,biodiversity habitat index,"GBF_C_GA_47,GBF_CY_GA_145,GBF_CY_T2_247"
Protected Connected (Protconn) index,GBF,NA,Ecosystems,Area Conservation,NA,State Of Ecosystems (Coverage),protected connected (protconn) index,"GBF_C_GA_48,GBF_C_T3_62"
