Categories,Subcategories,Source,Counts of metrics,prop
Biodiversity,Change in biodiversity,IPBES,18,100
Biodiversity,Change in biodiversity,CMS,4,100
Biodiversity,Change in biodiversity,GBF,2,100
Biodiversity,Change in biodiversity,GEO,2,100
Biodiversity,Change in biodiversity,RAMSAR,2,100
Biodiversity,Change in biodiversity,CITES,1,100
Biodiversity,Change in biodiversity,IPCC,1,100
Biodiversity,Change in biodiversity,UNCCD,1,100
Biodiversity,Genetic diversity,IPBES,5,100
Biodiversity,Genetic diversity,GBF,2,100
Biodiversity,Genetic diversity,SDG,1,100
Biodiversity,Genetic resources,GBF,5,100
Biodiversity,Genetic resources,IPBES,4,100
Biodiversity,Species conservation,GBF,10,100
Biodiversity,Species conservation,IPBES,7,100
Biodiversity,Species conservation,CITES,1,100
Biodiversity,Species conservation,SDG,1,100
Biodiversity,State of biodiversity,IPBES,105,100
Biodiversity,State of biodiversity,GBF,36,100
Biodiversity,State of biodiversity,GEO,15,100
Biodiversity,State of biodiversity,IPCC,8,100
Biodiversity,State of biodiversity,CMS,4,100
Biodiversity,State of biodiversity,SDG,2,100
Ecosystems,Abiotic conditions,IPCC,262,100
Ecosystems,Abiotic conditions,GEO,20,100
Ecosystems,Abiotic conditions,IPBES,15,100
Ecosystems,Abiotic conditions,GBF,2,100
Ecosystems,Area conservation,IPBES,21,100
Ecosystems,Area conservation,GBF,17,100
Ecosystems,Area conservation,RAMSAR,7,100
Ecosystems,Area conservation,GEO,4,100
Ecosystems,Area conservation,SDG,3,100
Ecosystems,Area conservation,CMS,2,100
Ecosystems,Change in ecosystems,IPCC,12,100
Ecosystems,Change in ecosystems,IPBES,11,100
Ecosystems,Change in ecosystems,GBF,7,100
Ecosystems,Change in ecosystems,GEO,7,100
Ecosystems,Change in ecosystems,SDG,2,100
Ecosystems,Change in ecosystems,UNCCD,2,100
Ecosystems,Change in ecosystems,CMS,1,100
Ecosystems,Change in ecosystems,RAMSAR,1,100
Ecosystems,Restoration efforts,RAMSAR,3,100
Ecosystems,Restoration efforts,GBF,2,100
Ecosystems,State of ecosystems,IPBES,31,100
Ecosystems,State of ecosystems,IPCC,31,100
Ecosystems,State of ecosystems,GBF,25,100
Ecosystems,State of ecosystems,GEO,13,100
Ecosystems,State of ecosystems,SDG,2,100
Ecosystems,State of ecosystems (configuration),GBF,3,100
Ecosystems,State of ecosystems (configuration),IPBES,2,100
Ecosystems,State of ecosystems (configuration),IPCC,1,100
Ecosystems,State of ecosystems (coverage),IPBES,13,100
Ecosystems,State of ecosystems (coverage),GBF,4,100
Ecosystems,State of ecosystems (coverage),GEO,2,100
Ecosystems,State of ecosystems (coverage),IPCC,2,100
Ecosystems,State of ecosystems (coverage),SDG,2,100
Ecosystems,State of ecosystems (freshwater/coastal),GBF,4,100
Ecosystems,State of ecosystems (freshwater/coastal),IPBES,2,100
Ecosystems,State of ecosystems (freshwater/coastal),IPCC,2,100
Ecosystems,State of ecosystems (freshwater/coastal),GEO,1,100
Ecosystems,State of ecosystems (integrity),GBF,6,100
Ecosystems,State of ecosystems (integrity),IPBES,3,100
Ecosystems,State of ecosystems (integrity),GEO,2,100
